연도,학교,기숙사 수용률,2023기준 존재여부
2021,국립한국교통대학교 ,26.2,False
2021,국립한국해양대학교 ,40.1,False
2021,국립한밭대학교 ,15.3,False
2021,국민대학교 ,11.5,False
2021,극동대학교 ,14.5,False
2021,금강대학교 ,224.1,False
2021,김천대학교 ,49.5,False
2021,나사렛대학교 ,19.4,False
2021,남부대학교 ,29.2,False
2021,남서울대학교 ,13.9,False
2021,단국대학교 ,19.4,False
2021,단국대학교 _제2캠퍼스,19.8,False
2021,대구가톨릭대학교 ,25.3,False
2021,대구경북과학기술원 ,132.9,False
2021,대구교육대학교 ,28.4,False
2021,대구대학교 ,24.7,False
2021,대구예술대학교 ,30.2,False
2021,대구한의대학교 ,18.9,False
2021,대신대학교 ,26.0,False
2021,대전가톨릭대학교 ,798.5,False
2021,대전대학교 ,25.0,False
2021,대전신학대학교 ,35.1,False
2021,대진대학교 ,22.1,False
2021,덕성여자대학교 ,13.1,False
2021,동국대학교 ,11.5,False
2021,동국대학교(WISE) _분교,23.9,False
2021,동덕여자대학교 ,10.4,False
2021,동명대학교 ,14.2,False
2021,동서대학교 ,20.1,False
2021,동신대학교 ,22.2,False
2021,동아대학교 ,12.6,False
2021,동양대학교 ,56.1,False
2021,동의대학교 ,20.2,False
2021,루터대학교 ,26.9,False
2021,명지대학교 ,30.5,False
2021,명지대학교 _제2캠퍼스,11.3,False
2021,목원대학교 ,20.6,False
2021,목포가톨릭대학교 ,27.1,False
2021,배재대학교 ,20.8,False
2021,백석대학교 ,13.6,False
2021,부산가톨릭대학교 ,12.2,False
2021,부산교육대학교 ,46.4,False
2021,부산대학교 ,21.5,False
2021,부산외국어대학교 ,21.7,False
2021,부산장신대학교 ,52.3,False
2021,삼육대학교 ,27.0,False
2021,상명대학교 ,8.5,False
2021,상명대학교 _제2캠퍼스,19.1,False
2021,상지대학교 ,12.9,False
2021,서강대학교 ,12.8,False
2021,서경대학교 ,10.7,False
2021,서울과학기술대학교 ,22.6,False
2021,서울교육대학교 ,29.4,False
2021,서울기독대학교 ,16.2,False
2021,서울대학교 ,25.3,False
2021,서울시립대학교 ,11.6,False
2021,서울신학대학교 ,13.6,False
2021,서울여자대학교 ,12.1,False
2021,서울장신대학교 ,46.8,False
2021,서울한영대학교 ,14.5,False
2021,서원대학교 ,14.2,False
2021,선문대학교 ,39.4,False
2021,성결대학교 ,11.0,False
2021,성공회대학교 ,20.8,False
2021,성균관대학교 ,21.2,False
2021,성신여자대학교 ,10.8,False
2021,세명대학교 ,44.7,False
2021,세종대학교 ,11.0,False
2021,세한대학교 ,35.2,False
2021,송원대학교 ,12.9,False
2021,수원가톨릭대학교 ,136.8,False
2021,수원대학교 ,11.6,False
2021,숙명여자대학교 ,11.9,False
2021,순복음총회신학교 ,93.6,False
2021,순천향대학교 ,40.7,False
2021,숭실대학교 ,11.6,False
2021,신경주대학교 ,53.6,False
2021,신라대학교 ,14.4,False
2021,신한대학교 ,52.0,False
2021,신한대학교 _제2캠퍼스,5.4,False
2021,아신대학교 ,26.9,False
2021,아주대학교 ,26.3,False
2021,안양대학교 ,2.7,False
2021,안양대학교 _제2캠퍼스,68.7,False
2021,연세대학교 ,36.0,False
2021,연세대학교(미래) _분교,57.6,False
2021,영남대학교 ,15.1,False
2021,영남신학대학교 ,48.3,False
2021,영산대학교 ,31.4,False
2021,영산대학교 _제2캠퍼스,21.0,False
2021,영산선학대학교 ,347.1,False
2021,예수대학교 ,15.6,False
2021,예원예술대학교 ,0.0,False
2021,예원예술대학교 _제2캠퍼스,26.7,False
2021,용인대학교 ,8.4,False
2021,우석대학교 ,27.8,False
2021,우송대학교 ,22.3,False
2021,울산과학기술원 ,47.8,False
2021,울산대학교 ,20.1,False
2021,원광대학교 ,23.7,False
2021,위덕대학교 ,23.9,False
2021,유원대학교 ,29.1,False
2021,을지대학교 ,25.4,False
2021,을지대학교 _제2캠퍼스,13.5,False
2021,을지대학교 _제3캠퍼스,23.6,False
2021,이화여자대학교 ,21.7,False
2021,인제대학교 ,24.9,False
2021,인제대학교 _제2캠퍼스,10.9,False
2021,인천가톨릭대학교 ,25.5,False
2021,인천대학교 ,25.6,False
2021,인하대학교 ,12.7,False
2021,장로회신학대학교 ,32.1,False
2021,전남대학교 ,21.9,False
2021,전남대학교 _제2캠퍼스,38.5,False
2021,전북대학교 ,23.9,False
2021,전주교육대학교 ,41.3,False
2021,전주대학교 ,16.7,False
2021,제주국제대학교 ,19.9,False
2021,제주대학교 ,26.3,False
2021,조선대학교 ,12.3,False
2021,중부대학교 ,23.3,False
2021,중앙대학교 ,13.1,False
2021,중앙대학교 _제2캠퍼스,38.0,False
2021,중앙승가대학교 ,184.3,False
