연도,학교,총 강좌 수,소규모 강좌 비율,대형 강좌 비율,평균 강좌 규모 점수
2010.0,수원대학교 ,2018,0.2398414271555996,0.0039643211100099,41.0
2010.0,숙명여자대학교 ,1987,0.3100150981378963,0.0040261701056869,35.7
2010.0,순복음총회신학교 ,18,0.3333333333333333,0.0,38.3
2010.0,순천향대학교 ,2240,0.2080357142857143,0.0004464285714285,43.2
2010.0,숭실대학교 ,2006,0.1430707876370887,0.0109670987038883,46.2
2010.0,숭실사이버대학교 ,239,0.0167364016736401,0.1255230125523012,102.2
2010.0,신경주대학교 ,797,0.2961104140526976,0.0037641154328732,37.1
2010.0,신라대학교 ,2232,0.3046594982078853,0.0053763440860215,32.5
2010.0,아신대학교 ,189,0.492063492063492,0.0,25.2
2010.0,아주대학교 ,1564,0.1841432225063938,0.0031969309462915,40.0
2010.0,안양대학교 ,1044,0.2873563218390804,0.0057471264367816,30.4
2010.0,안양대학교 _제2캠퍼스,132,0.3484848484848485,0.0075757575757575,26.1
2010.0,연세대학교 ,2480,0.2060483870967742,0.0133064516129032,45.7
2010.0,연세대학교(미래) _분교,1234,0.2439222042139384,0.0016207455429497,45.7
2010.0,영남대학교 ,3992,0.3041082164328657,0.0132765531062124,40.8
2010.0,영남신학대학교 ,104,0.25,0.0,34.5
2010.0,영산대학교 ,841,0.4518430439952438,0.0178359096313912,29.0
2010.0,영산대학교 _제2캠퍼스,643,0.3763608087091757,0.0,26.6
2010.0,영산선학대학교 ,42,1.0,0.0,10.0
2010.0,예수대학교 ,125,0.464,0.0,37.5
2010.0,예원예술대학교 ,413,0.585956416464891,0.0,20.0
2010.0,예원예술대학교 _제2캠퍼스,0,,,
2010.0,용인대학교 ,1196,0.2265886287625418,0.0,36.2
2010.0,우석대학교 ,1579,0.311589613679544,0.0056998100063331,34.7
2010.0,우송대학교 ,2061,0.3207180980106744,0.0,24.8
2010.0,우송대학교(산업대) ,0,,,
2010.0,울산과학기술원 ,178,0.2303370786516854,0.0,39.0
2010.0,울산대학교 ,2960,0.3091216216216216,0.0037162162162162,34.7
2010.0,원광대학교 ,3298,0.2110369921164342,0.0021224984839296,43.9
2010.0,원광디지털대학교 ,210,0.0476190476190476,0.1428571428571428,105.1
2010.0,위덕대학교 ,702,0.3518518518518518,0.0,30.6
2010.0,유원대학교 ,858,0.3846153846153846,0.0011655011655011,25.8
2010.0,을지대학교 ,152,0.0855263157894736,0.0,46.1
2010.0,을지대학교 _제2캠퍼스,899,0.0756395995550611,0.0022246941045606,35.1
2010.0,이화여자대학교 ,2436,0.3784893267651888,0.0102627257799671,37.3
2010.0,인제대학교 ,2404,0.4201331114808652,0.0004159733777038,30.5
2010.0,인제대학교 _제2캠퍼스,87,0.0689655172413793,0.0,74.7
2010.0,인천가톨릭대학교 ,122,0.180327868852459,0.0,35.0
2010.0,인천대학교 ,1514,0.2311756935270806,0.0052840158520475,38.8
2010.0,인하대학교 ,2727,0.1822515584891822,0.015034836817015,46.2
2010.0,장로회신학대학교 ,276,0.7608695652173914,0.0,19.6
2010.0,전남대학교 ,3415,0.3326500732064422,0.0008784773060029,36.7
2010.0,전남대학교 _제2캠퍼스,788,0.3248730964467005,0.0,27.0
2010.0,전북대학교 ,3377,0.2890139176784128,0.0005922416345869,34.1
2010.0,전북대학교 _제2캠퍼스,0,,,
2010.0,전주교육대학교 ,437,0.102974828375286,0.0,28.1
2010.0,전주대학교 ,2794,0.3371510379384395,0.0003579098067287,30.8
2010.0,정석대학 ,52,0.5769230769230769,0.0,18.5
2010.0,제주대학교 ,2283,0.3907139728427508,0.0074463425317564,29.6
2010.0,조선대학교 ,4074,0.2700049091801669,0.0063819342169857,37.4
2010.0,중부대학교 ,1632,0.3566176470588235,0.003063725490196,32.1
2010.0,중앙대학교 ,2471,0.2569809793605828,0.0032375556454876,41.9
2010.0,중앙대학교(안성) _분교,2662,0.5480841472577009,0.0018782870022539,26.1
2010.0,중앙승가대학교 ,70,0.4,0.0,34.2
2010.0,중원대학교 ,188,0.3776595744680851,0.0053191489361702,31.8
2010.0,진주교육대학교 ,623,0.2247191011235955,0.0032102728731942,26.2
2010.0,진주산업대학교(산업대) ,1453,0.2388162422573984,0.0,29.2
2010.0,차의과학대학교 ,163,0.3251533742331288,0.0,26.0
2010.0,청운대학교 ,1446,0.3257261410788382,0.0,28.2
2010.0,청주교육대학교 ,656,0.0929878048780487,0.0,28.1
2010.0,청주대학교 ,2138,0.176800748362956,0.0159027128157156,45.1
2010.0,초당대학교(산업대) ,1051,0.483349191246432,0.0009514747859181,27.2
2010.0,총신대학교 ,285,0.2105263157894736,0.0140350877192982,46.7
2010.0,추계예술대학교 ,469,0.4776119402985074,0.0063965884861407,25.2
2010.0,춘천교육대학교 ,555,0.081081081081081,0.0,28.4
2010.0,충남대학교 ,3548,0.2891770011273957,0.0008455467869222,35.8
2010.0,충북대학교 ,2605,0.236852207293666,0.0023032629558541,36.1
2010.0,칼빈대학교 ,177,0.5536723163841808,0.0,21.5
2010.0,탐라대학교 ,145,0.5379310344827586,0.0,21.1
2010.0,평택대학교 ,710,0.2183098591549295,0.0056338028169014,38.8
2010.0,포항공과대학교 ,297,0.4478114478114478,0.0,25.9
2010.0,한경대학교(산업대) ,1426,0.3022440392706872,0.002805049088359,25.8
2010.0,한국과학기술원 ,728,0.3708791208791209,0.0096153846153846,35.7
2010.0,한국교원대학교 ,847,0.4557260920897285,0.0,23.6
