통합_대학별_취업현황,,,,,,,,,,,,,,,,,,,,,,
기준년도,학교명,졸업자,취업률(%),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
2010,가야대학교,43,64.1,,,,,,,,,,,,,,,,,,,
,한려대학교(산업대),321,69.9,,,,,,,,,,,,,,,,,,,
,한림대학교,"1,487",57.1,,,,,,,,,,,,,,,,,,,
,한민학교,201,38.7,,,,,,,,,,,,,,,,,,,
,한밭대학교(산업대),"2,269",70.6,,,,,,,,,,,,,,,,,,,
,한북대학교,27,52,,,,,,,,,,,,,,,,,,,
,한서대학교,"1,496",53.5,,,,,,,,,,,,,,,,,,,
,한성대학교,"1,392",47.6,,,,,,,,,,,,,,,,,,,
,한세대학교,493,51.5,,,,,,,,,,,,,,,,,,,
,한신대학교,"1,010",41.7,,,,,,,,,,,,,,,,,,,
,한양대학교,"3,564",60.8,,,,,,,,,,,,,,,,,,,
,한양대학교(ERICA) _분교,"1,968",52.6,,,,,,,,,,,,,,,,,,,
,한일장신대학교,312,33.3,,,,,,,,,,,,,,,,,,,
,한중대학교,364,66.3,,,,,,,,,,,,,,,,,,,
,협성대학교,906,42,,,,,,,,,,,,,,,,,,,
,호남대학교,"1,443",49.8,,,,,,,,,,,,,,,,,,,
,호남신학대학교,173,16.1,,,,,,,,,,,,,,,,,,,
,호서대학교,"2,350",51.1,,,,,,,,,,,,,,,,,,,
,호원대학교,"1,482",58.5,,,,,,,,,,,,,,,,,,,
,홍익대학교,"2,250",54.4,,,,,,,,,,,,,,,,,,,
,홍익대학교(세종) _분교,"1,222",45.1,,,,,,,,,,,,,,,,,,,
,화성의과학대학교,5,0,,,,,,,,,,,,,,,,,,,
2011,가야대학교 _제2캠퍼스,568,59.9,,,,,,,,,,,,,,,,,,,
,가천대학교,"2,441",50.6,,,,,,,,,,,,,,,,,,,
,가천의과학대학교,904,57.6,,,,,,,,,,,,,,,,,,,
,가톨릭관동대학교,"1,591",48.4,,,,,,,,,,,,,,,,,,,
,가톨릭꽃동네대학교,113,65.2,,,,,,,,,,,,,,,,,,,
,가톨릭대학교,"1,498",50.4,,,,,,,,,,,,,,,,,,,
,가톨릭대학교 _제2캠퍼스,190,85.5,,,,,,,,,,,,,,,,,,,
,가톨릭대학교 _제3캠퍼스,62,0,,,,,,,,,,,,,,,,,,,
,감리교신학대학교,194,0,,,,,,,,,,,,,,,,,,,
,강남대학교,"1,609",52,,,,,,,,,,,,,,,,,,,
,강서대학교,259,44.2,,,,,,,,,,,,,,,,,,,
,강원대학교,"3,187",51.3,,,,,,,,,,,,,,,,,,,
,강원대학교 _제2캠퍼스,"1,043",52.4,,,,,,,,,,,,,,,,,,,
,건국대학교,"3,007",60.7,,,,,,,,,,,,,,,,,,,
,건국대학교(글로컬) _분교,"1,624",49.7,,,,,,,,,,,,,,,,,,,
,건동대학교,104,49.3,,,,,,,,,,,,,,,,,,,
,건양대학교,"1,531",70.1,,,,,,,,,,,,,,,,,,,
,건양대학교 _제2캠퍼스,370,88.3,,,,,,,,,,,,,,,,,,,
,경기대학교,"2,570",50.3,,,,,,,,,,,,,,,,,,,
,경기대학교 _제2캠퍼스,459,43,,,,,,,,,,,,,,,,,,,
,경남대학교,"2,991",47.5,,,,,,,,,,,,,,,,,,,
,경동대학교,499,60.3,,,,,,,,,,,,,,,,,,,
,경북대학교,"4,360",59,,,,,,,,,,,,,,,,,,,
,경북대학교 _제2캠퍼스,798,52.2,,,,,,,,,,,,,,,,,,,
,경북외국어대학교,62,47.3,,,,,,,,,,,,,,,,,,,
,경상국립대학교,"3,147",55.1,,,,,,,,,,,,,,,,,,,
,경성대학교,"2,859",47.4,,,,,,,,,,,,,,,,,,,
,경운대학교(산업대),972,63.4,,,,,,,,,,,,,,,,,,,
,경인교육대학교,472,61.2,,,,,,,,,,,,,,,,,,,
,경인교육대학교 _제2캠퍼스,438,60.7,,,,,,,,,,,,,,,,,,,
,경일대학교,859,60.9,,,,,,,,,,,,,,,,,,,
,경희대학교,"2,749",54.1,,,,,,,,,,,,,,,,,,,
,경희대학교 _분교,"2,709",54.8,,,,,,,,,,,,,,,,,,,
,계명대학교,"4,897",54.5,,,,,,,,,,,,,,,,,,,
,고려대학교,"4,275",64.9,,,,,,,,,,,,,,,,,,,
,고려대학교(세종) _분교,"1,492",46.1,,,,,,,,,,,,,,,,,,,
,고신대학교,758,58.6,,,,,,,,,,,,,,,,,,,
,공주교육대학교,503,62.6,,,,,,,,,,,,,,,,,,,
,광신대학교,114,55.3,,,,,,,,,,,,,,,,,,,
,광운대학교,"1,751",63.3,,,,,,,,,,,,,,,,,,,
,광주가톨릭대학교,34,0,,,,,,,,,,,,,,,,,,,
,광주교육대학교,475,56.3,,,,,,,,,,,,,,,,,,,
,광주대학교,"1,038",61.5,,,,,,,,,,,,,,,,,,,
,광주대학교(산업대),189,51.6,,,,,,,,,,,,,,,,,,,
,광주여자대학교,890,63.7,,,,,,,,,,,,,,,,,,,
,국립강릉원주대학교,"1,358",52,,,,,,,,,,,,,,,,,,,
,국립강릉원주대학교 _제2캠퍼스,416,60,,,,,,,,,,,,,,,,,,,
,국립경국대학교,"1,489",52.1,,,,,,,,,,,,,,,,,,,
,국립공주대학교,"3,143",51.7,,,,,,,,,,,,,,,,,,,
,국립군산대학교,"1,557",48.1,,,,,,,,,,,,,,,,,,,
,국립금오공과대학교,"1,480",67.9,,,,,,,,,,,,,,,,,,,
,국립목포대학교,"1,482",51.5,,,,,,,,,,,,,,,,,,,
,국립목포해양대학교,596,77.1,,,,,,,,,,,,,,,,,,,
,국립부경대학교,"3,696",57.4,,,,,,,,,,,,,,,,,,,
,국립순천대학교,"1,600",50.6,,,,,,,,,,,,,,,,,,,
,국립창원대학교,"1,707",57.8,,,,,,,,,,,,,,,,,,,
,국립한국해양대학교,"1,503",71.7,,,,,,,,,,,,,,,,,,,
,국민대학교,"3,086",52.4,,,,,,,,,,,,,,,,,,,
,극동대학교,715,49.1,,,,,,,,,,,,,,,,,,,
,금강대학교,53,48.6,,,,,,,,,,,,,,,,,,,
,김천대학교,0,0,,,,,,,,,,,,,,,,,,,
,나사렛대학교,"1,028",62.1,,,,,,,,,,,,,,,,,,,
,남부대학교,483,61.1,,,,,,,,,,,,,,,,,,,
,남서울대학교(산업대),"2,064",55.3,,,,,,,,,,,,,,,,,,,
,단국대학교,"2,379",50.3,,,,,,,,,,,,,,,,,,,
,단국대학교(천안) _분교,"2,611",49.2,,,,,,,,,,,,,,,,,,,
,대구가톨릭대학교,"2,502",59.7,,,,,,,,,,,,,,,,,,,
,대구교육대학교,560,54.3,,,,,,,,,,,,,,,,,,,
,대구대학교,"4,045",56.4,,,,,,,,,,,,,,,,,,,
,대구예술대학교,198,46.5,,,,,,,,,,,,,,,,,,,
,대구외국어대학교,61,54.7,,,,,,,,,,,,,,,,,,,
,대구한의대학교,"1,390",58.5,,,,,,,,,,,,,,,,,,,
,대신대학교,135,38.2,,,,,,,,,,,,,,,,,,,
,대전가톨릭대학교,29,0,,,,,,,,,,,,,,,,,,,
,대전대학교,"1,894",50.3,,,,,,,,,,,,,,,,,,,
,대전신학교,65,0,,,,,,,,,,,,,,,,,,,
,대진대학교,"1,589",45.8,,,,,,,,,,,,,,,,,,,
,덕성여자대학교,"1,166",48.9,,,,,,,,,,,,,,,,,,,
,동국대학교,"2,944",53.3,,,,,,,,,,,,,,,,,,,
,동국대학교(WISE) _분교,"1,884",63.1,,,,,,,,,,,,,,,,,,,
,동덕여자대학교,"1,582",44.5,,,,,,,,,,,,,,,,,,,
,동명대학교,667,59,,,,,,,,,,,,,,,,,,,
,동명정보대학교,644,56.9,,,,,,,,,,,,,,,,,,,
,동서대학교,"2,169",61.9,,,,,,,,,,,,,,,,,,,
,동신대학교,"1,414",65.7,,,,,,,,,,,,,,,,,,,
,동아대학교,"4,397",51.2,,,,,,,,,,,,,,,,,,,
,동양대학교,678,60,,,,,,,,,,,,,,,,,,,
,동의대학교,"3,533",52.9,,,,,,,,,,,,,,,,,,,
,루터대학교,95,52.1,,,,,,,,,,,,,,,,,,,
,명신대학교,198,53.3,,,,,,,,,,,,,,,,,,,
,명지대학교,"1,516",55.2,,,,,,,,,,,,,,,,,,,
,명지대학교 _제2캠퍼스,"1,404",51.5,,,,,,,,,,,,,,,,,,,
,목원대학교,"1,831",40.1,,,,,,,,,,,,,,,,,,,
,목포가톨릭대학교,153,85,,,,,,,,,,,,,,,,,,,
,배재대학교,"1,915",43.7,,,,,,,,,,,,,,,,,,,
,백석대학교,"2,627",49.3,,,,,,,,,,,,,,,,,,,
,부산가톨릭대학교,926,59.2,,,,,,,,,,,,,,,,,,,
,부산교육대학교,570,47.8,,,,,,,,,,,,,,,,,,,
,부산대학교,"4,491",54.6,,,,,,,,,,,,,,,,,,,
,부산외국어대학교,"1,835",46.4,,,,,,,,,,,,,,,,,,,
,부산장신대학교,72,61.8,,,,,,,,,,,,,,,,,,,
,삼육대학교,"1,044",50.4,,,,,,,,,,,,,,,,,,,
,상명대학교,"1,393",44.2,,,,,,,,,,,,,,,,,,,
,상명대학교(천안) _분교,"1,309",45,,,,,,,,,,,,,,,,,,,
,상주대학교,10,50,,,,,,,,,,,,,,,,,,,
,상지대학교,"1,643",51.5,,,,,,,,,,,,,,,,,,,
,서강대학교,"1,737",70.2,,,,,,,,,,,,,,,,,,,
,서경대학교,"1,349",51.4,,,,,,,,,,,,,,,,,,,
,서남대학교,314,70.5,,,,,,,,,,,,,,,,,,,
,서남대학교 _제2캠퍼스,123,47.5,,,,,,,,,,,,,,,,,,,
