기준년도,학교명,졸업자,취업률
2011,우송대학교,22,100.0
2011,우송대학교(산업대),1560,64.5
2011,울산과학기술원,0,0.0
2011,울산대학교,2930,56.8
2011,원광대학교,3713,45.2
2011,위덕대학교,501,63.1
2011,유원대학교,558,63.2
2011,을지대학교,214,82.3
2011,을지대학교 _제2캠퍼스,1011,73.1
2011,이화여자대학교,3324,51.4
2011,인제대학교,2017,56.9
2011,인제대학교 _제2캠퍼스,240,85.3
2011,인천가톨릭대학교,27,0.0
2011,인천가톨릭대학교 _제2캠퍼스,48,47.1
2011,인천대학교,1460,54.8
2011,인하대학교,3932,64.6
2011,장로회신학대학교,147,0.0
2011,전남대학교,3675,49.6
2011,전남대학교 _제2캠퍼스,701,50.0
2011,전북대학교,3904,52.3
2011,전주교육대학교,416,63.0
2011,전주대학교,2194,48.1
2011,제주교육대학교,143,47.8
2011,제주대학교,2000,50.9
2011,조선대학교,4770,51.5
2011,중부대학교,1446,53.4
2011,중앙대학교,2996,61.6
2011,중앙대학교(안성) _분교,2219,41.1
2011,중앙승가대학교,89,0.0
2011,진주교육대학교,486,56.5
2011,진주산업대학교(산업대),1449,67.4
2011,차의과학대학교,124,68.1
2011,청운대학교,1085,59.7
2011,청주교육대학교,421,58.4
2011,청주대학교,3041,46.6
2011,초당대학교(산업대),1025,62.6
2011,총신대학교,357,43.3
2011,추계예술대학교,301,19.2
2011,춘천교육대학교,539,47.9
2011,충남대학교,4138,51.3
2011,충북대학교,3350,49.3
2011,칼빈대학교,93,45.0
2011,탐라대학교,114,46.9
2011,평택대학교,809,45.3
2011,포항공과대학교,308,59.4
2011,한경대학교(산업대),1524,68.2
2011,한국과학기술원,771,45.7
2011,한국교원대학교,532,43.6
2011,한국교통대학교(산업대),2047,62.7
2011,한국국제대학교,672,57.1
2011,한국기술교육대학교,773,79.6
2011,한국산업기술대학교(산업대),1195,74.9
2011,한국성서대학교,206,60.5
2011,한국예술종합학교,415,26.5
2011,한국외국어대학교,1628,62.0
2011,한국외국어대학교(용인) _분교,1430,51.1
2011,한국전통문화대학교(각종),129,61.5
2011,한국체육대학교,534,46.5
2011,한국침례신학대학교,365,49.5
2011,한국항공대학교,1034,74.0
2011,한남대학교,2300,46.5
2011,한동대학교,772,57.6
2011,한라대학교,559,58.2
2011,한려대학교(산업대),259,77.7
2011,한림대학교,1572,54.2
2011,한민학교,222,47.7
2011,한밭대학교(산업대),2241,71.4
2011,한북대학교,101,63.9
2011,한서대학교,1573,55.8
2011,한성대학교,1454,49.4
2011,한세대학교,536,50.2
2011,한신대학교,1099,50.1
2011,한양대학교,3712,64.4
2011,한양대학교(ERICA) _분교,2119,55.7
2011,한일장신대학교,338,39.4
2011,한중대학교,310,73.3
2011,협성대학교,848,48.3
2011,호남대학교,1616,59.0
2011,호남신학대학교,156,42.6
2011,호서대학교,2528,54.3
2011,호원대학교,1315,60.5
2011,홍익대학교,2386,61.6
2011,홍익대학교(세종) _분교,1348,48.3
2011,화성의과학대학교,19,52.6
2012,가야대학교,1,0.0
2012,가야대학교 _제2캠퍼스,552,54.7
2012,가천대학교,2851,50.3
2012,가천의과학대학교,926,56.9
2012,가톨릭관동대학교,1469,64.0
2012,가톨릭꽃동네대학교,102,55.1
2012,가톨릭대학교,1436,52.9
2012,가톨릭대학교 _제2캠퍼스,173,88.3
2012,가톨릭대학교 _제3캠퍼스,57,0.0
2012,감리교신학대학교,201,0.0
2012,강남대학교,1801,53.8
2012,강서대학교,314,67.3
2012,강원대학교,3411,48.0
2012,강원대학교 _제2캠퍼스,1055,55.1
2012,건국대학교,3102,59.0
2012,건국대학교(글로컬) _분교,1660,50.2
2012,건양대학교,1486,72.7
2012,건양대학교 _제2캠퍼스,380,86.6
2012,경기대학교,2622,51.2
2012,경기대학교 _제2캠퍼스,417,52.2
2012,경남대학교,2840,59.5
2012,경동대학교,604,67.7
2012,경북대학교,4291,56.4
2012,경북대학교 _제2캠퍼스,994,52.6
2012,경상국립대학교,3257,46.2
2012,경성대학교,2957,61.7
2012,경운대학교(산업대),1019,64.0
2012,경인교육대학교,423,73.7
2012,경인교육대학교 _제2캠퍼스,405,64.2
2012,경일대학교,919,60.4
2012,경희대학교,5357,54.7
2012,계명대학교,5083,53.5
2012,고려대학교,4322,66.5
2012,고려대학교(세종) _분교,1423,47.6
2012,고신대학교,745,64.6
2012,공주교육대학교,502,69.8
2012,광신대학교,149,50.9
2012,광운대학교,1672,61.0
2012,광주가톨릭대학교,23,0.0
2012,광주교육대학교,457,69.0
2012,광주대학교,1116,67.7
2012,광주대학교(산업대),59,57.4
2012,광주여자대학교,956,61.6
2012,국립강릉원주대학교,1313,50.9
2012,국립강릉원주대학교 _제2캠퍼스,355,58.0
2012,국립경국대학교,1457,50.5
