기준연도,학교명,재학생,1인당장학금
2010,한국교통대학교(산업대),"6,342",729300
2010,한국국제대학교,"3,085",1150500
2010,한국기술교육대학교,"3,725",1307200
2010,한국방송통신대학교,"153,793",66800
2010,한국산업기술대학교(산업대),"6,123",927000
2010,한국성서대학교,"1,035",1293900
2010,한국외국어대학교,"8,189",1322100
2010,한국외국어대학교(용인) _분교,"7,759",1116100
2010,한국전통문화대학교(각종),524,1099700
2010,한국체육대학교,"2,366",1639400
2010,한국침례신학대학교,"1,538",1121900
2010,한국항공대학교,"4,252",1982400
2010,한남대학교,"11,590",938000
2010,한동대학교,"3,596",1831900
2010,한라대학교,"3,160",941900
2010,한려대학교(산업대),961,1389000
2010,한림대학교,"8,083",1606800
2010,한민학교,796,1691000
2010,한밭대학교(산업대),"8,514",659100
2010,한북대학교,891,813200
2010,한서대학교,"7,385",1351500
2010,한성대학교,"6,859",1210400
2010,한세대학교,"2,657",1246800
2010,한신대학교,"5,071",921300
2010,한양대학교,"15,495",1784600
2010,한양대학교(ERICA) _분교,"8,967",1395100
2010,한일장신대학교,"1,222",2297000
2010,한중대학교,"1,863",4204100
2010,협성대학교,"4,234",1012500
2010,호남대학교,"6,845",1626700
2010,호남신학대학교,620,1210900
2010,호서대학교,"12,179",1069200
2010,호원대학교,"5,055",1660100
2010,홍익대학교,"11,193",2056800
2010,홍익대학교(세종) _분교,"6,223",2088900
2010,화성의과학대학교,472,157200
2011,가야대학교,36,237900
2011,가야대학교 _제2캠퍼스,"2,473",1215100
2011,가천대학교,"13,178",1527200
2011,가천의과학대학교,"3,615",1351400
2011,가톨릭관동대학교,"8,667",1279700
2011,가톨릭꽃동네대학교,479,3416900
2011,가톨릭대학교,"7,062",1415400
2011,가톨릭대학교 _제2캠퍼스,573,2328200
2011,가톨릭대학교 _제3캠퍼스,207,5034800
2011,감리교신학대학교,890,1397200
2011,강남대학교,"7,333",1168800
2011,강서대학교,"1,499",1314000
2011,강원대학교,"15,208",1085200
2011,강원대학교 _제2캠퍼스,"5,924",2020500
2011,건국대학교,"15,753",1590000
2011,건국대학교(글로컬) _분교,"7,736",1244900
2011,건동대학교,540,495100
2011,건양대학교,"5,997",1439600
2011,건양대학교 _제2캠퍼스,"1,877",1379100
2011,경기대학교,"11,619",1234400
2011,경기대학교 _제2캠퍼스,"2,255",1198500
2011,경남과학기술대학교,"1,323",841800
2011,경남대학교,"12,956",1371100
2011,경동대학교,"2,849",1777700
2011,경북대학교,"19,500",1326900
2011,경북대학교 _제2캠퍼스,"1,941",1121600
2011,경북외국어대학교,362,323400
2011,경상국립대학교,"14,211",1211200
2011,경성대학교,"12,901",1540300
2011,경운대학교(산업대),"5,426",1936900
2011,경인교육대학교,"1,907",935100
2011,경인교육대학교 _제2캠퍼스,"1,210",995900
2011,경일대학교,"5,032",1159300
2011,경희대학교,"12,969",1589900
2011,경희대학교 _분교,"11,993",1796400
2011,계명대학교,"22,629",1555600
2011,고려대학교,"19,515",2058400
2011,고려대학교(세종) _분교,"6,652",1591200
2011,고신대학교,"3,790",1658900
2011,공주교육대학교,"1,921",951400
2011,광신대학교,511,3007900
2011,광운대학교,"8,522",1083700
2011,광주가톨릭대학교,94,0
2011,광주과학기술원,192,7183600
2011,광주교육대학교,"1,753",1468600
2011,광주대학교,"5,987",1802600
2011,광주대학교(산업대),103,714000
2011,광주여자대학교,"4,052",1596400
2011,국립강릉원주대학교,"6,472",912600
2011,국립강릉원주대학교 _제2캠퍼스,"2,000",1011300
2011,국립경국대학교,"6,238",1181000
2011,국립공주대학교,"13,752",1129000
2011,국립군산대학교,"7,363",1265500
2011,국립금오공과대학교,"6,524",1211100
2011,국립목포대학교,"7,620",1204500
2011,국립목포해양대학교,"2,429",1476400
2011,국립부경대학교,"16,767",1104900
2011,국립순천대학교,"7,251",1150600
2011,국립창원대학교,"8,369",1076200
2011,국립한국교통대학교,"3,861",941700
2011,국립한국해양대학교,"6,381",1508500
2011,국민대학교,"14,091",1201100
2011,극동대학교,"4,092",1642600
2011,금강대학교,345,7377000
2011,김천대학교,"1,713",1095700
2011,나사렛대학교,"5,678",1384400
2011,남부대학교,"2,708",1815900
2011,남서울대학교(산업대),"10,295",1435500
2011,단국대학교,"10,974",1259200
2011,단국대학교(천안) _분교,"11,726",1313900
2011,대구가톨릭대학교,"13,004",1573500
2011,대구교육대학교,"2,070",1266900
2011,대구대학교,"18,686",1268500
2011,대구예술대학교,"1,242",1801200
2011,대구외국어대학교,389,952000
2011,대구한의대학교,"6,554",1309800
2011,대신대학교,481,1709400
2011,대전가톨릭대학교,113,4135200
2011,대전대학교,"13,157",910400
2011,대전신학교,121,1245100
2011,대전신학대학교,128,2006000
2011,대진대학교,"7,912",1324600
2011,덕성여자대학교,"5,875",1460200
2011,동국대학교,"13,739",1622000
2011,동국대학교(WISE) _분교,"8,299",1660100
2011,동덕여자대학교,"7,274",1219500
2011,동명대학교,"7,220",1370900
2011,동명정보대학교,897,724600
2011,동서대학교,"10,619",1374400
2011,동신대학교,"6,324",1636500
2011,동아대학교,"20,350",1338400
2011,동양대학교,"3,666",1264000
2011,동의대학교,"16,548",1048200
2011,디지털서울문화예술대학교,"3,422",596000
2011,루터대학교,549,1096600
2011,명지대학교,"6,910",1334800
2011,명지대학교 _제2캠퍼스,"6,657",1293300
2011,목원대학교,"8,884",1412100
2011,목포가톨릭대학교,552,1587100
2011,배재대학교,"8,926",1337500
2011,백석대학교,"12,745",1498100
2011,부산가톨릭대학교,"4,061",1293300
2011,부산교육대학교,"1,988",1130300
2011,부산대학교,"21,647",1205100
2011,부산디지털대학교,"2,218",606300
2011,부산외국어대학교,"8,704",1114500
2011,부산장신대학교,264,1731400
2011,삼육대학교,"5,289",1545500
2011,상명대학교,"6,321",1808000
2011,상명대학교(천안) _분교,"6,125",1770800
2011,상주대학교,"2,195",546600
2011,상지대학교,"7,985",1291300
2011,서강대학교,"8,067",1982500
2011,서경대학교,"6,023",1098000
2011,서남대학교,"1,294",819700
2011,서남대학교 _제2캠퍼스,946,854500
2011,서울과학기술대학교(산업대),"12,207",875400
2011,서울교육대학교,"1,916",1041800
2011,서울기독대학교,624,1428200
2011,서울대학교,"16,426",2316400
2011,서울디지털대학교,"20,386",214000
2011,서울시립대학교,"8,475",1294600
2011,서울신학대학교,"2,266",1203600
2011,서울여자대학교,"7,673",1876200
2011,서울장신대학교,535,1344500
2011,서울한영대학교,696,964700
2011,서원대학교,"6,378",1568200
2011,선문대학교,"9,105",1346600
2011,성결대학교,"5,346",1193900
2011,성공회대학교,"2,282",1148700
