기준연도,학교명,단과대학,학과,구분,학기,재학생,1인당장학금
2021,가천대학교,가천리버럴아츠칼리지,한국학전공,주간,2학기,31,1816790.3
2021,가천대학교,IT융합대학,AI・소프트웨어학부(소프트웨어전공),주간,1학기,202,1255481.8
2021,가천대학교,IT융합대학,AI・소프트웨어학부(소프트웨어전공),주간,2학기,202,1430078.5
2021,가천대학교,IT융합대학,AI・소프트웨어학부(인공지능전공),주간,1학기,179,1402376.1
2021,가천대학교,IT융합대학,AI・소프트웨어학부(인공지능전공),주간,2학기,153,1521309.0
2021,가천대학교,IT융합대학,소프트웨어학과,주간,1학기,218,1447966.1
2021,가천대학교,IT융합대학,소프트웨어학과,주간,2학기,193,2292252.6
2021,가천대학교,IT융합대학,전기공학과,주간,1학기,388,1436886.8
2021,가천대학교,IT융합대학,전기공학과,주간,2학기,387,1605964.6
2021,가천대학교,IT융합대학,전자공학과,주간,1학기,585,1378371.7
2021,가천대학교,IT융합대학,전자공학과,주간,2학기,562,1680891.0
2021,가천대학교,IT융합대학,컴퓨터공학과,주간,1학기,866,1419385.7
2021,가천대학교,IT융합대학,컴퓨터공학과,주간,2학기,808,1609845.2
2021,가천대학교,미래산업대학,게임・영상학과,주간,1학기,40,7002290.0
2021,가천대학교,미래산업대학,게임・영상학과,주간,2학기,39,6652371.8
2021,가천대학교,미래산업대학,디스플레이학과,주간,1학기,40,6697785.0
2021,가천대학교,미래산업대학,디스플레이학과,주간,2학기,31,6294322.6
2021,가천대학교,미래산업대학,미래자동차학과,주간,1학기,40,7109270.0
2021,가천대학교,미래산업대학,미래자동차학과,주간,2학기,36,6794333.3
2021,가천대학교,미래산업대학,첨단의료기기학과,주간,1학기,37,7230809.7
2021,가천대학교,미래산업대학,첨단의료기기학과,주간,2학기,35,6901757.1
2021,가톨릭관동대학교,공과대학,건축공학전공,주간,1학기,102,1297803.0
2021,가톨릭관동대학교,공과대학,건축공학전공,주간,2학기,91,1353017.6
2021,가톨릭관동대학교,공과대학,건축학전공,주간,1학기,222,1559762.5
2021,가톨릭관동대학교,공과대학,건축학전공,주간,2학기,208,1447606.2
2021,가톨릭관동대학교,공과대학,소프트웨어학과,주간,1학기,180,1315700.4
