통합_학과별_장학금_21-23,,,,,,,,,,,,,,,,,,,,
기준연도,학교명,단과대학,학과,구분,학기,"재학생
(A)","재학생 1인당
장학금
(D=B/A)",,,,,,,,,,,,,
,,,영미어문학과,주간,1학기,306,"1,292,383.6",,,,,,,,,,,,,
,,,,,2학기,277,"1,377,926.5",,,,,,,,,,,,,
,,,,야간,1학기,14,"175,700",,,,,,,,,,,,,
,,,,,2학기,8,"143,212.5",,,,,,,,,,,,,
,,,유럽어문학과,주간,1학기,255,"1,221,700.2",,,,,,,,,,,,,
,,,,,2학기,234,"1,353,323.4",,,,,,,,,,,,,
,,,한국어문학과,주간,1학기,332,"1,546,553.6",,,,,,,,,,,,,
,,,,,2학기,324,"1,702,089.6",,,,,,,,,,,,,
,,한의과대학,한의예과,주간,1학기,63,"1,331,721.4",,,,,,,,,,,,,
,,,,,2학기,61,"1,369,878.4",,,,,,,,,,,,,
,,,한의학과,주간,1학기,109,"1,793,002.3",,,,,,,,,,,,,
,,,,,2학기,109,"1,919,367",,,,,,,,,,,,,
,,IT대학,에너지IT학과,주간,1학기,41,"885,202.4",,,,,,,,,,,,,
,,,,,2학기,32,"978,106.3",,,,,,,,,,,,,
,,,전자공학과,야간,1학기,34,"1,072,602.9",,,,,,,,,,,,,
,,,,,2학기,26,"1,275,700",,,,,,,,,,,,,
,,가천리버럴아츠칼리지,자유전공학부,주간,1학기,163,"1,260,229.8",,,,,,,,,,,,,
,,,,,2학기,157,"1,325,518.3",,,,,,,,,,,,,
,,,한국학전공,주간,2학기,31,"1,816,790.3",,,,,,,,,,,,,
,,IT융합대학,AI・소프트웨어학부(소프트웨어전공),주간,1학기,202,"1,255,481.8",,,,,,,,,,,,,
,,,,,2학기,202,"1,430,078.5",,,,,,,,,,,,,
,,,AI・소프트웨어학부(인공지능전공),주간,1학기,179,"1,402,376.1",,,,,,,,,,,,,
,,,,,2학기,153,"1,521,309",,,,,,,,,,,,,
,,,소프트웨어학과,주간,1학기,218,"1,447,966.1",,,,,,,,,,,,,
,,,,,2학기,193,"2,292,252.6",,,,,,,,,,,,,
,,,전기공학과,주간,1학기,388,"1,436,886.8",,,,,,,,,,,,,
,,,,,2학기,387,"1,605,964.6",,,,,,,,,,,,,
,,,전자공학과,주간,1학기,585,"1,378,371.7",,,,,,,,,,,,,
,,,,,2학기,562,"1,680,891",,,,,,,,,,,,,
,,,컴퓨터공학과,주간,1학기,866,"1,419,385.7",,,,,,,,,,,,,
,,,,,2학기,808,"1,609,845.2",,,,,,,,,,,,,
,,미래산업대학,게임・영상학과,주간,1학기,40,"7,002,290",,,,,,,,,,,,,
,,,,,2학기,39,"6,652,371.8",,,,,,,,,,,,,
,,,디스플레이학과,주간,1학기,40,"6,697,785",,,,,,,,,,,,,
,,,,,2학기,31,"6,294,322.6",,,,,,,,,,,,,
,,,미래자동차학과,주간,1학기,40,"7,109,270",,,,,,,,,,,,,
,,,,,2학기,36,"6,794,333.3",,,,,,,,,,,,,
,,,첨단의료기기학과,주간,1학기,37,"7,230,809.7",,,,,,,,,,,,,
,,,,,2학기,35,"6,901,757.1",,,,,,,,,,,,,
,가톨릭관동대학교,경영대학,경제금융학과,주간,1학기,3,"51,333.3",,,,,,,,,,,,,
,,,,,2학기,3,0,,,,,,,,,,,,,
,,,무역학과,주간,1학기,1,0,,,,,,,,,,,,,
,,,,,2학기,1,"512,500",,,,,,,,,,,,,
,,경찰법정대학,범죄수사학전공,주간,1학기,3,"1,659,006.7",,,,,,,,,,,,,
,,,,,2학기,3,"939,433.3",,,,,,,,,,,,,
,,,법학과,주간,1학기,4,0,,,,,,,,,,,,,
,,,,,2학기,3,"512,500",,,,,,,,,,,,,
,,공과대학,건축공학전공,주간,1학기,102,"1,297,803",,,,,,,,,,,,,
,,,,,2학기,91,"1,353,017.6",,,,,,,,,,,,,
,,,건축학과(5년제),주간,1학기,4,"228,137.5",,,,,,,,,,,,,
,,,건축학전공,주간,1학기,222,"1,559,762.5",,,,,,,,,,,,,
,,,,,2학기,208,"1,447,606.2",,,,,,,,,,,,,
,,,기술창업학과,주간,1학기,9,"1,738,711.1",,,,,,,,,,,,,
,,,,,2학기,7,"1,055,814.3",,,,,,,,,,,,,
,,,바이오융합공학과,주간,1학기,4,"1,926,117.5",,,,,,,,,,,,,
,,,,,2학기,5,"1,499,260",,,,,,,,,,,,,
,,,소프트웨어학과,주간,1학기,180,"1,315,700.4",,,,,,,,,,,,,
,,,,,2학기,160,"1,302,555.9",,,,,,,,,,,,,
,,,에너지플랜트공학과,주간,1학기,2,0,,,,,,,,,,,,,
,,,,,2학기,2,"1,057,550",,,,,,,,,,,,,
,,,전자공학과,주간,1학기,144,"1,358,354.9",,,,,,,,,,,,,
,,,,,2학기,131,"1,375,540.9",,,,,,,,,,,,,
,,,정보통신공학과,주간,1학기,4,"175,000",,,,,,,,,,,,,
,,,,,2학기,2,0,,,,,,,,,,,,,
,,,창업지식재산학과,주간,1학기,34,"1,109,577.1",,,,,,,,,,,,,
,,,,,2학기,29,"1,569,755.2",,,,,,,,,,,,,
,,,컴퓨터공학과,주간,1학기,3,"2,146,530",,,,,,,,,,,,,
,,,,,2학기,3,"1,583,666.7",,,,,,,,,,,,,
,,,토목공학과,주간,1학기,122,"1,199,584",,,,,,,,,,,,,
,,,,,2학기,120,"1,117,376.4",,,,,,,,,,,,,
,,관광스포츠대학,경기지도학과,주간,1학기,1,0,,,,,,,,,,,,,
,,,경기지도학전공,주간,1학기,88,"2,690,865",,,,,,,,,,,,,
,,,,,2학기,77,"2,582,979.2",,,,,,,,,,,,,
,,,관광경영학과,주간,1학기,21,"1,505,690",,,,,,,,,,,,,
,,,,,2학기,17,"1,051,852.9",,,,,,,,,,,,,
,,,관광경영학전공,주간,1학기,196,"1,267,324.9",,,,,,,,,,,,,
,,,,,2학기,165,"1,484,911.7",,,,,,,,,,,,,
,,,스포츠건강관리학과,주간,1학기,12,"1,155,575.8",,,,,,,,,,,,,
,,,스포츠건강관리학전공,주간,1학기,159,"1,819,691.7",,,,,,,,,,,,,
,,,,,2학기,155,"1,790,417.1",,,,,,,,,,,,,
,,,스포츠레저학과,주간,1학기,6,"1,290,818.3",,,,,,,,,,,,,
,,,스포츠레저학전공,주간,1학기,200,"1,781,337.5",,,,,,,,,,,,,
,,,,,2학기,175,"1,647,209.6",,,,,,,,,,,,,
,,,조리외식경영학과,주간,1학기,32,"1,405,844.4",,,,,,,,,,,,,
,,,,,2학기,30,"1,333,426.7",,,,,,,,,,,,,
,,,조리외식경영학전공,주간,1학기,177,"1,048,923.7",,,,,,,,,,,,,
,,,,,2학기,145,"1,199,628.3",,,,,,,,,,,,,
,,,중국문화관광학과,주간,1학기,6,"613,908.3",,,,,,,,,,,,,
,,,,,2학기,3,"721,733.3",,,,,,,,,,,,,
,,,항공경영학전공,주간,1학기,3,"170,833.3",,,,,,,,,,,,,
,,,항공운항학전공,주간,1학기,1,0,,,,,,,,,,,,,
,,,호텔경영학과,주간,1학기,27,"1,675,648.1",,,,,,,,,,,,,
,,,,,2학기,24,"1,218,029.2",,,,,,,,,,,,,
,,,호텔경영학전공,주간,1학기,181,"890,293",,,,,,,,,,,,,
,,,,,2학기,152,"858,546.4",,,,,,,,,,,,,
,,사범대학,가정교육과,주간,1학기,21,"1,395,974.8",,,,,,,,,,,,,
,,,,,2학기,18,"1,890,897.2",,,,,,,,,,,,,
,,,국어교육과,주간,1학기,128,"1,877,164.7",,,,,,,,,,,,,
,,,,,2학기,120,"2,214,005.7",,,,,,,,,,,,,
,,,수학교육과,주간,1학기,130,"1,651,683.1",,,,,,,,,,,,,
,,,,,2학기,122,"2,149,086.8",,,,,,,,,,,,,
,,,역사교육과,주간,1학기,104,"1,714,452",,,,,,,,,,,,,
,,,,,2학기,98,"1,760,583.3",,,,,,,,,,,,,
,,,영어교육과,주간,1학기,111,"1,682,247.6",,,,,,,,,,,,,
,,,,,2학기,108,"1,872,952.1",,,,,,,,,,,,,
,,,지리교육과,주간,1학기,103,"1,472,439.3",,,,,,,,,,,,,
,,,,,2학기,95,"1,812,453.7",,,,,,,,,,,,,
,,,체육교육과,주간,1학기,166,"2,408,128.2",,,,,,,,,,,,,
,,,,,2학기,151,"2,688,148.1",,,,,,,,,,,,,
,,,컴퓨터교육과,주간,1학기,90,"1,940,491",,,,,,,,,,,,,
,,,,,2학기,78,"2,255,805.3",,,,,,,,,,,,,
,,사회과학대학,경영학과,주간,1학기,221,"1,057,380.6",,,,,,,,,,,,,
,,,,,2학기,191,"1,189,799.7",,,,,,,,,,,,,
,,,경찰행정학과,주간,1학기,38,"1,101,766.6",,,,,,,,,,,,,
,,,경찰행정학전공,주간,1학기,647,"1,501,067.9",,,,,,,,,,,,,
,,,,,2학기,604,"1,594,869.1",,,,,,,,,,,,,
,,,공공행정학과,주간,1학기,11,"740,157.3",,,,,,,,,,,,,
,,,공공행정학전공,주간,1학기,89,"1,474,187.6",,,,,,,,,,,,,
,,,,,2학기,98,"1,535,547.2",,,,,,,,,,,,,
,,,광고홍보학과,주간,1학기,10,"2,580,759",,,,,,,,,,,,,
,,,사회복지학과,주간,1학기,269,"1,857,983.9",,,,,,,,,,,,,
,,,,,2학기,256,"1,799,214.6",,,,,,,,,,,,,
,,,언어재활상담전공,주간,1학기,16,"3,252,054.1",,,,,,,,,,,,,
,,,,,2학기,16,"3,207,531.2",,,,,,,,,,,,,
,,,치매전문재활전공,주간,1학기,25,"2,850,253.6",,,,,,,,,,,,,
,,,,,2학기,22,"2,946,595.5",,,,,,,,,,,,,
,,,해양경찰학전공,주간,1학기,4,"1,477,200",,,,,,,,,,,,,
,,,,,2학기,3,"1,455,500",,,,,,,,,,,,,
,,,행정학과,주간,1학기,17,"1,456,848.2",,,,,,,,,,,,,
,,,,,2학기,12,"1,162,691.7",,,,,,,,,,,,,
,,의과대학,간호학과,주간,1학기,401,"1,440,313",,,,,,,,,,,,,
,,,,,2학기,396,"1,551,503.7",,,,,,,,,,,,,
,,,의예과,주간,1학기,116,"1,404,874.1",,,,,,,,,,,,,
,,,,,2학기,115,"1,306,519.2",,,,,,,,,,,,,
,,,의학과,주간,1학기,241,"1,032,473",,,,,,,,,,,,,
,,,,,2학기,240,"1,046,616.9",,,,,,,,,,,,,
,,인문대학,기독교학과,주간,1학기,2,0,,,,,,,,,,,,,
,,,사학과,주간,1학기,5,"755,000",,,,,,,,,,,,,
,,,,,2학기,3,"1,508,333.3",,,,,,,,,,,,,
,,,영어영문학과,주간,1학기,17,"208,915.3",,,,,,,,,,,,,
,,,,,2학기,6,"389,843.3",,,,,,,,,,,,,
,,휴먼서비스대학,산림치유학과,주간,1학기,58,"2,972,022.2",,,,,,,,,,,,,
,,,,,2학기,57,"2,814,523.2",,,,,,,,,,,,,
,,,언어재활상담학과,주간,1학기,69,"2,655,643",,,,,,,,,,,,,
,,,,,2학기,62,"2,714,232.7",,,,,,,,,,,,,
,,,중독재활학과,주간,1학기,54,"2,854,369.1",,,,,,,,,,,,,
,,,,,2학기,51,"2,661,585.1",,,,,,,,,,,,,
,,,치매전문재활학과,주간,1학기,70,"2,764,963.9",,,,,,,,,,,,,
,,,,,2학기,68,"2,881,820.6",,,,,,,,,,,,,
,,항공대학,무인항공학과,주간,1학기,61,"1,624,071.5",,,,,,,,,,,,,
,,,,,2학기,53,"1,541,418.9",,,,,,,,,,,,,
,,,항공경영물류학과,주간,1학기,21,"2,375,048.6",,,,,,,,,,,,,
,,,,,2학기,43,"1,452,347.4",,,,,,,,,,,,,
,,,항공경영학과,주간,1학기,120,"1,207,671.1",,,,,,,,,,,,,
,,,,,2학기,88,"1,621,939.9",,,,,,,,,,,,,
,,,항공운항서비스학과,주간,1학기,136,"1,511,266.4",,,,,,,,,,,,,
,,,,,2학기,139,"1,549,452.7",,,,,,,,,,,,,
,,,항공운항학과,주간,1학기,75,"2,430,655.3",,,,,,,,,,,,,
,,,,,2학기,66,"2,715,102.3",,,,,,,,,,,,,
,,,항공정비학과,주간,1학기,114,"1,947,979.1",,,,,,,,,,,,,
,,,,,2학기,111,"2,163,217.9",,,,,,,,,,,,,
,,공공인재대학,행정학과,주간,1학기,2,0,,,,,,,,,,,,,
,,인문경영대학,경영정보학과,주간,1학기,2,"1,412,260",,,,,,,,,,,,,
,,,,,2학기,2,"1,537,500",,,,,,,,,,,,,
,,방송문화예술대학,CG디자인학전공,주간,1학기,1,"3,606,910",,,,,,,,,,,,,
,,,미디어콘텐츠학전공,주간,1학기,4,"1,152,842.5",,,,,,,,,,,,,
,,,방송연예학과,주간,1학기,4,"1,799,455",,,,,,,,,,,,,
,,,방송제작학전공,주간,1학기,3,0,,,,,,,,,,,,,
,,,뷰티디자인학과,주간,1학기,1,"5,133,080",,,,,,,,,,,,,
,,,실용음악학과,주간,1학기,6,"456,000",,,,,,,,,,,,,
,,의료융합대학,글로벌창업컨설팅학과,주간,1학기,1,0,,,,,,,,,,,,,
,,,바이오융합공학과,주간,1학기,34,"894,413.5",,,,,,,,,,,,,
,,,,,2학기,31,"872,832.3",,,,,,,,,,,,,
,,,안경광학과,주간,1학기,78,"1,171,759.5",,,,,,,,,,,,,
,,,,,2학기,73,"1,746,593.2",,,,,,,,,,,,,
,,,의료IT학과,주간,1학기,86,"1,259,864.1",,,,,,,,,,,,,
,,,,,2학기,75,"1,275,372",,,,,,,,,,,,,
,,,의료경영학과,주간,1학기,233,"1,637,657.9",,,,,,,,,,,,,
,,,,,2학기,210,"1,712,909",,,,,,,,,,,,,
,,,의료공학과,주간,1학기,159,"1,198,292.5",,,,,,,,,,,,,
,,,,,2학기,140,"1,265,570.1",,,,,,,,,,,,,
,,,의생명과학과,주간,1학기,137,"1,588,534.1",,,,,,,,,,,,,
,,,,,2학기,126,"1,635,627.6",,,,,,,,,,,,,
,,,임상병리학과,주간,1학기,159,"1,712,657.8",,,,,,,,,,,,,
,,,,,2학기,153,"1,909,423.3",,,,,,,,,,,,,
,,,치위생학과,주간,1학기,134,"1,767,358.1",,,,,,,,,,,,,
,,,,,2학기,123,"1,837,140",,,,,,,,,,,,,
,,미디어예술대학,CG디자인전공,주간,1학기,112,"1,410,821.6",,,,,,,,,,,,,
,,,,,2학기,104,"1,579,007.3",,,,,,,,,,,,,
,,,CG디자인학과,주간,1학기,35,"1,723,815.7",,,,,,,,,,,,,
,,,,,2학기,32,"1,703,817.5",,,,,,,,,,,,,
,,,광고홍보전공,주간,1학기,102,"1,157,941.2",,,,,,,,,,,,,
,,,,,2학기,98,"1,551,450.8",,,,,,,,,,,,,
,,,광고홍보학과,주간,1학기,16,"1,224,349.4",,,,,,,,,,,,,
,,,,,2학기,14,"1,387,214.3",,,,,,,,,,,,,
,,,방송연예전공,주간,1학기,48,"1,414,645.8",,,,,,,,,,,,,
,,,,,2학기,53,"1,439,977.4",,,,,,,,,,,,,
,,,방송연예학과,주간,1학기,10,"1,432,878",,,,,,,,,,,,,
,,,,,2학기,9,"1,114,966.7",,,,,,,,,,,,,
