통합_학과별_장학금_21-23,,,,,,,,,,,,,,,,,,,,
기준연도,학교명,단과대학,학과,구분,학기,"재학생
(A)","재학생 1인당
장학금
(D=B/A)",,,,,,,,,,,,,
,,,물리교육과,주간,1학기,62,"1,685,773.2",,,,,,,,,,,,,
,,,,,2학기,62,"2,034,006.5",,,,,,,,,,,,,
,,,사회교육과,주간,1학기,63,"1,828,876",,,,,,,,,,,,,
,,,,,2학기,62,"2,318,181.5",,,,,,,,,,,,,
,,,생물교육과,주간,1학기,68,"1,687,634.1",,,,,,,,,,,,,
,,,,,2학기,66,"1,961,823.3",,,,,,,,,,,,,
,,,수학교육과,주간,1학기,102,"1,248,558",,,,,,,,,,,,,
,,,,,2학기,88,"1,278,423.5",,,,,,,,,,,,,
,,,역사교육과,주간,1학기,70,"1,313,308.6",,,,,,,,,,,,,
,,,,,2학기,66,"1,716,641.4",,,,,,,,,,,,,
,,,영어교육과,주간,1학기,91,"1,214,780",,,,,,,,,,,,,
,,,,,2학기,83,"1,328,149.4",,,,,,,,,,,,,
,,,윤리교육과,주간,1학기,66,"1,647,193.4",,,,,,,,,,,,,
,,,,,2학기,64,"1,908,494.7",,,,,,,,,,,,,
,,,지구과학교육과,주간,1학기,66,"1,659,209.4",,,,,,,,,,,,,
,,,,,2학기,66,"2,114,969.4",,,,,,,,,,,,,
,,,지리교육과,주간,1학기,67,"1,888,903.4",,,,,,,,,,,,,
,,,,,2학기,61,"2,327,801.8",,,,,,,,,,,,,
,,,체육교육과,주간,1학기,88,"2,150,662.7",,,,,,,,,,,,,
,,,,,2학기,83,"2,248,324.7",,,,,,,,,,,,,
,,,화학교육과,주간,1학기,61,"1,825,484.7",,,,,,,,,,,,,
,,,,,2학기,56,"2,200,484.6",,,,,,,,,,,,,
,,사회과학대학,경제학과,주간,1학기,202,"1,279,995.6",,,,,,,,,,,,,
,,,,,2학기,189,"1,196,135.9",,,,,,,,,,,,,
,,,사회학과,주간,1학기,134,"1,552,555.1",,,,,,,,,,,,,
,,,,,2학기,122,"1,680,759.2",,,,,,,,,,,,,
,,,심리학과,주간,1학기,182,"1,250,075.3",,,,,,,,,,,,,
,,,,,2학기,175,"1,384,872.6",,,,,,,,,,,,,
,,,정치외교학과,주간,1학기,147,"1,284,279.1",,,,,,,,,,,,,
,,,,,2학기,145,"1,341,287.7",,,,,,,,,,,,,
,,,행정학과,주간,1학기,180,"1,444,061.9",,,,,,,,,,,,,
,,,,,2학기,167,"1,642,222.6",,,,,,,,,,,,,
,,생활과학대학,소비자학과,주간,1학기,89,"1,668,192.7",,,,,,,,,,,,,
,,,,,2학기,96,"1,990,382.4",,,,,,,,,,,,,
,,,식품영양학과,주간,1학기,120,"1,342,072.4",,,,,,,,,,,,,
,,,,,2학기,115,"1,556,876.5",,,,,,,,,,,,,
,,,아동복지학과,주간,1학기,112,"1,520,432.1",,,,,,,,,,,,,
,,,,,2학기,108,"2,135,596",,,,,,,,,,,,,
,,,의류학과,주간,1학기,76,"1,480,223.8",,,,,,,,,,,,,
,,,,,2학기,71,"1,977,722.5",,,,,,,,,,,,,
,,,주거환경학과,주간,1학기,112,"1,489,347.9",,,,,,,,,,,,,
,,,,,2학기,103,"1,921,480",,,,,,,,,,,,,
,,,패션디자인정보학과,주간,1학기,33,"2,264,357.3",,,,,,,,,,,,,
,,,,,2학기,29,"2,317,103.4",,,,,,,,,,,,,
,,수의과대학,수의예과,주간,1학기,94,"893,182.6",,,,,,,,,,,,,
,,,,,2학기,90,"1,383,551.1",,,,,,,,,,,,,
,,,수의학과,주간,1학기,205,"1,240,989.9",,,,,,,,,,,,,
,,,,,2학기,203,"1,327,766.6",,,,,,,,,,,,,
,,약학대학,산업제약학과,주간,1학기,2,0,,,,,,,,,,,,,
,,,,,2학기,2,0,,,,,,,,,,,,,
,,,약학과,주간,1학기,26,"2,018,630.8",,,,,,,,,,,,,
,,,,,2학기,20,"2,171,800",,,,,,,,,,,,,
,,,약학과(2+4학제),주간,1학기,107,"1,558,006.3",,,,,,,,,,,,,
,,,,,2학기,107,"1,675,057.6",,,,,,,,,,,,,
,,,제약학과,주간,1학기,28,"1,504,523.2",,,,,,,,,,,,,
,,,,,2학기,28,"1,408,746.4",,,,,,,,,,,,,
,,,제약학과(2+4학제),주간,1학기,102,"1,489,142.9",,,,,,,,,,,,,
,,,,,2학기,102,"1,972,782.9",,,,,,,,,,,,,
,,의과대학,간호학과,주간,1학기,256,"1,201,631",,,,,,,,,,,,,
,,,,,2학기,254,"1,495,639.1",,,,,,,,,,,,,
,,,의예과,주간,1학기,99,"1,016,614.3",,,,,,,,,,,,,
,,,,,2학기,94,"1,255,608.1",,,,,,,,,,,,,
,,,의학과,주간,1학기,216,"1,289,228.9",,,,,,,,,,,,,
,,,,,2학기,218,"1,418,161.9",,,,,,,,,,,,,
,,인문대학,고고미술사학과,주간,1학기,89,"1,398,751.5",,,,,,,,,,,,,
,,,,,2학기,86,"1,559,359.2",,,,,,,,,,,,,
,,,국어국문학과,주간,1학기,140,"1,380,542.6",,,,,,,,,,,,,
,,,,,2학기,129,"1,713,739.8",,,,,,,,,,,,,
,,,노어노문학과,주간,1학기,7,"1,103,035.7",,,,,,,,,,,,,
,,,,,2학기,6,"2,113,048.3",,,,,,,,,,,,,
,,,독어독문학과,주간,1학기,6,"413,776.7",,,,,,,,,,,,,
,,,,,2학기,7,"300,142.9",,,,,,,,,,,,,
,,,독일언어문화학과,주간,1학기,117,"1,387,984.9",,,,,,,,,,,,,
,,,,,2학기,107,"1,844,836.6",,,,,,,,,,,,,
,,,러시아언어문화학과,주간,1학기,98,"1,351,249.8",,,,,,,,,,,,,
,,,,,2학기,91,"1,851,193",,,,,,,,,,,,,
,,,불어불문학과,주간,1학기,9,"1,091,568.9",,,,,,,,,,,,,
,,,,,2학기,4,"1,127,020",,,,,,,,,,,,,
,,,사학과,주간,1학기,108,"1,543,391.8",,,,,,,,,,,,,
,,,,,2학기,98,"1,639,100.8",,,,,,,,,,,,,
,,,영어영문학과,주간,1학기,160,"1,125,752.5",,,,,,,,,,,,,
,,,,,2학기,141,"1,174,181.1",,,,,,,,,,,,,
,,,중어중문학과,주간,1학기,113,"1,476,298.2",,,,,,,,,,,,,
,,,,,2학기,106,"1,710,497.6",,,,,,,,,,,,,
,,,철학과,주간,1학기,116,"1,302,079.3",,,,,,,,,,,,,
,,,,,2학기,108,"1,467,515.8",,,,,,,,,,,,,
,,,프랑스언어문화학과,주간,1학기,95,"1,451,104.9",,,,,,,,,,,,,
,,,,,2학기,97,"1,453,444.4",,,,,,,,,,,,,
,,자연과학대학,물리학과,주간,1학기,159,"1,405,498.1",,,,,,,,,,,,,
,,,,,2학기,141,"1,943,920.4",,,,,,,,,,,,,
,,,미생물학과,주간,1학기,70,"1,159,355.1",,,,,,,,,,,,,
,,,,,2학기,60,"1,574,854.8",,,,,,,,,,,,,
,,,생명과학과,주간,1학기,41,"1,116,402.4",,,,,,,,,,,,,
,,,,,2학기,32,"1,319,098.8",,,,,,,,,,,,,
,,,생명과학부,주간,1학기,21,"1,142,316.2",,,,,,,,,,,,,
,,,,,2학기,30,"1,180,556",,,,,,,,,,,,,
,,,생명과학부 미생물학전공,주간,1학기,70,"1,763,436.9",,,,,,,,,,,,,
,,,,,2학기,70,"1,306,332.9",,,,,,,,,,,,,
,,,생명과학부 생물과학전공,주간,1학기,21,"1,650,603.8",,,,,,,,,,,,,
,,,,,2학기,19,"1,415,421.1",,,,,,,,,,,,,
,,,생명과학부 생물학전공,주간,1학기,42,"1,541,751.7",,,,,,,,,,,,,
,,,,,2학기,40,"1,677,266.5",,,,,,,,,,,,,
,,,생명과학부 생화학전공,주간,1학기,79,"1,858,965.6",,,,,,,,,,,,,
,,,,,2학기,78,"1,978,371.9",,,,,,,,,,,,,
,,,생물학과,주간,1학기,28,"1,631,402.9",,,,,,,,,,,,,
,,,,,2학기,28,"1,296,601.4",,,,,,,,,,,,,
,,,생화학과,주간,1학기,60,"1,328,247.3",,,,,,,,,,,,,
,,,,,2학기,55,"1,552,906.9",,,,,,,,,,,,,
,,,수학・정보통계학부 수학전공,주간,1학기,42,"1,145,368.3",,,,,,,,,,,,,
,,,,,2학기,54,"1,428,728.1",,,,,,,,,,,,,
,,,수학・정보통계학부 정보통계학전공,주간,1학기,61,"1,500,551.9",,,,,,,,,,,,,
,,,,,2학기,57,"1,624,540",,,,,,,,,,,,,
,,,수학과,주간,1학기,80,"1,568,645.2",,,,,,,,,,,,,
,,,,,2학기,63,"1,729,758.3",,,,,,,,,,,,,
,,,정보통계학과,주간,1학기,83,"1,191,675.7",,,,,,,,,,,,,
,,,,,2학기,79,"1,141,109.1",,,,,,,,,,,,,
,,,지구환경과학과,주간,1학기,100,"1,718,969",,,,,,,,,,,,,
,,,,,2학기,94,"1,726,297.6",,,,,,,,,,,,,
,,,천문우주학과,주간,1학기,114,"2,036,775.8",,,,,,,,,,,,,
,,,,,2학기,108,"2,190,402.1",,,,,,,,,,,,,
,,,화학과,주간,1학기,180,"1,423,543.3",,,,,,,,,,,,,
,,,,,2학기,173,"1,641,127",,,,,,,,,,,,,
,,전자정보대학,소프트웨어학과,주간,1학기,312,"1,690,667.2",,,,,,,,,,,,,
,,,,,2학기,321,"1,949,851.7",,,,,,,,,,,,,
,,,소프트웨어학부,주간,1학기,84,"1,586,441.3",,,,,,,,,,,,,
,,,,,2학기,80,"1,741,704.4",,,,,,,,,,,,,
,,,전기공학부,주간,1학기,272,"1,574,073.3",,,,,,,,,,,,,
,,,,,2학기,261,"1,643,271.2",,,,,,,,,,,,,
,,,전자공학부,주간,1학기,409,"1,287,939.9",,,,,,,,,,,,,
,,,,,2학기,401,"1,506,829.1",,,,,,,,,,,,,
,,,전자공학부 반도체공학전공,주간,1학기,24,"2,484,655",,,,,,,,,,,,,
,,,,,2학기,20,"1,274,812",,,,,,,,,,,,,
,,,전자공학전공,주간,1학기,13,"2,116,720",,,,,,,,,,,,,
,,,,,2학기,10,"1,511,642",,,,,,,,,,,,,
,,,정보통신공학부,주간,1학기,420,"1,505,354.6",,,,,,,,,,,,,
,,,,,2학기,399,"1,698,749.4",,,,,,,,,,,,,
,,,지능로봇공학과,주간,1학기,66,"1,398,829.7",,,,,,,,,,,,,
,,,,,2학기,61,"1,899,703.1",,,,,,,,,,,,,
,,,컴퓨터공학과,야간,1학기,69,"1,766,072.5",,,,,,,,,,,,,
,,,,주간,1학기,171,"1,598,384.1",,,,,,,,,,,,,
,,,,,2학기,174,"1,752,225.6",,,,,,,,,,,,,
,,,,야간,2학기,66,"1,840,212.1",,,,,,,,,,,,,
,,단과대구분없음,동양화전공,주간,1학기,42,"1,566,459.5",,,,,,,,,,,,,
,,,,,2학기,39,"1,763,265.6",,,,,,,,,,,,,
,,,디자인학과,주간,1학기,40,"1,680,801.9",,,,,,,,,,,,,
,,,,,2학기,40,"2,149,151.7",,,,,,,,,,,,,
,,,서양화전공,주간,1학기,45,"1,269,524.4",,,,,,,,,,,,,
,,,,,2학기,41,"1,502,553.2",,,,,,,,,,,,,
,,,자율전공학부(인문・자연),주간,1학기,62,"1,018,139.4",,,,,,,,,,,,,
,,,,,2학기,50,"1,335,867.6",,,,,,,,,,,,,
,,,조소전공,주간,1학기,28,"923,912.1",,,,,,,,,,,,,
,,,,,2학기,24,"1,229,077.5",,,,,,,,,,,,,
,칼빈대학교,단과대구분없음,글로벌문화산업경영학과,주간,1학기,121,"1,592,337.2",,,,,,,,,,,,,
,,,,,2학기,117,"1,543,931.6",,,,,,,,,,,,,
,,,드론학과,주간,1학기,30,"3,494,266.7",,,,,,,,,,,,,
,,,,,2학기,29,"1,462,069",,,,,,,,,,,,,
,,,반려동물학과,주간,1학기,48,"3,296,533.3",,,,,,,,,,,,,
,,,,,2학기,119,"1,711,450.1",,,,,,,,,,,,,
,,,복지상담학과,주간,1학기,11,"2,090,454.5",,,,,,,,,,,,,
,,,,,2학기,13,"1,710,769.2",,,,,,,,,,,,,
,,,신학과,주간,1학기,20,"3,692,500",,,,,,,,,,,,,
,,,,,2학기,112,"666,488.5",,,,,,,,,,,,,
,,,신학부,주간,1학기,142,"2,521,000",,,,,,,,,,,,,
,,,,,2학기,39,"8,644,196",,,,,,,,,,,,,
,,,실용음악과,주간,1학기,23,"1,789,678.3",,,,,,,,,,,,,
,,,,,2학기,23,"2,049,782.6",,,,,,,,,,,,,
,,,아동・복지상담학과,주간,1학기,13,"2,098,057.7",,,,,,,,,,,,,
,,,,,2학기,10,"2,319,277",,,,,,,,,,,,,
,,,아동보육학과,주간,1학기,21,"2,100,619",,,,,,,,,,,,,
,,,,,2학기,18,"2,181,666.7",,,,,,,,,,,,,
,평택대학교,문화예술대학,공연영상콘텐츠학과,주간,1학기,118,"2,663,939.9",,,,,,,,,,,,,
,,,,,2학기,110,"3,161,579.9",,,,,,,,,,,,,
,,,실용음악학과,주간,1학기,89,"1,865,998.7",,,,,,,,,,,,,
,,,,,2학기,82,"1,864,633.8",,,,,,,,,,,,,
,,,음악학과,주간,1학기,95,"1,948,129.7",,,,,,,,,,,,,
,,,,,2학기,79,"2,239,712.5",,,,,,,,,,,,,
,,,커뮤니케이션디자인학과,주간,1학기,100,"1,925,529.2",,,,,,,,,,,,,
,,,,,2학기,94,"1,924,103.2",,,,,,,,,,,,,
,,,패션디자인및브랜딩학과,주간,1학기,103,"1,889,409.9",,,,,,,,,,,,,
,,,,,2학기,96,"1,919,477.7",,,,,,,,,,,,,
,,IT공과대학,ICT융합학부,주간,1학기,90,"3,733.3",,,,,,,,,,,,,
,,,ICT환경융합전공,주간,1학기,127,"1,314,413.1",,,,,,,,,,,,,
,,,,,2학기,121,"1,543,538.6",,,,,,,,,,,,,
,,,데이터정보학과,주간,1학기,153,"1,295,048",,,,,,,,,,,,,
,,,,,2학기,143,"1,448,006.6",,,,,,,,,,,,,
,,,미디어디자인전공,주간,1학기,95,"2,341,678.5",,,,,,,,,,,,,
,,,,,2학기,131,"2,047,289.6",,,,,,,,,,,,,
,,,스마트자동차학과,주간,1학기,127,"1,803,434.6",,,,,,,,,,,,,
,,,,,2학기,108,"1,767,917.8",,,,,,,,,,,,,
,,,스마트콘텐츠전공,주간,1학기,94,"2,216,718.9",,,,,,,,,,,,,
,,,,,2학기,129,"1,622,087.3",,,,,,,,,,,,,
,,,융합소프트웨어학과,주간,1학기,175,"2,141,833",,,,,,,,,,,,,
,,,,,2학기,170,"2,214,103.5",,,,,,,,,,,,,
,,,정보통신학과,주간,1학기,166,"1,535,467.9",,,,,,,,,,,,,
,,,,,2학기,168,"1,473,751.6",,,,,,,,,,,,,
,,단과대구분없음,경영학과,주간,1학기,5,"1,200,000",,,,,,,,,,,,,
,,,,,2학기,5,"1,200,000",,,,,,,,,,,,,
,,,광고홍보학과,주간,1학기,4,"1,400,000",,,,,,,,,,,,,
,,,,,2학기,2,"4,425,000",,,,,,,,,,,,,
,,,국어국문학과,주간,1학기,3,"1,116,666.7",,,,,,,,,,,,,
,,,,,2학기,1,0,,,,,,,,,,,,,
,,,데이터정보학과,주간,1학기,8,"331,250",,,,,,,,,,,,,
,,,,,2학기,5,"650,000",,,,,,,,,,,,,
,,,도시및부동산개발학과,주간,1학기,6,"2,244,666.7",,,,,,,,,,,,,
,,,,,2학기,5,"980,000",,,,,,,,,,,,,
,,,무역물류학과,주간,1학기,11,"854,545.5",,,,,,,,,,,,,
,,,,,2학기,9,"540,888.9",,,,,,,,,,,,,
,,,무역학전공,주간,1학기,1,0,,,,,,,,,,,,,
,,,미국학과,주간,1학기,7,"1,438,571.4",,,,,,,,,,,,,
,,,,,2학기,5,"1,304,000",,,,,,,,,,,,,
,,,방송연예학과,주간,1학기,5,"2,005,200",,,,,,,,,,,,,
,,,,,2학기,3,"1,900,000",,,,,,,,,,,,,
,,,사회복지학과,주간,1학기,2,"84,000",,,,,,,,,,,,,
,,,,,2학기,3,0,,,,,,,,,,,,,
,,,시각디자인학과,주간,1학기,5,"700,000",,,,,,,,,,,,,
,,,,,2학기,5,"2,683,600",,,,,,,,,,,,,
,,,신학과,주간,1학기,1,0,,,,,,,,,,,,,
,,,,,2학기,1,0,,,,,,,,,,,,,
,,,실용음악학과,주간,1학기,7,"1,141,545.7",,,,,,,,,,,,,
,,,,,2학기,4,"2,480,267.5",,,,,,,,,,,,,
,,,실용음악학전공,주간,1학기,1,"3,268,000",,,,,,,,,,,,,
,,,아동・청소년복지학과,주간,1학기,2,"3,743,750",,,,,,,,,,,,,
,,,,,2학기,2,"4,340,625",,,,,,,,,,,,,
,,,영상디자인학과,주간,1학기,3,0,,,,,,,,,,,,,
,,,,,2학기,1,"4,356,000",,,,,,,,,,,,,
,,,음악학과,주간,1학기,9,"1,419,124.4",,,,,,,,,,,,,
,,,,,2학기,9,"1,374,000",,,,,,,,,,,,,
,,,일본학과,주간,1학기,10,"992,000",,,,,,,,,,,,,
,,,,,2학기,9,"1,361,746.7",,,,,,,,,,,,,
,,,재활복지학과,주간,1학기,5,"1,015,000",,,,,,,,,,,,,
,,,,,2학기,4,0,,,,,,,,,,,,,
,,,정보통신학과,주간,1학기,9,"835,333.3",,,,,,,,,,,,,
,,,,,2학기,8,"1,630,000",,,,,,,,,,,,,
,,,중국학과,주간,1학기,2,"1,675,000",,,,,,,,,,,,,
,,,,,2학기,2,"3,234,000",,,,,,,,,,,,,
,,,컴퓨터학과,주간,1학기,10,"1,058,610",,,,,,,,,,,,,
,,,,,2학기,10,"880,000",,,,,,,,,,,,,
,,,패션디자인및브랜딩학과,주간,1학기,2,"1,725,000",,,,,,,,,,,,,
,,,,,2학기,2,"1,550,000",,,,,,,,,,,,,
,,,행정학과,주간,1학기,9,"1,388,888.9",,,,,,,,,,,,,
,,,,,2학기,5,"1,340,000",,,,,,,,,,,,,
,,,환경융합시스템학과,주간,1학기,4,"25,000",,,,,,,,,,,,,
,,,,,2학기,5,"20,000",,,,,,,,,,,,,
,,사회서비스대학,간호학과,주간,1학기,103,"1,426,324.1",,,,,,,,,,,,,
,,,,,2학기,104,"2,243,129",,,,,,,,,,,,,
,,,광고홍보학과,주간,1학기,125,"2,032,156.5",,,,,,,,,,,,,
,,,,,2학기,111,"2,197,884.9",,,,,,,,,,,,,
,,,사회복지학과,주간,1학기,198,"2,314,905.8",,,,,,,,,,,,,
,,,,,2학기,192,"2,534,361.5",,,,,,,,,,,,,
,,,신학과,주간,1학기,34,"2,739,875.1",,,,,,,,,,,,,
,,,,,2학기,25,"3,222,997.4",,,,,,,,,,,,,
,,,아동・청소년교육상담학과,주간,1학기,111,"2,325,466.5",,,,,,,,,,,,,
,,,,,2학기,111,"2,811,497.2",,,,,,,,,,,,,
,,,아동・청소년복지학과,주간,1학기,17,"2,173,941.8",,,,,,,,,,,,,
,,,,,2학기,18,"2,009,523.3",,,,,,,,,,,,,
,,,재활상담학과,주간,1학기,106,"1,764,346.5",,,,,,,,,,,,,
,,,,,2학기,98,"2,017,489.6",,,,,,,,,,,,,
,,국제물류대학,경영학과,주간,1학기,175,"1,846,572.3",,,,,,,,,,,,,
,,,,,2학기,159,"1,856,489.1",,,,,,,,,,,,,
,,,국제도시부동산학과,주간,1학기,123,"1,599,492.3",,,,,,,,,,,,,
,,,,,2학기,113,"2,019,803.3",,,,,,,,,,,,,
,,,국제무역행정학과,주간,1학기,183,"1,756,064.3",,,,,,,,,,,,,
,,,,,2학기,167,"1,854,606.1",,,,,,,,,,,,,
,,,국제물류학과,주간,1학기,153,"1,996,645.9",,,,,,,,,,,,,
,,,,,2학기,137,"2,173,938",,,,,,,,,,,,,
,,,국제지역학부,주간,1학기,78,"34,756.4",,,,,,,,,,,,,
,,,미국학전공,주간,1학기,84,"2,295,504.2",,,,,,,,,,,,,
,,,,,2학기,110,"1,855,929.6",,,,,,,,,,,,,
,,,일본학전공,주간,1학기,62,"1,849,674.8",,,,,,,,,,,,,
,,,,,2학기,75,"1,531,029.6",,,,,,,,,,,,,
,,,중국학전공,주간,1학기,54,"2,843,372.6",,,,,,,,,,,,,
,,,,,2학기,62,"2,309,291.9",,,,,,,,,,,,,
,포항공과대학교,공과대학,IT융합공학과,주간,1학기,37,"2,910,943.2",,,,,,,,,,,,,
,,,,,2학기,40,"3,731,387.1",,,,,,,,,,,,,
,,,기계공학과,주간,1학기,61,"2,847,677.9",,,,,,,,,,,,,
,,,,,2학기,54,"4,197,780.2",,,,,,,,,,,,,
,,,단일계열,주간,1학기,612,"1,611,507.2",,,,,,,,,,,,,
,,,,,2학기,316,"2,703,134",,,,,,,,,,,,,
,,,물리학과,주간,1학기,35,"4,125,443.6",,,,,,,,,,,,,
,,,,,2학기,43,"4,253,723.7",,,,,,,,,,,,,
,,,산업경영공학과,주간,1학기,44,"3,596,044.7",,,,,,,,,,,,,
,,,,,2학기,55,"3,439,177.6",,,,,,,,,,,,,
,,,생명과학과,주간,1학기,39,"6,129,043.6",,,,,,,,,,,,,
,,,,,2학기,70,"4,228,502.1",,,,,,,,,,,,,
,,,수학과,주간,1학기,28,"4,758,425",,,,,,,,,,,,,
,,,,,2학기,42,"3,643,723.8",,,,,,,,,,,,,
,,,신소재공학과,주간,1학기,32,"4,860,524.7",,,,,,,,,,,,,
,,,,,2학기,43,"4,980,979.4",,,,,,,,,,,,,
,,,전자전기공학과,주간,1학기,127,"4,826,827.4",,,,,,,,,,,,,
,,,,,2학기,179,"4,388,205.9",,,,,,,,,,,,,
,,,컴퓨터공학과,주간,1학기,141,"4,385,716.1",,,,,,,,,,,,,
,,,,,2학기,202,"3,481,646.5",,,,,,,,,,,,,
,,,화학공학과,주간,1학기,81,"4,133,681",,,,,,,,,,,,,
,,,,,2학기,88,"4,403,055.1",,,,,,,,,,,,,
,,,화학과,주간,1학기,48,"4,328,378.7",,,,,,,,,,,,,
,,,,,2학기,64,"4,534,089.4",,,,,,,,,,,,,
,한경국립대학교,공과대학,건축공학전공,주간,1학기,32,"1,397,050.3",,,,,,,,,,,,,
,,,,,2학기,35,"1,393,900.6",,,,,,,,,,,,,
,,,건축학전공,주간,1학기,58,"1,327,639",,,,,,,,,,,,,
,,,,,2학기,59,"1,435,167.1",,,,,,,,,,,,,
,,,기계공학과,주간,1학기,85,"1,463,513.2",,,,,,,,,,,,,
,,,,,2학기,78,"1,402,528.2",,,,,,,,,,,,,
,,,디자인학과,주간,1학기,117,"1,353,956.2",,,,,,,,,,,,,
,,,,,2학기,113,"1,196,805.8",,,,,,,,,,,,,
,,,식품생물공학과,야간,1학기,50,"1,572,149.6",,,,,,,,,,,,,
,,,,주간,1학기,66,"1,727,670.5",,,,,,,,,,,,,
,,,,야간,2학기,44,"1,716,493.2",,,,,,,,,,,,,
,,,,주간,2학기,67,"1,305,697.8",,,,,,,,,,,,,
,,,전기전자제어공학과,야간,1학기,44,"1,426,796.1",,,,,,,,,,,,,
,,,,주간,1학기,354,"1,257,040.8",,,,,,,,,,,,,
,,,,야간,2학기,46,"1,180,417",,,,,,,,,,,,,
,,,,주간,2학기,350,"1,171,602.2",,,,,,,,,,,,,
,,,컴퓨터공학과,주간,1학기,167,"1,384,382.4",,,,,,,,,,,,,
,,,,,2학기,169,"1,336,342.5",,,,,,,,,,,,,
,,,토목안전환경공학과,야간,1학기,116,"1,234,156.9",,,,,,,,,,,,,
,,,,주간,1학기,199,"1,466,415.1",,,,,,,,,,,,,
,,,,야간,2학기,106,"1,202,771.8",,,,,,,,,,,,,
,,,,주간,2학기,189,"1,418,378",,,,,,,,,,,,,
,,,화학공학과,야간,1학기,20,"1,269,047.5",,,,,,,,,,,,,
,,,,주간,1학기,86,"1,414,726.2",,,,,,,,,,,,,
,,,,,2학기,83,"1,585,829.4",,,,,,,,,,,,,
,,,,야간,2학기,13,"852,373.8",,,,,,,,,,,,,
,,농업생명과학대학,동물생명환경과학과,주간,1학기,141,"1,379,950.7",,,,,,,,,,,,,
,,,,,2학기,137,"1,174,848.2",,,,,,,,,,,,,
,,,생명공학과,주간,1학기,59,"1,417,382.4",,,,,,,,,,,,,
,,,,,2학기,55,"1,485,417.5",,,,,,,,,,,,,
,,,식물생명환경과학과,주간,1학기,94,"1,316,281.8",,,,,,,,,,,,,
,,,,,2학기,90,"1,358,436.7",,,,,,,,,,,,,
,,,원예생명과학과,주간,1학기,68,"1,542,522.1",,,,,,,,,,,,,
,,,,,2학기,55,"1,548,077.8",,,,,,,,,,,,,
,,,지역자원시스템공학과,주간,1학기,50,"1,086,601.8",,,,,,,,,,,,,
,,,,,2학기,48,"1,093,604",,,,,,,,,,,,,
,,인문사회과학대학,경영학과,주간,1학기,89,"1,502,883.9",,,,,,,,,,,,,
,,,,,2학기,86,"1,438,874.6",,,,,,,,,,,,,
,,,미디어문예창작학과,주간,1학기,47,"1,791,515.4",,,,,,,,,,,,,
,,,,,2학기,43,"2,001,191.6",,,,,,,,,,,,,
,,,법학과,주간,1학기,99,"1,332,674.9",,,,,,,,,,,,,
,,,,,2학기,92,"1,392,839.6",,,,,,,,,,,,,
,,,영어학과,주간,1학기,59,"1,464,959.3",,,,,,,,,,,,,
,,,,,2학기,42,"1,373,832.4",,,,,,,,,,,,,
,,,행정학과,주간,1학기,41,"1,984,409.9",,,,,,,,,,,,,
,,,,야간,1학기,19,"1,631,456.8",,,,,,,,,,,,,
,,,,주간,2학기,53,"1,656,583.5",,,,,,,,,,,,,
,,,,야간,2학기,19,"1,347,056.8",,,,,,,,,,,,,
,,자연과학대학,스포츠과학과,주간,1학기,47,"3,441,977.7",,,,,,,,,,,,,
,,,,,2학기,47,"2,740,266.4",,,,,,,,,,,,,
,,,아동가족복지학과,주간,1학기,50,"1,808,928.3",,,,,,,,,,,,,
,,,,,2학기,49,"1,654,895.5",,,,,,,,,,,,,
,,,영양조리과학과,주간,1학기,53,"1,247,447.1",,,,,,,,,,,,,
,,,,,2학기,55,"1,020,209.6",,,,,,,,,,,,,
,,,융합레포츠학과,야간,1학기,19,"1,813,562.1",,,,,,,,,,,,,
,,,,,2학기,18,"1,520,573.3",,,,,,,,,,,,,
,,,응용수학과,주간,1학기,38,"1,454,267.9",,,,,,,,,,,,,
,,,,,2학기,29,"1,765,898.3",,,,,,,,,,,,,
,,,의류산업학과,주간,1학기,38,"1,190,857.9",,,,,,,,,,,,,
,,,,,2학기,40,"1,005,837",,,,,,,,,,,,,
,,,조경학과,주간,1학기,79,"1,288,934.4",,,,,,,,,,,,,
,,,,,2학기,72,"1,190,272.1",,,,,,,,,,,,,
,,단과대구분없음,ICT로봇공학전공,주간,1학기,40,"1,497,567",,,,,,,,,,,,,
,,,,,2학기,30,"1,691,513.2",,,,,,,,,,,,,
,,,ICT로봇기계공학부,주간,1학기,83,"1,351,908.3",,,,,,,,,,,,,
,,,,,2학기,76,"1,188,534.9",,,,,,,,,,,,,
,,,건설환경공학부,주간,1학기,86,"1,523,235.8",,,,,,,,,,,,,
,,,,,2학기,73,"1,401,144.7",,,,,,,,,,,,,
,,,건축공학전공,주간,1학기,34,"1,189,600.3",,,,,,,,,,,,,
,,,,,2학기,26,"1,589,748.8",,,,,,,,,,,,,
,,,건축학전공,주간,1학기,49,"1,481,445.9",,,,,,,,,,,,,
,,,,,2학기,45,"1,298,988.9",,,,,,,,,,,,,
,,,경영학전공,주간,1학기,77,"1,180,746.2",,,,,,,,,,,,,
,,,,,2학기,76,"990,933.4",,,,,,,,,,,,,
,,,공공행정전공,주간,1학기,45,"1,237,589.3",,,,,,,,,,,,,
,,,,,2학기,43,"1,216,971.6",,,,,,,,,,,,,
,,,글로벌물류전공,야간,1학기,12,"1,381,840",,,,,,,,,,,,,
,,,,,2학기,12,"1,351,800",,,,,,,,,,,,,
,,,기계공학전공,주간,1학기,20,"1,112,733",,,,,,,,,,,,,
