기준년도,학교,계열,학생정원,재학생,전임교원,전임교원1인당학생정원,전임교원1인당재학생
,,의학계열,0,0,0,0,0
,,자연과학계열,0,0,0,0,0
,,예ㆍ체능계열,"2,252","2,763",133,16.93,20.77
,한국외국어대학교,인문ㆍ사회계열,"16,165","18,725",587,27.54,31.9
,,자연과학계열,"1,231","1,261",46,26.76,27.41
,,예ㆍ체능계열,0,0,0,0,0
,,공학계열,"1,178","1,275",47,25.06,27.13
,,의학계열,0,0,0,0,0
,한국전통문화대학교,자연과학계열,80,81,3,26.67,27
,,공학계열,372,375,15,24.8,25
,,예ㆍ체능계열,226,211,7,32.29,30.14
,,인문ㆍ사회계열,267,255,11,24.27,23.18
,,의학계열,0,0,0,0,0
,한국체육대학교,자연과학계열,0,0,0,0,0
,,인문ㆍ사회계열,0,0,0,0,0
,,의학계열,0,0,0,0,0
,,공학계열,0,0,0,0,0
,,예ㆍ체능계열,"3,167","3,310",107,29.6,30.93
,한국침례신학대학교,인문ㆍ사회계열,"2,376","2,146",41,57.95,52.34
,,자연과학계열,0,0,0,0,0
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,370,264,4,92.5,66
,,공학계열,0,0,0,0,0
,한국항공대학교,자연과학계열,852,"1,120",24,35.5,46.67
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,0,0,0,0,0
,,공학계열,"2,636","2,769",98,26.9,28.26
,,인문ㆍ사회계열,721,695,46,15.67,15.11
,한남대학교,자연과학계열,"1,430","1,410",52,27.5,27.12
,,공학계열,"2,976","2,826",103,28.89,27.44
,,의학계열,0,0,0,0,0
,,인문ㆍ사회계열,"7,015","7,303",226,31.04,32.31
,,예ㆍ체능계열,"1,165","1,127",42,27.74,26.83
,한동대학교,의학계열,0,0,0,0,0
,,인문ㆍ사회계열,"1,864","2,656",92,20.26,28.87
,,자연과학계열,248,253,8,31,31.63
,,공학계열,"1,535","1,625",58,26.47,28.02
,,예ㆍ체능계열,0,0,0,0,0
,한라대학교,공학계열,"1,970","2,035",67,29.4,30.37
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,178,175,8,22.25,21.88
,,자연과학계열,0,0,0,0,0
,,인문ㆍ사회계열,"1,479","1,542",51,29,30.24
,한려대학교,공학계열,70,5,4,17.5,1.25
,,인문ㆍ사회계열,314,57,13,24.15,4.38
,,자연과학계열,835,304,21,39.76,14.48
,,예ㆍ체능계열,158,49,3,52.67,16.33
,,의학계열,0,0,0,0,0
,한림대학교,공학계열,955,"1,051",49,19.49,21.45
,,자연과학계열,"2,581","2,474",65,39.71,38.06
,,예ㆍ체능계열,213,255,4,53.25,63.75
,,인문ㆍ사회계열,"4,076","4,553",184,22.15,24.74
,,의학계열,604,529,471,1.28,1.12
,한북대학교,자연과학계열,0,0,0,0,0
,,예ㆍ체능계열,0,0,0,0,0
,,의학계열,0,0,0,0,0
,,공학계열,0,0,0,0,0
,,인문ㆍ사회계열,0,0,0,0,0
,한서대학교,인문ㆍ사회계열,"1,765","2,192",80,22.06,27.4
,,자연과학계열,"1,855","1,902",57,32.54,33.37
,,공학계열,"1,987","1,990",80,24.84,24.88
,,예ㆍ체능계열,"1,387","1,648",52,26.67,31.69
,,의학계열,0,0,0,0,0
,한성대학교,의학계열,0,0,0,0,0
,,인문ㆍ사회계열,"4,109","3,878",148,27.76,26.2
,,자연과학계열,0,0,0,0,0
,,예ㆍ체능계열,"1,295","1,642",44,29.43,37.32
,,공학계열,"1,771","2,135",70,25.3,30.5
,한세대학교,인문ㆍ사회계열,"2,184","2,072",84,26,24.67
,,공학계열,277,273,7,39.57,39
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,977,"1,075",29,33.69,37.07
,,자연과학계열,154,167,6,25.67,27.83
,한신대학교,인문ㆍ사회계열,"4,084","4,339",138,29.59,31.44
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,167,170,5,33.4,34
,,공학계열,920,954,28,32.86,34.07
,,자연과학계열,328,337,7,46.86,48.14
,한양대학교,예ㆍ체능계열,"2,081","2,516",63,33.03,39.94
,,의학계열,582,562,251,2.32,2.24
,,공학계열,"8,602","9,198",305,28.2,30.16
,,자연과학계열,"2,571","2,595",135,19.04,19.22
,,인문ㆍ사회계열,"8,966","11,067",309,29.02,35.82
,한양대학교(ERICA) _분교,자연과학계열,732,763,34,21.53,22.44
,,의학계열,0,0,0,0,0
,,공학계열,"4,531","4,759",189,23.97,25.18
,,인문ㆍ사회계열,"2,964","3,640",122,24.3,29.84
,,예ㆍ체능계열,"1,339","1,583",32,41.84,49.47
,한일장신대학교,공학계열,0,0,0,0,0
,,예ㆍ체능계열,213,223,7,30.43,31.86
,,의학계열,0,0,0,0,0
,,자연과학계열,208,213,8,26,26.63
,,인문ㆍ사회계열,"1,000","1,020",31,32.26,32.9
,협성대학교,자연과학계열,314,274,8,39.25,34.25
,,인문ㆍ사회계열,"3,078","2,960",87,35.38,34.02
,,공학계열,587,547,16,36.69,34.19
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,705,658,34,20.74,19.35
,호남대학교,공학계열,"1,737","1,620",63,27.57,25.71
,,자연과학계열,"1,827","1,860",56,32.63,33.21
,,의학계열,0,0,0,0,0
,,인문ㆍ사회계열,"2,442","3,225",110,22.2,29.32
,,예ㆍ체능계열,"1,180","1,420",44,26.82,32.27
,호남신학대학교,자연과학계열,0,0,0,0,0
,,예ㆍ체능계열,282,255,9,31.33,28.33
,,인문ㆍ사회계열,"1,028",912,28,36.71,32.57
,,의학계열,0,0,0,0,0
,,공학계열,0,0,0,0,0
,호서대학교,인문ㆍ사회계열,"5,193","5,889",212,24.5,27.78
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,"1,712","2,157",45,38.04,47.93
,,공학계열,"5,267","5,350",180,29.26,29.72
,,자연과학계열,"1,566","1,765",58,27,30.43
,호원대학교,인문ㆍ사회계열,"1,108","1,543",58,19.1,26.6
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,"1,463","1,587",46,31.8,34.5
,,자연과학계열,976,996,27,36.15,36.89
,,공학계열,"1,087","1,310",31,35.06,42.26
,홍익대학교,예ㆍ체능계열,"4,652","5,762",161,28.89,35.79
,,의학계열,0,0,0,0,0
,,공학계열,"6,496","6,372",200,32.48,31.86
,,자연과학계열,112,130,6,18.67,21.67
,,인문ㆍ사회계열,"3,703","5,015",200,18.52,25.08
,홍익대학교 _제2캠퍼스,자연과학계열,0,0,0,0,0
,,공학계열,"3,169","2,691",84,37.73,32.04
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,"1,287","1,916",64,20.11,29.94
,,인문ㆍ사회계열,"1,132","1,452",64,17.69,22.69
,화성의과학대학교,인문ㆍ사회계열,385,191,18,21.39,10.61
,,자연과학계열,378,265,14,27,18.93
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,253,113,5,50.6,22.6
,,공학계열,0,0,0,0,0
2019,가야대학교(고령) _제2캠퍼스,예ㆍ체능계열,0,0,0,0,0
,,자연과학계열,0,0,0,0,0
,,인문ㆍ사회계열,0,0,0,0,0
,,공학계열,0,0,0,0,0
,,의학계열,0,0,0,0,0
,가야대학교(김해),예ㆍ체능계열,0,0,0,0,0
,,의학계열,0,0,0,0,0
,,자연과학계열,"1,715","1,595",46,37.28,34.67
,,인문ㆍ사회계열,"1,220",975,41,29.76,23.78
,,공학계열,0,0,0,0,0
,가천대학교,의학계열,567,522,221,2.57,2.36
,,자연과학계열,"3,448","3,728",198,17.41,18.83
,,예ㆍ체능계열,"1,615","1,815",40,40.38,45.38
,,인문ㆍ사회계열,"6,893","8,978",229,30.1,39.21
,,공학계열,"5,732","6,678",209,27.43,31.95
,가톨릭관동대학교,인문ㆍ사회계열,"4,552","4,356",166,27.42,26.24
,,자연과학계열,"1,270","1,211",63,20.16,19.22
,,공학계열,"1,903","1,584",49,38.84,32.33
,,예ㆍ체능계열,"1,588","1,236",33,48.12,37.45
,,의학계열,222,254,127,1.75,2
,가톨릭꽃동네대학교,의학계열,0,0,0,0,0
,,인문ㆍ사회계열,422,369,18,23.44,20.5
,,공학계열,0,0,0,0,0
,,예ㆍ체능계열,0,0,0,0,0
,,자연과학계열,160,167,6,26.67,27.83
,가톨릭대학교,의학계열,0,0,0,0,0
,,예ㆍ체능계열,209,202,4,52.25,50.5
,,공학계열,"1,327","1,529",34,39.03,44.97
,,인문ㆍ사회계열,"5,026","5,196",165,30.46,31.49
,,자연과학계열,"1,492","1,593",54,27.63,29.5
,가톨릭대학교 _제2캠퍼스,예ㆍ체능계열,0,0,0,0,0
,,자연과학계열,"1,465","1,352",84,17.44,16.1
,,공학계열,0,0,0,0,0
,,의학계열,"1,174","1,041",796,1.47,1.31
,,인문ㆍ사회계열,243,163,4,60.75,40.75
,가톨릭대학교 _제3캠퍼스,자연과학계열,0,0,0,0,0
,,예ㆍ체능계열,56,19,2,28,9.5
,,공학계열,0,0,0,0,0
,,의학계열,0,0,0,0,0
,,인문ㆍ사회계열,392,330,20,19.6,16.5
,감리교신학대학교,예ㆍ체능계열,0,0,0,0,0
,,인문ㆍ사회계열,"1,793","1,899",25,71.72,75.96
,,의학계열,0,0,0,0,0
,,공학계열,0,0,0,0,0
,,자연과학계열,0,0,0,0,0
,강남대학교,자연과학계열,0,0,0,0,0
,,인문ㆍ사회계열,"5,049","5,279",185,27.29,28.54
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,610,639,18,33.89,35.5
,,공학계열,"1,301","1,438",35,37.17,41.09
,강서대학교,공학계열,0,0,0,0,0
,,의학계열,0,0,0,0,0
,,자연과학계열,275,244,9,30.56,27.11
,,인문ㆍ사회계열,"1,052","1,095",32,32.88,34.22
,,예ㆍ체능계열,130,116,5,26,23.2
,강원대학교,의학계열,757,773,157,4.82,4.92
,,예ㆍ체능계열,949,846,26,36.5,32.54
,,인문ㆍ사회계열,"5,912","6,515",220,26.87,29.61
,,자연과학계열,"6,085","6,128",273,22.29,22.45
,,공학계열,"3,233","3,406",123,26.28,27.69
,강원대학교 _제2캠퍼스,자연과학계열,"1,396","1,427",49,28.49,29.12
,,인문ㆍ사회계열,"1,030",991,40,25.75,24.78
,,공학계열,"3,155","2,857",97,32.53,29.45
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,845,785,21,40.24,37.38
,건국대학교,인문ㆍ사회계열,"7,529","9,734",277,27.18,35.14
,,자연과학계열,"3,205","3,161",139,23.06,22.74
,,의학계열,571,609,19,30.05,32.05
,,예ㆍ체능계열,"1,772","2,178",50,35.44,43.56
,,공학계열,"5,906","6,306",213,27.73,29.61
,건국대학교(글로컬) _분교,인문ㆍ사회계열,"2,694","3,013",108,24.94,27.9
,,자연과학계열,"1,635","1,630",59,27.71,27.63
,,의학계열,320,320,215,1.49,1.49
,,예ㆍ체능계열,"1,730","1,945",44,39.32,44.2
,,공학계열,"1,020","1,030",29,35.17,35.52
,건양대학교,공학계열,714,651,23,31.04,28.3
,,의학계열,0,0,0,0,0
,,자연과학계열,470,486,15,31.33,32.4
,,예ㆍ체능계열,150,139,5,30,27.8
,,인문ㆍ사회계열,"2,206","2,420",96,22.98,25.21
,건양대학교 _제2캠퍼스,의학계열,278,325,126,2.21,2.58
,,인문ㆍ사회계열,464,471,6,77.33,78.5
,,예ㆍ체능계열,0,0,0,0,0
,,공학계열,"1,144","1,133",43,26.6,26.35
,,자연과학계열,"2,437","2,486",85,28.67,29.25
,경기대학교,예ㆍ체능계열,"1,925","1,893",52,37.02,36.4
,,자연과학계열,"1,567","1,539",54,29.02,28.5
,,공학계열,"2,922","3,037",108,27.06,28.12
,,의학계열,0,0,0,0,0
,,인문ㆍ사회계열,"7,883","8,741",267,29.52,32.74
,경기대학교 _제2캠퍼스,자연과학계열,0,0,0,0,0
,,예ㆍ체능계열,408,472,15,27.2,31.47
,,인문ㆍ사회계열,904,"1,477",17,53.18,86.88
,,공학계열,0,0,0,0,0
,,의학계열,0,0,0,0,0
,경남과학기술대학교,공학계열,"2,147","2,141",77,27.88,27.81
,,예ㆍ체능계열,123,116,4,30.75,29
,,의학계열,0,0,0,0,0
,,자연과학계열,"1,470","1,476",58,25.34,25.45
,,인문ㆍ사회계열,"1,704","1,599",58,29.38,27.57
,경남대학교,의학계열,0,0,0,0,0
,,인문ㆍ사회계열,"7,316","6,762",244,29.98,27.71
,,자연과학계열,"1,893","1,837",68,27.84,27.01
,,공학계열,"3,710","3,403",111,33.42,30.66
,,예ㆍ체능계열,931,962,29,32.1,33.17
,경동대학교,공학계열,226,251,13,17.38,19.31
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,80,43,1,80,43
,,인문ㆍ사회계열,"1,084","1,303",57,19.02,22.86
,,자연과학계열,180,168,8,22.5,21
,경동대학교 _제3캠퍼스,인문ㆍ사회계열,330,310,6,55,51.67
,,예ㆍ체능계열,0,0,0,0,0
,,공학계열,0,0,0,0,0
,,의학계열,0,0,0,0,0
,,자연과학계열,"3,220","3,518",94,34.26,37.43
,경동대학교 _제4캠퍼스,의학계열,0,0,0,0,0
,,예ㆍ체능계열,223,209,8,27.88,26.13
,,인문ㆍ사회계열,"1,186","1,220",47,25.23,25.96
,,자연과학계열,70,73,3,23.33,24.33
,,공학계열,541,603,19,28.47,31.74
,경북대학교,인문ㆍ사회계열,"8,975","9,696",317,28.31,30.59
,,의학계열,"1,620","1,605",356,4.55,4.51
,,예ㆍ체능계열,"1,318","1,461",46,28.65,31.76
,,공학계열,"8,221","9,196",284,28.95,32.38
,,자연과학계열,"8,267","8,677",309,26.75,28.08
,경상국립대학교,인문ㆍ사회계열,"5,580","6,053",205,27.22,29.53
,,자연과학계열,"4,734","4,956",205,23.09,24.18
,,공학계열,"4,952","5,222",182,27.21,28.69
,,예ㆍ체능계열,493,412,18,27.39,22.89
,,의학계열,725,726,200,3.63,3.63
,경성대학교,인문ㆍ사회계열,"5,831","6,302",206,28.31,30.59
,,자연과학계열,"1,481","1,408",43,34.44,32.74
,,공학계열,"2,944","3,068",102,28.86,30.08
,,예ㆍ체능계열,"2,343","2,311",78,30.04,29.63
,,의학계열,0,0,0,0,0
,경운대학교,자연과학계열,"1,638","1,730",53,30.91,32.64
,,의학계열,0,0,0,0,0
,,공학계열,"1,775","1,430",70,25.36,20.43
,,인문ㆍ사회계열,961,974,51,18.84,19.1
,,예ㆍ체능계열,628,534,24,26.17,22.25
,경인교육대학교,인문ㆍ사회계열,"4,588","2,149",67,68.48,32.07
,,자연과학계열,736,831,37,19.89,22.46
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,411,542,28,14.68,19.36
,,공학계열,0,0,0,0,0
,경인교육대학교 _제2캠퍼스,의학계열,0,0,0,0,0
,,인문ㆍ사회계열,0,682,0,0,0
,,공학계열,0,0,0,0,0
,,예ㆍ체능계열,0,288,0,0,0
,,자연과학계열,0,333,0,0,0
,경일대학교,자연과학계열,786,844,24,32.75,35.17
,,예ㆍ체능계열,"1,018","1,110",30,33.93,37
,,의학계열,0,0,0,0,0
,,인문ㆍ사회계열,"1,445","1,554",51,28.33,30.47
,,공학계열,"3,405","3,451",147,23.16,23.48
,경희대학교,공학계열,"4,827","5,436",174,27.74,31.24
,,의학계열,"2,169","2,045",313,6.93,6.53
,,인문ㆍ사회계열,"12,208","17,761",477,25.59,37.23
,,예ㆍ체능계열,"4,524","5,282",91,49.71,58.04
,,자연과학계열,"5,526","5,905",379,14.58,15.58
,계명대학교,예ㆍ체능계열,"3,982","4,144",103,38.66,40.23
,,자연과학계열,"2,734","2,844",127,21.53,22.39
,,인문ㆍ사회계열,"11,246","12,800",377,29.83,33.95
,,공학계열,"3,887","4,017",128,30.37,31.38
,,의학계열,433,446,180,2.41,2.48
,고려대학교,공학계열,"8,287","7,994",271,30.58,29.5
,,의학계열,879,822,378,2.33,2.17
,,예ㆍ체능계열,607,674,16,37.94,42.13
,,인문ㆍ사회계열,"15,422","18,488",485,31.8,38.12
,,자연과학계열,"6,101","5,726",292,20.89,19.61
,고려대학교(세종) _분교,공학계열,"1,977","2,013",62,31.89,32.47
,,예ㆍ체능계열,456,454,10,45.6,45.4
,,의학계열,0,0,0,0,0
,,인문ㆍ사회계열,"3,519","3,805",139,25.32,27.37
,,자연과학계열,"1,269","1,159",52,24.4,22.29
,고신대학교,인문ㆍ사회계열,"2,934","3,008",101,29.05,29.78
,,자연과학계열,"1,598","1,447",46,34.74,31.46
,,예ㆍ체능계열,390,371,6,65,61.83
,,의학계열,416,383,146,2.85,2.62
,,공학계열,0,0,0,0,0
,공주교육대학교,공학계열,15,0,0,0,0
,,자연과학계열,204,544,25,8.16,21.76
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,98,352,18,5.44,19.56
,,인문ㆍ사회계열,"1,961","1,173",44,44.57,26.66
,광신대학교,예ㆍ체능계열,166,129,8,20.75,16.13
,,공학계열,0,0,0,0,0
,,자연과학계열,0,0,0,0,0
,,의학계열,0,0,0,0,0
,,인문ㆍ사회계열,"1,180","1,077",42,28.1,25.64
,광운대학교,공학계열,"4,349","4,647",145,29.99,32.05
,,자연과학계열,688,834,41,16.78,20.34
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,225,230,9,25,25.56
,,인문ㆍ사회계열,"3,798","4,472",124,30.63,36.06
,광주가톨릭대학교,공학계열,0,0,0,0,0
,,예ㆍ체능계열,0,0,0,0,0
,,의학계열,0,0,0,0,0
,,자연과학계열,0,0,0,0,0
,,인문ㆍ사회계열,235,122,16,14.69,7.63
,광주과학기술원,공학계열,"1,162","1,676",113,10.28,14.83
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,0,0,0,0,0
,,자연과학계열,"1,364","1,016",76,17.95,13.37
,,인문ㆍ사회계열,0,0,0,0,0
,광주교육대학교,자연과학계열,188,444,19,9.89,23.37
,,인문ㆍ사회계열,"2,153","1,357",36,59.81,37.69
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,95,320,18,5.28,17.78
,,공학계열,0,0,0,0,0
,광주대학교,공학계열,"1,524","1,373",47,32.43,29.21
,,의학계열,0,0,0,0,0
,,자연과학계열,894,923,24,37.25,38.46
,,인문ㆍ사회계열,"3,717","4,138",136,27.33,30.43
,,예ㆍ체능계열,"1,094","1,116",36,30.39,31
,광주여자대학교,자연과학계열,"2,028","2,042",62,32.71,32.94
,,예ㆍ체능계열,219,226,7,31.29,32.29
,,의학계열,0,0,0,0,0
,,공학계열,0,0,0,0,0
,,인문ㆍ사회계열,"1,658","1,668",64,25.91,26.06
,국립강릉원주대학교,인문ㆍ사회계열,"2,307","2,369",87,26.52,27.23
,,자연과학계열,"2,243","2,182",89,25.2,24.52
,,공학계열,941,948,39,24.13,24.31
,,예ㆍ체능계열,754,697,29,26,24.03
,,의학계열,236,216,42,5.62,5.14
,국립강릉원주대학교 _제2캠퍼스,예ㆍ체능계열,0,0,0,0,0
,,공학계열,"1,253","1,313",60,20.88,21.88
,,인문ㆍ사회계열,658,608,20,32.9,30.4
,,자연과학계열,350,353,11,31.82,32.09
,,의학계열,0,0,0,0,0
,국립경국대학교,의학계열,0,0,0,0,0
,,자연과학계열,"2,072","2,049",94,22.04,21.8
,,인문ㆍ사회계열,"2,745","2,305",85,32.29,27.12
,,예ㆍ체능계열,432,386,16,27,24.13
,,공학계열,"1,933","1,959",80,24.16,24.49
,국립공주대학교,예ㆍ체능계열,"1,277","1,361",49,26.06,27.78
,,의학계열,0,0,0,0,0
,,인문ㆍ사회계열,"4,895","5,231",158,30.98,33.11
,,자연과학계열,"4,548","4,711",172,26.44,27.39
,,공학계열,"4,139","4,542",182,22.74,24.96
,국립군산대학교,공학계열,"3,639","3,557",149,24.42,23.87
,,예ㆍ체능계열,483,613,22,21.95,27.86
,,의학계열,0,0,0,0,0
,,자연과학계열,"1,778","1,635",82,21.68,19.94
,,인문ㆍ사회계열,"2,661","2,543",82,32.45,31.01
,국립금오공과대학교,의학계열,0,0,0,0,0
,,인문ㆍ사회계열,511,367,22,23.23,16.68
,,자연과학계열,152,154,7,21.71,22
,,공학계열,"5,403","5,907",200,27.02,29.54
,,예ㆍ체능계열,0,0,0,0,0
,국립목포대학교,공학계열,"2,430","2,505",105,23.14,23.86
,,자연과학계열,"1,721","1,707",79,21.78,21.61
,,인문ㆍ사회계열,"3,727","3,678",111,33.58,33.14
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,446,462,13,34.31,35.54
,국립목포해양대학교,의학계열,0,0,0,0,0
,,예ㆍ체능계열,0,0,0,0,0
,,공학계열,"2,951","2,727",122,24.19,22.35
,,자연과학계열,0,0,0,0,0
,,인문ㆍ사회계열,10,4,0,0,0
,국립부경대학교,공학계열,"8,101","9,133",291,27.84,31.38
,,인문ㆍ사회계열,"5,500","6,612",166,33.13,39.83
,,자연과학계열,"3,091","3,101",129,23.96,24.04
,,예ㆍ체능계열,627,667,13,48.23,51.31
,,의학계열,0,0,0,0,0
,국립순천대학교,자연과학계열,"2,742","2,544",125,21.94,20.35
,,공학계열,"1,966","2,035",80,24.58,25.44
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,792,766,30,26.4,25.53
,,인문ㆍ사회계열,"2,692","2,714",91,29.58,29.82
,국립창원대학교,공학계열,"3,127","3,078",119,26.28,25.87
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,864,770,24,36,32.08
,,자연과학계열,"1,459","1,352",58,25.16,23.31
,,인문ㆍ사회계열,"4,413","4,434",122,36.17,36.34
,국립한국교통대학교,공학계열,"5,129","5,565",194,26.44,28.69
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,444,422,20,22.2,21.1
,,인문ㆍ사회계열,"2,189","2,223",89,24.6,24.98
,,자연과학계열,843,805,29,29.07,27.76
,국립한국해양대학교,의학계열,0,0,0,0,0
,,인문ㆍ사회계열,"1,379","1,692",60,22.98,28.2
,,자연과학계열,399,407,15,26.6,27.13
,,공학계열,"4,944","5,027",187,26.44,26.88
,,예ㆍ체능계열,100,108,5,20,21.6
,국립한밭대학교,예ㆍ체능계열,492,541,17,28.94,31.82
,,의학계열,0,0,0,0,0
,,공학계열,"5,867","6,349",194,30.24,32.73
,,인문ㆍ사회계열,"1,887","2,280",61,30.93,37.38
,,자연과학계열,4,4,0,0,0
,국민대학교,공학계열,"4,244","4,712",155,27.38,30.4
,,예ㆍ체능계열,"3,633","3,935",107,33.95,36.78
,,의학계열,0,0,0,0,0
,,인문ㆍ사회계열,"6,910","9,654",298,23.19,32.4
,,자연과학계열,"1,367","1,518",64,21.36,23.72
,극동대학교,인문ㆍ사회계열,"1,578","1,267",70,22.54,18.1
,,자연과학계열,"1,015",966,32,31.72,30.19
,,공학계열,903,783,24,37.63,32.63
,,예ㆍ체능계열,776,798,20,38.8,39.9
,,의학계열,0,0,0,0,0
,금강대학교,인문ㆍ사회계열,570,407,21,27.14,19.38
,,자연과학계열,0,0,0,0,0
,,예ㆍ체능계열,0,0,0,0,0
,,의학계열,0,0,0,0,0
,,공학계열,20,0,0,0,0
,김천대학교,의학계열,0,0,0,0,0
,,자연과학계열,"2,533","2,375",62,40.85,38.31
,,인문ㆍ사회계열,818,753,70,11.69,10.76
,,공학계열,238,175,9,26.44,19.44
,,예ㆍ체능계열,75,55,5,15,11
,나사렛대학교,의학계열,0,0,0,0,0
,,공학계열,0,0,0,0,0
,,자연과학계열,"1,025","1,049",34,30.15,30.85
,,예ㆍ체능계열,762,850,27,28.22,31.48
,,인문ㆍ사회계열,"3,521","3,650",113,31.16,32.3
,남부대학교,인문ㆍ사회계열,700,839,35,20,23.97
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,370,344,14,26.43,24.57
,,공학계열,325,343,20,16.25,17.15
,,자연과학계열,"1,949","2,015",57,34.19,35.35
,남서울대학교,예ㆍ체능계열,"1,571","1,675",51,30.8,32.84
,,자연과학계열,871,936,28,31.11,33.43
,,공학계열,"2,566","2,474",72,35.64,34.36
,,의학계열,0,0,0,0,0
,,인문ㆍ사회계열,"4,473","5,339",202,22.14,26.43
,남서울대학교(산업대),인문ㆍ사회계열,0,0,0,0,0
,,공학계열,0,0,0,0,0
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,0,0,0,0,0
,,자연과학계열,0,0,0,0,0
,단국대학교,예ㆍ체능계열,"2,493","2,662",72,34.63,36.97
,,의학계열,21,12,4,5.25,3
,,인문ㆍ사회계열,"7,582","8,558",247,30.7,34.65
,,자연과학계열,423,406,19,22.26,21.37
,,공학계열,"3,803","4,207",146,26.05,28.82
,단국대학교 _제2캠퍼스,인문ㆍ사회계열,"3,442","4,171",108,31.87,38.62
,,공학계열,"1,359","1,601",23,59.09,69.61
,,예ㆍ체능계열,"1,675","1,728",61,27.46,28.33
,,의학계열,690,651,159,4.34,4.09
,,자연과학계열,"4,132","4,369",173,23.88,25.25
,대구가톨릭대학교,인문ㆍ사회계열,"6,122","6,348",238,25.72,26.67
,,자연과학계열,"3,470","3,612",117,29.66,30.87
,,예ㆍ체능계열,"1,832","1,815",39,46.97,46.54
,,의학계열,259,257,155,1.67,1.66
,,공학계열,"2,432","2,533",59,41.22,42.93
,대구경북과학기술원,공학계열,644,576,44,14.64,13.09
,,예ㆍ체능계열,0,0,0,0,0
,,의학계열,0,0,0,0,0
,,자연과학계열,"1,504","1,222",68,22.12,17.97
,,인문ㆍ사회계열,0,0,0,0,0
,대구교육대학교,인문ㆍ사회계열,"2,491","1,491",46,54.15,32.41
,,공학계열,0,0,0,0,0
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,176,462,21,8.38,22
,,자연과학계열,264,669,25,10.56,26.76
,대구대학교,자연과학계열,"4,219","4,190",112,37.67,37.41
,,의학계열,0,0,0,0,0
,,인문ㆍ사회계열,"9,992","9,916",349,28.63,28.41
,,예ㆍ체능계열,"1,542","1,609",44,35.05,36.57
,,공학계열,"3,406","3,371",108,31.54,31.21
,대구예술대학교,자연과학계열,0,0,0,0,0
,,인문ㆍ사회계열,0,0,0,0,0
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,"1,786","1,102",41,43.56,26.88
,,공학계열,0,0,0,0,0
,대구한의대학교,자연과학계열,"3,011","3,077",116,25.96,26.53
,,예ㆍ체능계열,500,559,20,25,27.95
,,의학계열,523,526,18,29.06,29.22
,,공학계열,"1,010",884,36,28.06,24.56
,,인문ㆍ사회계열,"1,703","1,749",62,27.47,28.21
,대신대학교,공학계열,0,0,0,0,0
,,예ㆍ체능계열,167,134,10,16.7,13.4
,,의학계열,0,0,0,0,0
,,자연과학계열,0,0,0,0,0
,,인문ㆍ사회계열,642,586,20,32.1,29.3
,대전가톨릭대학교,공학계열,0,0,0,0,0
,,인문ㆍ사회계열,295,112,12,24.58,9.33
,,자연과학계열,0,0,0,0,0
,,예ㆍ체능계열,0,0,0,0,0
,,의학계열,0,0,0,0,0
,대전대학교,인문ㆍ사회계열,"4,886","5,029",153,31.93,32.87
,,공학계열,"2,278","2,205",81,28.12,27.22
,,예ㆍ체능계열,765,698,24,31.88,29.08
,,자연과학계열,"1,766","1,887",68,25.97,27.75
,,의학계열,436,411,23,18.96,17.87
,대전신학대학교,의학계열,0,0,0,0,0
,,공학계열,0,0,0,0,0
,,자연과학계열,0,0,0,0,0
,,예ㆍ체능계열,0,0,0,0,0
,,인문ㆍ사회계열,414,249,12,34.5,20.75
,대진대학교,예ㆍ체능계열,878,938,26,33.77,36.08
,,인문ㆍ사회계열,"3,690","3,920",144,25.63,27.22
,,의학계열,0,0,0,0,0
,,공학계열,"2,495","2,294",67,37.24,34.24
,,자연과학계열,951,919,26,36.58,35.35
,덕성여자대학교,예ㆍ체능계열,688,759,22,31.27,34.5
,,공학계열,434,486,14,31,34.71
,,의학계열,0,0,0,0,0
,,자연과학계열,"1,290","1,248",38,33.95,32.84
