기준년도,학교,계열,학생정원,재학생,전임교원,전임교원1인당학생정원,전임교원1인당재학생
,남부대학교,예ㆍ체능계열,744,577,19,39.2,30.4
,,공학계열,267,230,13,20.5,17.7
,,자연과학계열,"1,889","1,976",60,31.5,32.9
,,인문ㆍ사회계열,899,876,28,32.1,31.3
,,의학계열,0,0,0,0,0
,남서울대학교,공학계열,"1,387","1,045",79,17.6,13.2
,,인문ㆍ사회계열,"2,726","2,479",161,16.9,15.4
,,예ㆍ체능계열,939,764,50,18.8,15.3
,,의학계열,0,0,0,0,0
,,자연과학계열,388,400,21,18.5,19
,남서울대학교(산업대),자연과학계열,283,295,0,0,0
,,예ㆍ체능계열,886,"1,082",0,0,0
,,공학계열,"1,311","1,393",0,0,0
,,인문ㆍ사회계열,"2,852","3,511",0,0,0
,,의학계열,0,0,0,0,0
,단국대학교,의학계열,1,1,0,0,0
,,인문ㆍ사회계열,"7,949","8,873",229,34.7,38.7
,,자연과학계열,"1,242","1,343",53,23.4,25.3
,,예ㆍ체능계열,"2,152","2,139",57,37.8,37.5
,,공학계열,"3,316","4,028",117,28.3,34.4
,단국대학교(천안) _분교,의학계열,678,650,142,4.8,4.6
,,인문ㆍ사회계열,"4,371","5,194",151,28.9,34.4
,,자연과학계열,"3,331","3,418",148,22.5,23.1
,,예ㆍ체능계열,"2,040","2,154",51,40,42.2
,,공학계열,"1,912","2,304",64,29.9,36
,대구가톨릭대학교,예ㆍ체능계열,"1,795","1,876",50,35.9,37.5
,,의학계열,266,280,158,1.7,1.8
,,공학계열,"1,983","2,141",56,35.4,38.2
,,자연과학계열,"3,850","4,266",101,38.1,42.2
,,인문ㆍ사회계열,"7,302","7,439",221,33,33.7
,대구경북과학기술원,인문ㆍ사회계열,0,0,0,0,0
,,자연과학계열,150,97,14,10.7,6.9
,,공학계열,315,189,20,15.8,9.5
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,0,0,0,0,0
,대구교육대학교,예ㆍ체능계열,510,489,20,25.5,24.5
,,의학계열,0,0,0,0,0
,,공학계열,0,0,0,0,0
,,자연과학계열,922,876,26,35.5,33.7
,,인문ㆍ사회계열,"1,766","1,701",47,37.6,36.2
,대구대학교,인문ㆍ사회계열,"10,878","11,567",306,35.5,37.8
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,"1,788","1,882",45,39.7,41.8
,,자연과학계열,"4,621","4,767",119,38.8,40.1
,,공학계열,"3,883","4,257",112,34.7,38
,대구예술대학교,의학계열,0,0,0,0,0
,,공학계열,0,0,0,0,0
,,자연과학계열,0,0,0,0,0
,,예ㆍ체능계열,"1,918","1,383",53,36.2,26.1
,,인문ㆍ사회계열,0,0,0,0,0
,대구외국어대학교,의학계열,0,0,0,0,0
,,공학계열,0,0,0,0,0
,,인문ㆍ사회계열,520,372,17,30.6,21.9
,,예ㆍ체능계열,0,0,0,0,0
,,자연과학계열,0,0,0,0,0
,대구한의대학교,인문ㆍ사회계열,"2,198","2,192",71,31,30.9
,,공학계열,832,757,25,33.3,30.3
,,자연과학계열,"3,192","3,170",102,31.3,31.1
,,예ㆍ체능계열,680,599,13,52.3,46.1
,,의학계열,570,561,16,35.6,35.1
,대신대학교,예ㆍ체능계열,188,114,9,20.9,12.7
,,자연과학계열,0,0,0,0,0
,,공학계열,0,0,0,0,0
,,인문ㆍ사회계열,703,578,18,39.1,32.1
,,의학계열,0,0,0,0,0
,대전가톨릭대학교,공학계열,0,0,0,0,0
,,인문ㆍ사회계열,295,165,12,24.6,13.8
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,0,0,0,0,0
,,자연과학계열,0,0,0,0,0
,대전대학교,자연과학계열,"2,026","2,172",64,31.7,33.9
,,예ㆍ체능계열,948,741,19,49.9,39
,,공학계열,"2,212","2,155",67,33,32.2
,,의학계열,420,447,29,14.5,15.4
,,인문ㆍ사회계열,"5,770","5,945",172,33.5,34.6
,대전신학교,예ㆍ체능계열,0,0,0,0,0
,,자연과학계열,0,0,0,0,0
,,인문ㆍ사회계열,0,21,0,0,0
,,의학계열,0,0,0,0,0
,,공학계열,0,0,0,0,0
,대전신학대학교,의학계열,0,0,0,0,0
,,공학계열,0,0,0,0,0
,,자연과학계열,0,0,0,0,0
,,예ㆍ체능계열,0,0,0,0,0
,,인문ㆍ사회계열,378,323,13,29.1,24.8
,대진대학교,예ㆍ체능계열,"1,298","1,192",33,39.3,36.1
