기준년도,설립구분,지역,학교명,대계열,중도탈락률(%),신입생_충원율(%),신입생_경쟁률,신입생_충원율_평균_지역기준,신입생_충원율_표준편차_지역기준,신입생_충원안정성비율_지역기준,전임교원1인당재학생,취업률(%),진로진출률(%),졸업자대비진로성취(%),재학생1인당전임교원,1인당장학금,진학률(%),등록금,수도권여부,신입생_충원율_평균_수도권여부기준,신입생_충원율_편차_수도권여부기준,신입생_충원율_표준편차_수도권여부기준,신입생_충원안정성비율_수도권여부기준,재학생충원율_평균_지역기준_,재학생충원율_표준편차_지역기준_,재학생충원율_편차_지역기준,재학생충원안정성비율_지역기준,재학생충원율_평균_수도권여부기준,재학생충원율_표준편차_수도권여부기준,재학생충원율_편차_수도권여부기준,재학생충원안정성비율_수도권여부기준,재학생충원율,신입생_충원율_편차_지역구분,1인당장학금대비취업률(단위보정)
2014,사립,서울,강서대학교,예체능계열,5.56,91.43,6.54,99.5077,1.5532,0.0156,21,17.86,27.54,25.81,0.047619048,3444234.752,9.68,8749633.333,수도권,97.59166667,-6.161666667,9.361214749,0.658212297,109.9466667,9.154600627,-8.546666667,0.93359252,111.4750958,26.52249177,-10.07509579,0.379869881,101.4,-8.0777,5.185476974
2014,사립,서울,강서대학교,인문사회계열,7.33,94.58,5.13,97.7282,6.9805,0.0714,34.98,50,51.22,49.8,0.028590878,3209421.176,1.18,7027833.333,수도권,97.59166667,-3.011666667,9.361214749,0.321717506,126.2,22.40854084,-20.8,0.928217511,111.4750958,26.52249177,-6.075095785,0.229054488,105.4,-3.1482,15.5791332
2014,국립,강원,강원대학교,공학계열,2.84,99.74,6.17,98.9975,1.3855,0.014,30.4,51.22,63.92,56.41,0.032894737,2433044.056,12.7,4542000,비수도권,96.92227166,2.817728337,11.33038568,0.248687769,105.45,9.948701758,13.75,1.382089878,100.6876957,22.52565465,18.51230425,0.82183202,119.2,0.7425,21.05181773
2014,국립,강원,강원대학교,예체능계열,3.64,100,3.93,99.1867,1.4087,0.0142,34.97,30.6,42.95,37.65,0.028598665,2644337.611,12.35,4747600,비수도권,96.92227166,3.077728337,11.33038568,0.271634914,95.5,8.382720322,9.4,1.121354362,100.6876957,22.52565465,4.212304251,0.187000303,104.9,0.8133,11.57189607
2014,국립,강원,강원대학교,의학계열,1.12,,,,,,5.86,88.46,92.16,88.89,0.170702179,2031460.759,3.7,5758000,비수도권,,,,,98.15,1.767766953,1.25,0.707106781,100.6876957,22.52565465,-1.287695749,0.057165741,99.4,,43.54502031
2014,국립,강원,강원대학교,인문사회계열,2.33,99.28,7.35,99.64,0.3626,0.0036,31.33,39.09,42.06,38.47,0.031916437,2324254.621,2.97,3590000,비수도권,96.92227166,2.357728337,11.33038568,0.208088975,107.24,12.78135361,13.86,1.084392188,100.6876957,22.52565465,20.41230425,0.90618029,121.1,-0.36,16.81829506
2014,국립,강원,강원대학교,자연과학계열,3.01,99.75,5.83,99.6975,0.2431,0.0024,25.06,47.79,67.05,57.79,0.039898005,2397760.682,19.26,4347329.787,비수도권,96.92227166,2.827728337,11.33038568,0.249570352,101.875,4.267220016,5.525,1.294753957,100.6876957,22.52565465,6.712304251,0.297984869,107.4,0.0525,19.93109669
2014,국립,강원,강원대학교 _제2캠퍼스,공학계열,4.39,99.65,3.32,98.9975,1.3855,0.014,33.47,52.87,57.95,54.99,0.029873265,2915665.989,5.08,4584608.696,비수도권,96.92227166,2.727728337,11.33038568,0.240744527,105.45,9.948701758,-10.05,1.010182056,100.6876957,22.52565465,-5.287695749,0.234741047,95.4,0.6525,18.13307841
2014,국립,강원,강원대학교 _제2캠퍼스,예체능계열,4.01,100,3.02,99.1867,1.4087,0.0142,36.63,43.57,48.33,46.26,0.027303754,3173515.658,4.37,4625600,비수도권,96.92227166,3.077728337,11.33038568,0.271634914,95.5,8.382720322,-2.7,0.322091147,100.6876957,22.52565465,-7.887695749,0.350164995,92.8,0.8133,13.7292532
2014,국립,강원,강원대학교 _제2캠퍼스,인문사회계열,4.14,99.27,3.86,99.64,0.3626,0.0036,27.73,50.63,51.02,48.03,0.036065574,3257640.407,0.39,3553555.556,비수도권,96.92227166,2.347728337,11.33038568,0.207206392,107.24,12.78135361,3.16,0.24723516,100.6876957,22.52565465,9.712304251,0.431166348,110.4,-0.37,15.54192412
2014,국립,강원,강원대학교 _제2캠퍼스,자연과학계열,2.41,99.42,4.63,99.6975,0.2431,0.0024,52.93,65.65,68.16,65.69,0.018891688,4160645.39,2.51,4366000,비수도권,96.92227166,2.497728337,11.33038568,0.220445129,101.875,4.267220016,-0.075,0.017575846,100.6876957,22.52565465,1.112304251,0.049379442,101.8,-0.2775,15.77880205
2014,사립,서울,건국대학교,공학계열,2.42,99.08,17.02,98.4241,7.2552,0.0737,33.59,65.58,79.65,67.24,0.029767274,2933982.135,14.07,9829153.846,수도권,97.59166667,1.488333333,9.361214749,0.158989338,114.3291667,26.14405709,14.47083333,0.553503738,111.4750958,26.52249177,17.32490421,0.653215556,128.8,0.6559,22.35187434
2014,사립,서울,건국대학교,예체능계열,2.72,100,19.48,99.5077,1.5532,0.0156,44.21,30.72,35.14,28.14,0.02261853,2887303.261,4.42,10084400,수도권,97.59166667,2.408333333,9.361214749,0.257267181,109.9466667,9.154600627,14.75333333,1.611575855,111.4750958,26.52249177,13.22490421,0.498629779,124.7,0.4923,10.63968597
2014,사립,서울,건국대학교,의학계열,1.69,,,,,,24.32,73.17,90.17,77,0.041116006,3053600,17,10184000,수도권,,,,,96.4375,40.28406057,26.0625,0.646968047,111.4750958,26.52249177,11.02490421,0.415681313,122.5,,23.96188106
2014,사립,서울,건국대학교,인문사회계열,2.4,99.56,19,97.7282,6.9805,0.0714,34.44,52.92,55.92,44.37,0.029032918,2727485.062,3,7457428.571,수도권,97.59166667,1.968333333,9.361214749,0.210264734,126.2,22.40854084,28.2,1.25844874,111.4750958,26.52249177,42.92490421,1.618434067,154.4,1.8318,19.4024894
2014,사립,서울,건국대학교,자연과학계열,3.62,99.53,13.57,98.3815,6.0145,0.0611,25.35,43.5,68.31,56.59,0.039452496,3040758.009,24.81,8828095.238,수도권,97.59166667,1.938333333,9.361214749,0.207060022,112.6346154,9.544545764,-13.83461538,1.449478658,111.4750958,26.52249177,-12.67509579,0.477899886,98.8,1.1485,14.30564348
2014,사립,충북,건국대학교(글로컬),공학계열,4.51,99.55,8,99.12,0.7439,0.0075,,49.58,64.02,56.34,,3044841.366,14.44,9563000,비수도권,96.92227166,2.627728337,11.33038568,0.231918702,,,,,,,,,,0.43,16.28327852
2014,사립,충북,건국대학교(글로컬),예체능계열,3.34,100,12.53,97.6938,4.5564,0.0466,,41.58,49.37,45.48,,3053889.89,7.79,9697714.286,비수도권,96.92227166,3.077728337,11.33038568,0.271634914,,,,,,,,,,2.3062,13.61542213
2014,사립,충북,건국대학교(글로컬),인문사회계열,3.18,99.61,8.24,97.2889,3.3993,0.0349,,48.11,50.92,48.73,,2865861.548,2.81,7333111.111,비수도권,96.92227166,2.687728337,11.33038568,0.237214197,,,,,,,,,,2.3211,16.78727293
2014,사립,충북,건국대학교(글로컬),자연과학계열,7.62,100,8.05,99.5825,0.5877,0.0059,,48.61,54.84,50.92,,3111389.681,8.81,8378888.889,비수도권,96.92227166,3.077728337,11.33038568,0.271634914,,,,,,,,,,0.4175,15.62324395
2014,사립,충남,건양대학교,공학계열,5.37,100,5.72,94.3186,20.5457,0.2178,28.23,68.46,72.22,67.71,0.035422343,3239912.542,3.76,7563125,비수도권,96.92227166,3.077728337,11.33038568,0.271634914,107.25,18.62634037,-1.75,0.09395297,100.6876957,22.52565465,4.812304251,0.213636599,105.5,5.6814,21.1302
2014,사립,충남,건양대학교,예체능계열,7.58,100,7.7,95.3529,16.5771,0.1738,37.25,70.27,71.15,69.3,0.026845638,3576300,0.88,7310000,비수도권,96.92227166,3.077728337,11.33038568,0.271634914,102.2727273,21.86111118,-9.172727273,0.419591081,100.6876957,22.52565465,-7.587695749,0.336846847,93.1,4.6471,19.64879904
2014,사립,충남,건양대학교,인문사회계열,4.17,99.43,6.21,93.1,22.3872,0.2405,31.61,67.52,70.54,64.66,0.031638084,3142443.127,3.02,6463478.261,비수도권,96.92227166,2.507728337,11.33038568,0.221327712,111.3076923,15.31782521,-1.007692308,0.065785599,100.6876957,22.52565465,9.612304251,0.426726965,110.3,6.33,21.48646683
2014,사립,충남,건양대학교,자연과학계열,5.75,100,7.05,94.6377,17.9744,0.1899,46.82,74.09,80.79,75.12,0.021359223,3616413.583,6.7,7451000,비수도권,96.92227166,3.077728337,11.33038568,0.271634914,102.3,9.859817443,-2.5,0.25355439,100.6876957,22.52565465,-0.887695749,0.039408211,99.8,5.3623,20.48714792
2014,사립,대전,건양대학교 _제2캠퍼스,의학계열,0.42,,,,,,2.95,92.73,92.73,92.73,0.339339339,2027700,0,9546000,비수도권,,,,,114.4333333,6.117461347,1.866666667,0.305137468,100.6876957,22.52565465,15.61230425,0.693089923,116.3,,45.7316171
2014,사립,대전,건양대학교 _제2캠퍼스,자연과학계열,1.65,100,7.5,99.5314,0.6489,0.0065,31.26,82.96,89.08,84,0.031985784,3255003.344,6.12,7861333.333,비수도권,96.92227166,3.077728337,11.33038568,0.271634914,104.6857143,8.194394135,5.914285714,0.721747773,100.6876957,22.52565465,9.912304251,0.440045113,110.6,0.4686,25.48691698
2014,사립,경기,경기대학교,공학계열,3.96,99.35,15.58,99.0709,3.6269,0.0366,33.22,64.06,70.66,65.64,0.030102348,2993635.559,6.6,8909466.667,수도권,97.59166667,1.758333333,9.361214749,0.187831748,111.715,18.90784507,4.785,0.253069558,111.4750958,26.52249177,5.024904215,0.189458225,116.5,0.2791,21.39873032
2014,사립,경기,경기대학교,예체능계열,3.67,99.75,7.73,98.4996,4.878,0.0495,33.44,43.22,47.92,44.3,0.0299037,3933854.731,4.7,8697750,수도권,97.59166667,2.158333333,9.361214749,0.230561246,103.873913,14.21820911,1.226086957,0.086233572,111.4750958,26.52249177,-6.375095785,0.240365643,105.1,1.2504,10.98667921
2014,사립,경기,경기대학교,인문사회계열,3.1,99.57,17.89,94.8029,14.2625,0.1504,35.06,50.55,53.25,49.11,0.02852292,3100408.33,2.7,7081000,수도권,97.59166667,1.978333333,9.361214749,0.211332972,115.6741935,39.1820109,6.525806452,0.166551086,111.4750958,26.52249177,10.72490421,0.404370159,122.2,4.7671,16.30430402
2014,사립,경기,경기대학교,자연과학계열,3.03,99.64,17.01,99.7325,2.0898,0.021,29.87,48.53,59.01,53.71,0.033477991,3089219.303,10.48,7956666.667,수도권,97.59166667,2.048333333,9.361214749,0.218810634,111.515,27.61752447,-1.215,0.043993806,111.4750958,26.52249177,-1.175095785,0.044305633,110.3,-0.0925,15.70947066
2014,사립,서울,경기대학교 _제2캠퍼스,예체능계열,5.25,98.89,41.83,99.5077,1.5532,0.0156,25.26,32.56,34.76,32.97,0.039583333,3284140.212,2.2,8908800,수도권,97.59166667,1.298333333,9.361214749,0.138692827,109.9466667,9.154600627,-0.846666667,0.092485374,111.4750958,26.52249177,-2.375095785,0.089550251,109.1,-0.6177,9.914314828
2014,사립,서울,경기대학교 _제2캠퍼스,인문사회계열,3.23,98.9,14.62,97.7282,6.9805,0.0714,66.33,50.38,51.94,45.88,0.015075377,2906079.171,1.56,7268666.667,수도권,97.59166667,1.308333333,9.361214749,0.139761064,126.2,22.40854084,-0.1,0.004462584,111.4750958,26.52249177,14.62490421,0.551415166,126.1,1.1718,17.33607278
2014,국립,경남,경남과학기술대학교,공학계열,5.41,99.08,6.72,99.6933,0.5312,0.0053,23.44,,,,0.042662116,2669088.731,,,비수도권,96.92227166,2.157728337,11.33038568,0.190437325,105.3,30.50786784,-34.9,1.143967195,100.6876957,22.52565465,-30.28769575,1.344586704,70.4,-0.6133,
2014,국립,경남,경남과학기술대학교,예체능계열,7.32,100,4.4,99.8167,0.3175,0.0032,21.8,,,,0.04587156,2508800,,,비수도권,96.92227166,3.077728337,11.33038568,0.271634914,94.76666667,8.418036192,-8.966666667,1.065173214,100.6876957,22.52565465,-14.88769575,0.660921779,85.8,0.1833,
2014,국립,경남,경남과학기술대학교,인문사회계열,7.1,99.28,4.47,99.57,0.3228,0.0032,33.12,50,83.33,66.67,0.030196629,2745845.641,33.33,,비수도권,96.92227166,2.357728337,11.33038568,0.208088975,108.2,20.34453244,-28.7,1.410698432,100.6876957,22.52565465,-21.18769575,0.940602885,79.5,-0.29,18.20932657
2014,국립,경남,경남과학기술대학교,자연과학계열,3.73,100,6.26,99.9067,0.1617,0.0016,23.63,,,,0.042310822,2990614.5,,,비수도권,96.92227166,3.077728337,11.33038568,0.271634914,98.2,17.57868027,-20.1,1.143430547,100.6876957,22.52565465,-22.58769575,1.002754242,78.1,0.0933,
2014,사립,경남,경남대학교,공학계열,5.12,99.21,4.69,94.028,6.3189,0.0672,30.9,60.58,64.77,61.94,0.032365145,2330241.356,4.19,7886375,비수도권,96.92227166,2.287728337,11.33038568,0.201910897,91.53333333,15.31676641,4.766666667,0.311205808,100.6876957,22.52565465,-4.387695749,0.194786603,96.3,5.182,25.99730704
