기준연도,학교종류,설립구분,지역,상태,학교,계열,학생정원,학생모집정지인원(B),재학생,정원내,정원외,재학생충원율,정원내 재학생 충원율(%){D/(A-B)}X100
2018,대학교,사립,부산,기존,부산외국어대학교,공학계열,820,0,691,664,27,84.3,81
2018,대학교,사립,부산,기존,부산외국어대학교,인문ㆍ사회계열,6475,0,7677,6796,881,118.6,105
2018,대학교,사립,경남,기존,부산장신대학교,인문ㆍ사회계열,277,0,257,244,13,92.8,88.1
2018,대학교,사립,서울,기존,삼육대학교,자연과학계열,1687,0,2071,1827,244,122.8,108.3
2018,대학교,사립,서울,기존,삼육대학교,인문ㆍ사회계열,1755,0,2042,1862,180,116.4,106.1
2018,대학교,사립,서울,기존,삼육대학교,공학계열,640,0,746,685,61,116.6,107
2018,대학교,사립,서울,기존,삼육대학교,예ㆍ체능계열,732,0,803,736,67,109.7,100.5
2018,대학교,사립,서울,기존,상명대학교,예ㆍ체능계열,813,0,886,802,84,109,98.6
2018,대학교,사립,서울,기존,상명대학교,자연과학계열,1211,0,1463,1168,295,120.8,96.4
2018,대학교,사립,서울,기존,상명대학교,인문ㆍ사회계열,2591,0,3779,2686,1093,145.9,103.7
2018,대학교,사립,서울,기존,상명대학교,공학계열,649,0,680,605,75,104.8,93.2
2018,대학교,사립,충남,기존,상명대학교 _제2캠퍼스,예ㆍ체능계열,2142,0,2637,2316,321,123.1,108.1
2018,대학교,사립,충남,기존,상명대학교 _제2캠퍼스,자연과학계열,545,0,610,527,83,111.9,96.7
2018,대학교,사립,충남,기존,상명대학교 _제2캠퍼스,공학계열,1481,0,1445,1318,127,97.6,89
2018,대학교,사립,충남,기존,상명대학교 _제2캠퍼스,인문ㆍ사회계열,1168,0,1298,1097,201,111.1,93.9
2018,대학교,사립,강원,기존,상지대학교,인문ㆍ사회계열,3300,0,2870,2634,236,87,79.8
2018,대학교,사립,강원,기존,상지대학교,의학계열,240,0,216,216,0,90,90
2018,대학교,사립,강원,기존,상지대학교,자연과학계열,1970,0,1780,1699,81,90.4,86.2
2018,대학교,사립,강원,기존,상지대학교,예ㆍ체능계열,852,0,757,725,32,88.8,85.1
2018,대학교,사립,강원,기존,상지대학교,공학계열,956,0,830,785,45,86.8,82.1
2018,대학교,사립,서울,기존,서강대학교,공학계열,1676,0,1831,1673,158,109.2,99.8
2018,대학교,사립,서울,기존,서강대학교,인문ㆍ사회계열,3864,0,5541,4210,1331,143.4,109
2018,대학교,사립,서울,기존,서강대학교,자연과학계열,848,0,930,826,104,109.7,97.4
2018,대학교,사립,서울,기존,서경대학교,예ㆍ체능계열,1698,0,2185,1563,622,128.7,92
2018,대학교,사립,서울,기존,서경대학교,자연과학계열,320,0,348,306,42,108.8,95.6
2018,대학교,사립,서울,기존,서경대학교,인문ㆍ사회계열,1838,0,2216,1871,345,120.6,101.8
2018,대학교,사립,서울,기존,서경대학교,공학계열,1600,0,1719,1568,151,107.4,98
2018,대학교,국립,서울,기존,서울과학기술대학교,예ㆍ체능계열,1062,0,1403,1225,178,132.1,115.3
2018,대학교,국립,서울,기존,서울과학기술대학교,자연과학계열,599,0,675,592,83,112.7,98.8
