기준년도,학교,계열,편제정원,"재학생 충원율(%)
(B/A) × 100"
2012,국립한국교통대학교,인문ㆍ사회계열,1984,103.1
2012,국립한국교통대학교,자연과학계열,640,105.9
2012,국립한국교통대학교,예ㆍ체능계열,260,112.3
2012,국립한국교통대학교,공학계열,5511,104.9
2012,국립한국해양대학교,인문ㆍ사회계열,1280,131.5
2012,국립한국해양대학교,자연과학계열,790,116.1
2012,국립한국해양대학교,공학계열,3420,117.1
2012,국립한국해양대학교,예ㆍ체능계열,100,103
2012,국립한밭대학교,공학계열,5669,107.2
2012,국립한밭대학교,인문ㆍ사회계열,1714,117.1
2012,국립한밭대학교,예ㆍ체능계열,460,110.9
2012,국민대학교,예ㆍ체능계열,2186,108.9
2012,국민대학교,공학계열,2983,126.1
2012,국민대학교,자연과학계열,1271,114.1
2012,국민대학교,인문ㆍ사회계열,5547,136.8
2012,극동대학교,예ㆍ체능계열,950,90.1
2012,극동대학교,공학계열,480,92.3
2012,극동대학교,자연과학계열,905,100.7
2012,극동대학교,인문ㆍ사회계열,2065,103.5
2012,금강대학교,인문ㆍ사회계열,465,85.2
2012,김천대학교,자연과학계열,1858,80.5
2012,김천대학교,공학계열,120,50
2012,김천대학교,예ㆍ체능계열,90,76.7
2012,김천대학교,인문ㆍ사회계열,1005,70.7
2012,나사렛대학교,예ㆍ체능계열,369,103.8
2012,나사렛대학교,인문ㆍ사회계열,3527,112.2
2012,나사렛대학교,자연과학계열,1500,92.3
2012,남부대학교,예ㆍ체능계열,664,82.8
2012,남부대학교,공학계열,240,87.5
2012,남부대학교,인문ㆍ사회계열,727,99.2
2012,남부대학교,자연과학계열,1665,100.7
2012,남서울대학교,예ㆍ체능계열,1774,101.7
2012,남서울대학교,인문ㆍ사회계열,5465,108.2
2012,남서울대학교,공학계열,2565,87.6
2012,남서울대학교,자연과학계열,550,96.4
2012,단국대학교,예ㆍ체능계열,1520,105.9
2012,단국대학교,인문ㆍ사회계열,4270,135.7
2012,단국대학교,자연과학계열,1080,111
2012,단국대학교,공학계열,2700,121.6
2012,단국대학교(천안) _분교,인문ㆍ사회계열,4015,117.3
