기준년도,학교종류,설립구분,상태,지역,학교,대계열,입학정원(A),정원내 모집인원(B),정원내 지원자(C),정원내 입학자(D),충원율(%),경쟁률,충원율_평균,충원율_편차,충원율_표준편차,충원안정성비율,등록금
2014,대학교,사립,기존,대구,계명대학교,예체능계열,890,890,6349,889,99.89,7.13,99.89,0.0,0.0,0.0,9011425.9595
2014,대학교,사립,기존,대구,계명대학교,인문사회계열,2535,2535,15634,2502,98.7,6.17,98.7,0.0,0.0,0.0,6457470.102
2014,대학교,사립,기존,대구,계명대학교,자연과학계열,671,671,5216,662,98.66,7.77,98.66,0.0,0.0,0.0,8435864.7963
2014,대학교,사립,기존,서울,고려대학교,공학계열,833,824,15890,831,100.85,19.28,98.4241,2.4258999999999986,7.2552,0.0737136534649542,10263376.970199998
2014,대학교,사립,기존,서울,고려대학교,예체능계열,130,130,725,130,100.0,5.58,99.5077,0.4923000000000002,1.5532,0.0156088423307945,9756025.0
2014,대학교,사립,기존,서울,고려대학교,인문사회계열,1874,1857,32547,1874,100.92,17.53,97.7282,3.1918000000000006,6.9805,0.0714276943604814,7818372.1143000005
2014,대학교,사립,기존,서울,고려대학교,자연과학계열,956,942,16867,954,101.27,17.91,98.3815,2.8884999999999934,6.0145,0.0611344612554189,9244785.5519
2014,대학교,사립,기존,부산,고신대학교,예체능계열,125,125,373,125,100.0,2.98,99.9189,0.0811000000000063,0.2416,0.0024179609663437,7094279.383400001
2014,대학교,사립,기존,부산,고신대학교,인문사회계열,454,454,1620,442,97.36,3.57,98.728,-1.367999999999995,1.5785,0.0159883720930232,6037009.5498
2014,대학교,사립,기존,부산,고신대학교,자연과학계열,361,361,2468,356,98.61,6.84,99.665,-1.0550000000000068,0.5547,0.00556564491045,7019851.817300001
2014,교육대학,국립,기존,충남,공주교육대학교,인문사회계열,354,354,1526,354,100.0,4.31,98.7433,1.256699999999995,1.2501,0.0126600994700399,3495600.0
2014,대학교,사립,기존,광주,광신대학교,예체능계열,35,35,49,33,94.29,1.4,98.1662,-3.876199999999997,1.9509,0.0198734391267055,7313600.0
2014,대학교,사립,기존,광주,광신대학교,인문사회계열,107,107,193,107,100.0,1.8,97.7925,2.207499999999996,4.5276,0.0462980289899532,5881136.6667
2014,대학교,사립,기존,서울,광운대학교,공학계열,906,906,10500,904,99.78,11.59,98.4241,1.3559000000000054,7.2552,0.0737136534649542,9012613.2986
