기준연도,학교명,대계열,등록금
2014,김천대학교,인문사회계열,7074333.333
2014,김천대학교,자연과학계열,7701428.571
2014,나사렛대학교,공학계열,8550000
2014,나사렛대학교,예체능계열,8700000
2014,나사렛대학교,인문사회계열,7343448.276
2014,나사렛대학교,자연과학계열,8733333.333
2014,남부대학교,공학계열,7426666.667
2014,남부대학교,예체능계열,7389600
2014,남부대학교,인문사회계열,6416400
2014,남부대학교,자연과학계열,7017600
2014,남서울대학교,공학계열,9028000
2014,남서울대학교,예체능계열,9158400
2014,남서울대학교,인문사회계열,7754000
2014,남서울대학교,자연과학계열,9340333.333
2014,남서울대학교(산업대) (폐교),공학계열,8408750
2014,남서울대학교(산업대) (폐교),예체능계열,8558400
2014,남서울대학교(산업대) (폐교),인문사회계열,7154000
2014,남서울대학교(산업대) (폐교),자연과학계열,8740333.333
2014,단국대학교,공학계열,9917384.615
2014,단국대학교,예체능계열,9855714.286
2014,단국대학교,인문사회계열,7608916.667
2014,단국대학교,자연과학계열,8845142.857
2014,단국대학교 _제2캠퍼스,공학계열,9344363.636
2014,단국대학교 _제2캠퍼스,예체능계열,9525500
2014,단국대학교 _제2캠퍼스,의학계열,10342000
2014,단국대학교 _제2캠퍼스,인문사회계열,7421037.037
2014,단국대학교 _제2캠퍼스,자연과학계열,9464437.5
2014,대구가톨릭대학교,공학계열,8392000
2014,대구가톨릭대학교,예체능계열,9277166.667
2014,대구가톨릭대학교,의학계열,9610000
2014,대구가톨릭대학교,인문사회계열,6401761.905
2014,대구가톨릭대학교,자연과학계열,8539573.913
2014,대구경북과학기술원,자연과학계열,0
2014,대구교육대학교,인문사회계열,3781000
2014,대구대학교,공학계열,8489368.421
2014,대구대학교,예체능계열,8880000
2014,대구대학교,인문사회계열,6397488.372
2014,대구대학교,자연과학계열,8088074.074
2014,대구예술대학교,예체능계열,8898444.444
2014,대구예술대학교,인문사회계열,5792000
2014,대구예술대학교,자연과학계열,7501200
2014,대구외국어대학교 (폐교),인문사회계열,5736000
2014,대구한의대학교,공학계열,8220000
2014,대구한의대학교,예체능계열,8356000
2014,대구한의대학교,의학계열,9260000
2014,대구한의대학교,인문사회계열,6245523.81
2014,대구한의대학교,자연과학계열,8177000
2014,대신대학교,예체능계열,7754800
2014,대신대학교,인문사회계열,6458833.333
2014,대전가톨릭대학교,인문사회계열,6260000
2014,대전대학교,공학계열,8700666.667
2014,대전대학교,예체능계열,8031000
2014,대전대학교,의학계열,9350000
2014,대전대학교,인문사회계열,7228071.429
2014,대전대학교,자연과학계열,8163600
2014,대전신학대학교,인문사회계열,6556000
2014,대진대학교,공학계열,8913000
2014,대진대학교,예체능계열,8846750
2014,대진대학교,인문사회계열,6941000
2014,대진대학교,자연과학계열,8284125
2014,덕성여자대학교,공학계열,9303000
2014,덕성여자대학교,예체능계열,9387000
