기준년도,학교종류,설립구분,상태,지역,학교,대계열,입학정원(A),정원내 모집인원(B),정원내 지원자(C),정원내 입학자(D),충원율(%),경쟁률,충원율_평균,충원율_편차,충원율_표준편차,충원안정성비율
2014,대학교,사립,기존,경북,영남대학교,자연과학계열,938,938,5804,936,99.79,6.19,94.8215,4.968500000000006,13.4633,0.14198573108419504
2014,대학교,사립,기존,경북,영남신학대학교,인문사회계열,125,125,146,101,80.8,1.17,87.0493,-6.249300000000005,18.1442,0.20843590930656536
2014,대학교,사립,기존,경북,위덕대학교,공학계열,195,195,469,192,98.46,2.41,93.0758,5.384199999999993,20.5208,0.22047406522425808
2014,대학교,사립,기존,경북,위덕대학교,예체능계열,70,70,115,70,100.0,1.64,91.4192,8.580799999999996,21.6962,0.23732651346763042
2014,대학교,사립,기존,경북,위덕대학교,인문사회계열,385,385,1040,382,99.22,2.7,87.0493,12.170699999999997,18.1442,0.20843590930656536
2014,대학교,사립,기존,경북,위덕대학교,자연과학계열,220,220,789,212,96.36,3.59,94.8215,1.538499999999999,13.4633,0.14198573108419504
2014,대학교,사립,기존,경북,포항공과대학교,공학계열,250,250,1455,247,98.8,5.82,93.0758,5.724199999999996,20.5208,0.22047406522425808
2014,대학교,사립,기존,경북,포항공과대학교,자연과학계열,70,70,531,71,101.43,7.59,94.8215,6.6085000000000065,13.4633,0.14198573108419504
2014,대학교,사립,기존,경북,한동대학교,인문사회계열,760,760,3450,759,99.87,4.54,87.0493,12.820700000000002,18.1442,0.20843590930656536
2014,대학교,사립,기존,광주,광신대학교,예체능계열,35,35,49,33,94.29,1.4,98.1662,-3.876199999999997,1.9509,0.019873439126705528
2014,대학교,사립,기존,광주,광신대학교,인문사회계열,107,107,193,107,100.0,1.8,97.7925,2.207499999999996,4.5276,0.046298028989953215
2014,대학교,특별법법인,기존,광주,광주과학기술원,자연과학계열,170,170,1159,161,94.71,6.82,94.71,0.0,0.0,0.0
2014,교육대학,국립,기존,광주,광주교육대학교,인문사회계열,326,326,2046,326,100.0,6.28,99.92,0.0799999999999983,0.1131,0.0011319055244195357
2014,대학교,사립,기존,광주,광주대학교,공학계열,315,315,1438,306,97.14,4.57,98.428,-1.2879999999999967,3.7214,0.03780834721827123
2014,대학교,사립,기존,광주,광주대학교,예체능계열,308,308,1081,301,97.73,3.51,98.1662,-0.4361999999999995,1.9509,0.019873439126705528
2014,대학교,사립,기존,광주,광주대학교,인문사회계열,974,974,4049,967,99.28,4.16,97.7925,1.4874999999999972,4.5276,0.046298028989953215
2014,대학교,사립,기존,광주,광주대학교,자연과학계열,230,230,1115,227,98.7,4.85,98.9517,-0.2516999999999996,1.4367,0.014519204824171794
