기준연도,학교종류,설립구분,지역,상태,학교,계열,학생정원,학생모집정지인원(B),재학생,정원내,정원외,재학생충원율,정원내 재학생 충원율(%){D/(A-B)}X100,학교_정규화
2013,대학교,사립,경북,기존,한동대학교,자연과학계열,266,0,261,250,11,98.1,94.0,한동대학교
2013,대학교,사립,강원,기존,한라대학교,공학계열,2040,0,2029,1881,148,99.5,92.2,한라대학교
2013,대학교,사립,강원,기존,한라대학교,예ㆍ체능계열,280,0,234,225,9,83.6,80.4,한라대학교
2013,대학교,사립,강원,기존,한라대학교,인문ㆍ사회계열,1660,0,1774,1665,109,106.9,100.3,한라대학교
2013,대학교,사립,강원,기존,한림대학교,자연과학계열,2192,0,2302,2193,109,105.0,100.0,한림대학교
2013,대학교,사립,강원,기존,한림대학교,공학계열,800,0,977,844,133,122.1,105.5,한림대학교
2013,대학교,사립,강원,기존,한림대학교,의학계열,304,0,287,282,5,94.4,92.8,한림대학교
2013,대학교,사립,강원,기존,한림대학교,인문ㆍ사회계열,3940,0,4977,4352,625,126.3,110.5,한림대학교
2013,대학교,사립,강원,기존,한림대학교,예ㆍ체능계열,276,0,320,286,34,115.9,103.6,한림대학교
2013,대학교,사립,충남,기존,한서대학교,인문ㆍ사회계열,1835,0,2031,1848,183,110.7,100.7,한서대학교
2013,대학교,사립,충남,기존,한서대학교,자연과학계열,1444,0,1557,1322,235,107.8,91.6,한서대학교
2013,대학교,사립,충남,기존,한서대학교,예ㆍ체능계열,1997,0,1944,1701,243,97.3,85.2,한서대학교
2013,대학교,사립,충남,기존,한서대학교,공학계열,2124,0,2293,2033,260,108.0,95.7,한서대학교
2013,대학교,사립,서울,기존,한성대학교,공학계열,1880,0,2027,1762,265,107.8,93.7,한성대학교
2013,대학교,사립,서울,기존,한성대학교,예ㆍ체능계열,1440,0,1633,1480,153,113.4,102.8,한성대학교
2013,대학교,사립,서울,기존,한성대학교,인문ㆍ사회계열,3160,0,3661,3231,430,115.9,102.2,한성대학교
