기준년도,학교,계열,편제정원,"재학생 충원율(%)
(B/A) × 100",학교_정규화
2010,국립목포대학교,인문ㆍ사회계열,2862,116.0,국립목포대학교
2010,국립목포대학교,자연과학계열,1408,93.8,국립목포대학교
2010,국립목포대학교,공학계열,2420,103.8,국립목포대학교
2010,국립목포대학교,예ㆍ체능계열,480,94.6,국립목포대학교
2010,국립목포해양대학교,공학계열,2464,98.5,국립목포해양대학교
2010,국립부경대학교,인문ㆍ사회계열,3953,131.8,국립부경대학교
2010,국립부경대학교,자연과학계열,2274,106.0,국립부경대학교
2010,국립부경대학교,공학계열,7446,121.2,국립부경대학교
2010,국립부경대학교,예ㆍ체능계열,480,108.5,국립부경대학교
2010,국립순천대학교,자연과학계열,2276,91.9,국립순천대학교
2010,국립순천대학교,인문ㆍ사회계열,2258,116.4,국립순천대학교
2010,국립순천대학교,공학계열,2055,102.8,국립순천대학교
2010,국립순천대학교,예ㆍ체능계열,760,105.5,국립순천대학교
2010,국립창원대학교,인문ㆍ사회계열,3128,115.9,국립창원대학교
2010,국립창원대학교,자연과학계열,1381,87.5,국립창원대학교
2010,국립창원대학교,공학계열,2472,117.4,국립창원대학교
2010,국립창원대학교,예ㆍ체능계열,596,121.6,국립창원대학교
2010,국립한국교통대학교,자연과학계열,146,106.2,국립한국교통대학교
2010,국립한국교통대학교,공학계열,1372,108.1,국립한국교통대학교
2010,국립한국교통대학교,예ㆍ체능계열,60,113.3,국립한국교통대학교
2010,국립한국교통대학교,인문ㆍ사회계열,523,107.5,국립한국교통대학교
2010,국립한국해양대학교,자연과학계열,798,109.4,국립한국해양대학교
2010,국립한국해양대학교,인문ㆍ사회계열,1284,117.8,국립한국해양대학교
2010,국립한국해양대학교,예ㆍ체능계열,100,110.0,국립한국해양대학교
2010,국립한국해양대학교,공학계열,3425,116.1,국립한국해양대학교
2010,국민대학교,예ㆍ체능계열,2126,111.1,국민대학교
2010,국민대학교,공학계열,2983,115.1,국민대학교
2010,국민대학교,자연과학계열,1201,113.2,국민대학교
2010,국민대학교,인문ㆍ사회계열,5677,119.8,국민대학교
2010,극동대학교,자연과학계열,615,93.8,극동대학교
2010,극동대학교,인문ㆍ사회계열,2435,91.7,극동대학교
2010,극동대학교,예ㆍ체능계열,940,84.7,극동대학교
2010,극동대학교,공학계열,410,79.8,극동대학교
2010,금강대학교,인문ㆍ사회계열,400,83.8,금강대학교
2010,김천대학교,인문ㆍ사회계열,345,104.3,김천대학교
2010,김천대학교,자연과학계열,615,108.9,김천대학교
2010,김천대학교,공학계열,40,100.0,김천대학교
2010,김천대학교,예ㆍ체능계열,30,100.0,김천대학교
2010,나사렛대학교,자연과학계열,1217,98.2,나사렛대학교
2010,나사렛대학교,인문ㆍ사회계열,3834,109.6,나사렛대학교
2010,나사렛대학교,예ㆍ체능계열,345,60.6,나사렛대학교
2010,남부대학교,인문ㆍ사회계열,777,74.6,남부대학교
2010,남부대학교,자연과학계열,1550,74.3,남부대학교
2010,남부대학교,공학계열,240,70.0,남부대학교
2010,남부대학교,예ㆍ체능계열,749,61.7,남부대학교
2010,단국대학교,예ㆍ체능계열,1470,101.4,단국대학교
2010,단국대학교,공학계열,2680,114.6,단국대학교
2010,단국대학교,자연과학계열,1150,109.6,단국대학교
2010,단국대학교,인문ㆍ사회계열,4270,119.6,단국대학교
