기준년도,학교명,최종_계열,졸업자_남,졸업자_여,진학자_남,진학자_여,졸업자_총합,진학자_총합,진학률(%),학교명_정규화
2012,세명대학교,자연과학계열,191,214,4,8,405,12,3.0,세명대학교
2012,세종대학교,공학계열,798,331,102,50,1129,152,13.5,세종대학교
2012,세종대학교,예체능계열,195,228,14,19,423,33,7.8,세종대학교
2012,세종대학교,인문사회계열,386,368,7,14,754,21,2.8,세종대학교
2012,세종대학교,자연과학계열,131,134,22,22,265,44,16.6,세종대학교
2012,세한대학교,공학계열,20,4,2,0,24,2,8.3,세한대학교
2012,세한대학교,예체능계열,128,99,7,10,227,17,7.5,세한대학교
2012,세한대학교,인문사회계열,301,311,10,4,612,14,2.3,세한대학교
2012,세한대학교,자연과학계열,55,69,0,0,124,0,0.0,세한대학교
2012,수원가톨릭대학교,인문사회계열,34,2,25,0,36,25,69.4,수원가톨릭대학교
2012,수원대학교,공학계열,463,152,23,2,615,25,4.1,수원대학교
2012,수원대학교,예체능계열,165,325,17,30,490,47,9.6,수원대학교
2012,수원대학교,인문사회계열,279,413,9,9,692,18,2.6,수원대학교
2012,수원대학교,자연과학계열,207,278,16,18,485,34,7.0,수원대학교
2012,숙명여자대학교,공학계열,0,163,0,9,163,9,5.5,숙명여자대학교
2012,숙명여자대학교,예체능계열,0,364,0,40,364,40,11.0,숙명여자대학교
2012,숙명여자대학교,인문사회계열,0,1263,0,109,1263,109,8.6,숙명여자대학교
2012,숙명여자대학교,자연과학계열,0,440,0,86,440,86,19.5,숙명여자대학교
2012,순천향대학교,공학계열,380,85,29,7,465,36,7.7,순천향대학교
2012,순천향대학교,예체능계열,33,41,3,1,74,4,5.4,순천향대학교
2012,순천향대학교,의학계열,95,24,1,1,119,2,1.7,순천향대학교
2012,순천향대학교,인문사회계열,535,714,15,14,1249,29,2.3,순천향대학교
2012,순천향대학교,자연과학계열,240,376,34,22,616,56,9.1,순천향대학교
2012,숭실대학교,공학계열,876,238,95,14,1114,109,9.8,숭실대학교
