기준연도,학교명,최종_계열,졸업자_남,졸업자_여,진학자_남,진학자_여,졸업자_총합,진학자_총합,진학률(%),학교명_정규화
2023,상명대학교,예체능계열,74,114,5,18,188,23,12.2,상명대학교
2023,상명대학교,인문사회계열,373,492,8,13,865,21,2.4,상명대학교
2023,상명대학교,자연과학계열,139,164,6,4,303,10,3.3,상명대학교
2023,상지대학교,공학계열,192,100,11,3,292,14,4.8,상지대학교
2023,상지대학교,예체능계열,124,48,0,0,172,0,0.0,상지대학교
2023,상지대학교,의학계열,38,17,3,0,55,3,5.5,상지대학교
2023,상지대학교,인문사회계열,264,216,1,6,480,7,1.5,상지대학교
2023,상지대학교,자연과학계열,166,111,9,7,277,16,5.8,상지대학교
2023,서강대학교,공학계열,295,100,85,27,395,112,28.4,서강대학교
2023,서강대학교,인문사회계열,620,771,59,64,1391,123,8.8,서강대학교
2023,서강대학교,자연과학계열,123,60,36,22,183,58,31.7,서강대학교
2023,서경대학교,공학계열,200,111,6,2,311,8,2.6,서경대학교
2023,서경대학교,예체능계열,175,373,7,12,548,19,3.5,서경대학교
2023,서경대학교,인문사회계열,189,220,0,1,409,1,0.2,서경대학교
2023,서경대학교,자연과학계열,45,70,1,3,115,4,3.5,서경대학교
