2024년_ [중도탈락 학생 현황 (대학)],,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
기준연도,학교종류,설립구분,지역,상태,학교,단과대학,"학과
(전공)",구분,학과특성,학과상태,"재적학생
(A)",사유별 중도탈락 학생,,,,,,,,,"중도탈락학생비율(%)
(B/A) × 100"
,,,,,,,,,,,,계(B),미등록,미복학,자퇴,학사경고,학생활동,유급제적,재학연한초과,기타,
2023,대학교,사립,경기,기존,가천대학교,약학대학,약학과,주간,일반과정,기존,75,2,0,0,2,0,0,0,0,0,2.7
2023,대학교,사립,경기,기존,가천대학교,약학대학,약학과(2+4학제),주간,일반과정,폐과,131,0,0,0,0,0,0,0,0,0,0
2023,대학교,사립,경기,기존,가천대학교,예술ㆍ체육대학,미술·디자인학부(디자인),주간,일반과정,기존,709,24,1,9,14,0,0,0,0,0,3.4
2023,대학교,사립,경기,기존,가천대학교,예술ㆍ체육대학,미술·디자인학부(패션디자인),주간,일반과정,기존,299,11,2,2,7,0,0,0,0,0,3.7
2023,대학교,사립,경기,기존,가천대학교,예술ㆍ체육대학,미술·디자인학부(회화·조소),주간,일반과정,기존,375,18,0,7,11,0,0,0,0,0,4.8
2023,대학교,사립,경기,기존,가천대학교,예술ㆍ체육대학,연기예술학과,주간,일반과정,기존,230,19,1,7,11,0,0,0,0,0,8.3
2023,대학교,사립,경기,기존,가천대학교,예술ㆍ체육대학,음악학부(기악),주간,일반과정,기존,256,8,0,1,7,0,0,0,0,0,3.1
2023,대학교,사립,경기,기존,가천대학교,예술ㆍ체육대학,음악학부(성악),주간,일반과정,기존,147,4,0,0,4,0,0,0,0,0,2.7
2023,대학교,사립,경기,기존,가천대학교,예술ㆍ체육대학,음악학부(작곡),주간,일반과정,기존,78,3,1,1,1,0,0,0,0,0,3.8
2023,대학교,사립,경기,기존,가천대학교,예술ㆍ체육대학,체육학부(체육),주간,일반과정,기존,272,13,0,4,9,0,0,0,0,0,4.8
2023,대학교,사립,경기,기존,가천대학교,예술ㆍ체육대학,체육학부(태권도),주간,일반과정,기존,191,3,0,2,1,0,0,0,0,0,1.6
2023,대학교,사립,경기,기존,가천대학교,의과대학,의예과,주간,일반과정,기존,90,2,0,0,2,0,0,0,0,0,2.2
2023,대학교,사립,경기,기존,가천대학교,의과대학,의학과,주간,일반과정,기존,161,0,0,0,0,0,0,0,0,0,0
2023,대학교,사립,경기,기존,가천대학교,인문대학,동양어문학과,주간,일반과정,기존,431,17,2,7,8,0,0,0,0,0,3.9
2023,대학교,사립,경기,기존,가천대학교,인문대학,영미어문학과,주간,일반과정,기존,297,30,2,5,23,0,0,0,0,0,10.1
2023,대학교,사립,경기,기존,가천대학교,인문대학,영미어문학과,야간,일반과정,폐과,2,0,0,0,0,0,0,0,0,0,0
2023,대학교,사립,경기,기존,가천대학교,인문대학,외국어계열,주간,일반과정,신설,218,3,0,0,3,0,0,0,0,0,1.4
2023,대학교,사립,경기,기존,가천대학교,인문대학,유럽어문학과,주간,일반과정,기존,213,9,2,1,6,0,0,0,0,0,4.2
2023,대학교,사립,경기,기존,가천대학교,인문대학,한국어문학과,주간,일반과정,기존,446,15,2,3,10,0,0,0,0,0,3.4
2023,대학교,사립,경기,기존,가천대학교,한의과대학,한의예과,주간,일반과정,기존,63,6,0,0,6,0,0,0,0,0,9.5
2023,대학교,사립,경기,기존,가천대학교,한의과대학,한의학과,주간,일반과정,기존,116,1,0,0,1,0,0,0,0,0,0.9
2023,대학교,사립,경기,기존,가천대학교,IT대학,에너지IT학과,주간,일반과정,폐과,16,1,0,1,0,0,0,0,0,0,6.3
2023,대학교,사립,경기,기존,가천대학교,IT대학,전자공학과,야간,일반과정,폐과,1,0,0,0,0,0,0,0,0,0,0
2023,대학교,사립,경기,기존,가천대학교,가천리버럴아츠칼리지,자유전공학부,주간,일반과정,기존,235,21,3,3,15,0,0,0,0,0,8.9
2023,대학교,사립,경기,기존,가천대학교,가천리버럴아츠칼리지,한국학전공,주간,일반과정,기존,144,6,1,1,4,0,0,0,0,0,4.2
2023,대학교,사립,경기,기존,가천대학교,IT융합대학,AI・소프트웨어학부(소프트웨어전공),주간,일반과정,기존,647,18,0,2,16,0,0,0,0,0,2.8
