기준연도,학교명,중도탈락학생(신입생)비율(%),정원내 신입생 충원율(%),기숙사 수용률,1인당장학금,소규모 강좌 비율,평균 강좌 규모 점수,전임교원 1인당 학생수(정원기준),취업률,진학률,가중 평균 재학생 충원율(%)
2020,추계예술대학교,9.7,98.5,13.9,3365739.0,0.8,14.4,27.4,46.2,10.2,97.0
2020,춘천교육대학교,5.0,100.0,57.5,1865261.7,0.1,27.8,30.0,60.7,0.3,97.2
2020,충남대학교,6.9,99.8,23.1,2416869.5,0.4,22.2,21.8,58.4,9.5,112.3
2020,충북대학교,9.1,99.9,26.4,2807809.4,0.3,23.0,21.7,55.7,9.1,103.0
2020,칼빈대학교,7.8,100.0,24.8,3606147.6,0.7,15.9,27.3,80.4,18.5,87.0
2020,평택대학교,7.5,99.5,28.3,3333987.6,0.6,18.9,30.8,58.1,1.9,95.8
2020,한국교원대학교,6.1,100.0,57.7,2203764.8,0.5,20.8,35.6,50.2,0.3,103.0
2020,한국기술교육대학교,7.2,100.0,70.1,3340695.8,0.4,21.4,21.9,75.9,7.8,108.6
2020,한국성서대학교,5.9,99.6,15.4,4356982.0,0.7,16.6,27.0,74.0,5.7,104.6
2020,한국외국어대학교,10.2,99.6,19.6,2544681.1,0.1,28.0,27.3,62.5,6.2,108.2
2020,한국체육대학교,2.6,99.6,34.4,2897933.0,0.1,27.2,29.6,68.4,2.9,106.7
2020,한국침례신학대학교,6.9,78.8,31.2,5837360.6,0.7,15.1,61.0,48.7,14.7,85.7
2020,한국항공대학교,8.5,98.8,17.9,3848327.6,0.3,23.4,25.0,66.8,8.8,104.2
2020,한남대학교,5.0,100.0,13.2,3566435.0,0.3,24.2,29.8,61.2,4.3,96.0
2020,한동대학교,2.3,100.0,75.0,3882213.9,0.3,23.4,23.1,64.6,16.2,118.7
2020,한라대학교,3.8,99.0,16.7,3685145.1,0.4,22.0,28.8,59.4,2.4,98.6
2020,한림대학교,5.6,99.9,33.1,3648409.8,0.3,24.8,10.9,59.0,6.5,102.3
2020,한서대학교,5.9,100.1,27.9,3712327.2,0.6,19.0,26.0,64.4,2.7,97.1
2020,한성대학교,8.3,99.5,11.1,3591650.5,0.3,23.8,27.4,62.5,3.2,99.7
2020,한세대학교,8.3,99.6,15.5,3879789.3,0.7,16.8,28.5,66.8,7.1,103.9
2020,한신대학교,5.7,100.0,17.3,3285862.7,0.4,21.6,30.9,58.9,5.6,102.7
2020,한양대학교,8.9,99.5,11.9,3497468.5,0.6,18.4,21.4,73.5,14.3,104.1
2020,한양대학교(ERICA) _분교,6.8,99.8,26.9,3789473.1,0.5,20.2,25.4,62.8,11.8,102.7
2020,한일장신대학교,13.7,100.0,18.3,4856363.5,0.6,17.4,30.9,68.6,9.1,84.8
2020,협성대학교,6.3,99.8,10.0,3924965.0,0.5,21.0,32.3,58.4,2.3,92.6
2020,호남대학교,3.9,99.7,21.8,3376245.3,0.5,20.2,26.3,65.1,0.9,98.5
2020,호남신학대학교,10.1,100.0,32.2,4148083.8,0.8,13.8,35.4,42.9,33.6,89.6
2020,호서대학교,6.4,99.9,18.6,3494641.7,0.6,17.4,27.8,64.3,3.5,99.7
2020,호원대학교,20.6,99.5,42.5,4319986.3,0.5,19.4,28.6,73.9,0.5,90.1
2020,홍익대학교,9.4,100.0,13.4,3918559.7,0.5,20.0,26.4,64.8,5.5,102.1
2021,가천대학교,6.5,100.0,11.5,3374647.1,0.5,20.2,20.0,67.4,5.0,101.2
2021,가톨릭관동대학교,6.1,73.7,34.4,3198333.1,0.5,19.2,21.9,60.8,3.3,78.1
2021,가톨릭꽃동네대학교,4.6,95.4,46.0,4926987.5,0.6,18.1,24.2,73.7,0.0,91.8
2021,가톨릭대학교,7.8,99.9,16.7,3287368.5,0.6,18.3,31.5,60.2,8.1,94.8
2021,감리교신학대학교,3.3,70.4,22.6,4445341.1,0.6,18.2,69.0,0.0,16.8,86.4
2021,강남대학교,9.3,99.9,13.9,3509047.1,0.7,16.8,29.0,60.8,1.9,96.2
2021,강서대학교,21.0,98.6,5.8,3353667.1,0.4,21.6,24.6,64.1,4.2,95.8
2021,강원대학교,7.6,99.8,28.4,2681116.5,0.4,23.0,20.7,62.8,9.7,98.0
2021,강원대학교 _제2캠퍼스,6.9,97.1,44.8,3267450.2,0.3,24.1,32.1,65.9,2.7,83.0
2021,건국대학교,9.2,98.9,18.9,3254425.2,0.4,22.2,29.0,69.1,9.9,100.2
2021,건국대학교(글로컬) _분교,6.3,99.9,31.8,3830639.2,0.3,23.2,15.5,65.9,5.4,96.8
2021,건양대학교,7.0,87.0,35.4,3830440.5,0.4,21.4,27.3,68.1,2.6,86.0
2021,건양대학교 _제2캠퍼스,5.3,99.8,31.4,3471641.2,0.3,24.2,17.1,80.0,3.3,94.2
2021,경기대학교,7.0,99.9,17.9,3571006.1,0.4,22.4,26.2,61.7,4.5,95.8
2021,경남대학교,5.4,70.8,14.7,3338288.5,0.6,18.0,28.9,62.4,2.6,83.9
2021,경동대학교,29.9,78.6,47.4,4914836.2,0.6,17.8,14.3,70.5,0.8,56.0
2021,경북대학교,9.4,98.5,27.5,2655207.2,0.5,20.2,20.8,57.9,9.4,96.9
2021,경상국립대학교,7.1,97.8,24.1,2636020.8,0.5,19.9,16.2,49.2,9.0,94.0
2021,경성대학교,7.4,98.8,11.3,3322074.2,0.5,20.0,27.5,56.5,2.9,92.0
2021,경인교육대학교,2.7,99.7,34.6,2115971.1,0.2,25.6,43.8,,,48.7
2021,경일대학교,9.2,97.6,23.1,3858175.8,0.4,22.8,26.2,64.8,2.4,94.0
2021,계명대학교,4.4,98.4,13.7,3804096.1,0.4,21.6,24.7,55.5,5.3,97.9
2021,고려대학교,8.6,100.1,12.2,3414288.0,0.4,22.1,20.7,70.1,19.1,98.0
2021,고려대학교(세종) _분교,10.1,100.0,35.8,3414843.1,0.4,21.2,27.2,66.6,13.2,100.1
2021,고신대학교,17.9,97.2,37.3,3961861.8,0.5,20.8,17.6,71.8,6.7,93.6
2021,공주교육대학교,12.6,100.0,43.8,2178865.5,0.1,27.2,26.5,57.5,0.3,92.7
2021,광신대학교,20.3,100.0,0.0,4547230.4,0.6,17.2,28.0,56.4,23.2,90.6
2021,광운대학교,9.4,99.8,12.0,2913565.0,0.4,21.5,27.3,65.0,9.1,95.5
2021,광주교육대학교,5.3,99.7,37.4,3685586.0,0.1,28.0,32.0,68.9,0.3,94.0
2021,광주대학교,16.0,90.4,28.4,3964296.0,0.4,22.7,28.7,66.2,1.9,91.0
