기준년도,중도탈락율,기숙사 수용률,전임교원 1인당 학생수(정원기준),전임교원 1인당 학생수(재학생기준),졸업자 수,진학률,정원내 신입생 충원율(%),기숙사 경쟁률,가중 평균 재학생 충원율(%),총 강좌 수,소규모 강좌 비율,평균 강좌 규모 점수,1인당장학금,취업률,학교명
2010,4.2,41.8,39.8,43.7,122.0,23.0,94.3,1.3,102.7,104,0.2,34.5,1292600.0,32.2,영남신학대학교 
2010,8.6,23.7,31.0,17.2,10.0,50.0,98.0,4.6,62.2,841,0.5,29.0,1900000.0,50.0,영산선학대학교 
2010,2.7,23.4,23.3,22.8,137.0,0.0,94.4,4.8,97.7,125,0.5,37.5,1271800.0,69.2,예수대학교 
2010,4.7,8.7,42.9,44.0,1494.0,3.3,98.4,7.0,104.8,1196,0.2,36.2,1212500.0,43.3,용인대학교 
2010,6.2,25.9,31.4,31.5,1625.0,3.7,99.9,4.5,101.9,1579,0.3,34.7,1420000.0,52.2,우석대학교 
2010,3.1,12.1,15.0,16.5,2771.0,8.1,98.8,4.6,112.1,2960,0.3,34.7,1409500.0,61.1,울산대학교 
2010,4.0,18.6,30.6,30.2,3591.0,7.5,99.6,4.2,99.7,3298,0.2,43.9,1136800.0,44.8,원광대학교 
2010,9.3,21.1,37.2,29.9,572.0,3.5,95.1,4.8,78.0,702,0.4,30.6,2199800.0,57.9,위덕대학교 
2010,6.8,54.4,42.0,27.1,450.0,2.9,91.2,5.3,63.0,858,0.4,25.8,1555200.0,52.9,유원대학교 
2010,1.9,7.6,4.1,4.3,244.0,0.0,99.5,8.9,112.1,152,0.1,46.1,1370300.0,75.0,을지대학교 
2010,3.2,10.7,33.8,36.9,193.0,0.0,99.9,15.0,117.1,899,0.1,35.1,1357800.0,88.6,을지대학교 _제2캠퍼스
2010,1.9,7.8,25.9,26.7,3529.0,18.6,99.8,9.4,121.3,2436,0.4,37.3,1550900.0,53.0,이화여자대학교 
2010,4.2,21.4,34.6,35.6,2024.0,9.9,100.6,5.4,103.6,2404,0.4,30.5,1352300.0,58.0,인제대학교 
2010,5.2,51.3,31.0,22.8,68.0,63.2,93.0,5.6,91.7,122,0.2,35.0,1111500.0,16.0,인천가톨릭대학교 
2010,4.0,10.1,25.0,27.2,1415.0,7.9,99.7,7.5,113.6,1514,0.2,38.8,1212400.0,54.5,인천대학교 
2010,1.8,11.1,24.1,29.0,4011.0,12.5,99.7,11.1,127.4,2727,0.2,46.2,1332700.0,58.7,인하대학교 
2010,1.7,40.7,44.5,47.0,152.0,34.9,100.0,4.5,111.3,276,0.8,19.6,1481200.0,7.4,장로회신학대학교 
2010,2.9,22.2,23.0,25.1,3632.0,9.4,99.5,5.8,121.0,3415,0.3,36.7,1208500.0,46.6,전남대학교 
2010,7.7,0.0,22.6,20.1,84.0,0.0,99.1,4.1,93.1,181,0.5,30.5,1161600.0,56.0,전남대학교 _제2캠퍼스
2010,3.1,14.4,22.7,24.8,3597.0,10.2,100.0,5.5,113.4,3377,0.3,34.1,1149200.0,52.2,전북대학교 
2010,0.8,30.6,41.1,36.8,429.0,2.1,100.0,2.9,105.6,437,0.1,28.1,1046100.0,61.3,전주교육대학교 
2010,5.6,18.8,35.3,35.1,2110.0,3.5,100.1,3.8,101.3,2794,0.3,30.8,1099900.0,60.0,전주대학교 
2010,2.8,17.6,21.3,21.4,2043.0,5.5,99.8,4.0,103.0,2283,0.4,29.6,1275400.0,48.9,제주대학교 
2010,4.5,6.1,30.7,31.5,4610.0,5.9,99.8,4.3,103.8,4074,0.3,37.4,1287200.0,43.6,조선대학교 
2010,5.7,19.3,51.1,46.0,1298.0,2.7,99.6,5.3,88.4,1632,0.4,32.1,1053200.0,46.3,중부대학교 
2010,3.4,142.9,33.7,19.9,69.0,29.0,62.5,0.7,59.4,70,0.4,34.2,959300.0,4.1,중앙승가대학교 
2010,0.6,23.5,36.0,32.4,547.0,2.4,100.0,9.4,101.9,623,0.2,26.2,840100.0,46.8,진주교육대학교 
2010,2.3,59.9,3.5,3.5,131.0,1.5,99.1,6.0,109.1,163,0.3,26.0,1754100.0,67.2,차의과학대학교 
2010,7.5,16.0,40.8,41.1,1159.0,1.4,100.0,8.3,99.9,1446,0.3,28.2,1153500.0,60.6,청운대학교 
2010,0.0,37.6,39.2,34.0,463.0,1.1,100.0,8.3,105.5,656,0.1,28.1,1166700.0,44.7,청주교육대학교 
2010,3.6,16.8,36.3,39.4,2834.0,3.4,99.8,6.3,109.6,2138,0.2,45.1,1180700.0,45.9,청주대학교 
2010,4.4,63.6,45.7,48.5,333.0,21.9,99.5,3.3,120.1,285,0.2,46.7,1912800.0,36.1,총신대학교 
2010,0.8,41.1,37.1,25.4,551.0,1.1,99.8,3.5,104.7,555,0.1,28.4,957100.0,47.8,춘천교육대학교 
2010,2.5,21.3,25.7,28.6,4020.0,13.0,99.6,6.2,113.8,3548,0.3,35.8,1091400.0,50.3,충남대학교 
