기준연도,학교명,계열,학생정원,재학생,전임교원,전임교원1인당학생정원,전임교원1인당재학생
2013,광주교육대학교,예ㆍ체능계열,497,504,20,24.9,25.2
2013,광주교육대학교,자연과학계열,742,770,20,37.1,38.5
2013,광주교육대학교,인문ㆍ사회계열,1385,1314,35,39.6,37.5
2013,광주대학교,자연과학계열,1158,1113,29,39.9,38.4
2013,광주대학교,예ㆍ체능계열,1534,1255,37,41.5,33.9
2013,광주대학교,인문ㆍ사회계열,4313,4492,141,30.6,31.9
2013,광주대학교,공학계열,1118,1016,43,26.0,23.6
2013,광주여자대학교,공학계열,95,69,3,31.7,23.0
2013,광주여자대학교,예ㆍ체능계열,270,259,5,54.0,51.8
2013,광주여자대학교,자연과학계열,2122,2193,57,37.2,38.5
2013,광주여자대학교,인문ㆍ사회계열,1878,1931,71,26.5,27.2
2013,국립강릉원주대학교,공학계열,1164,1183,47,24.8,25.2
2013,국립강릉원주대학교,인문ㆍ사회계열,2836,2933,95,29.9,30.9
2013,국립강릉원주대학교,예ㆍ체능계열,558,498,19,29.4,26.2
2013,국립강릉원주대학교,자연과학계열,2400,2242,87,27.6,25.8
2013,국립강릉원주대학교,의학계열,236,245,41,5.8,6.0
2013,국립강릉원주대학교 _제2캠퍼스,자연과학계열,339,338,11,30.8,30.7
2013,국립강릉원주대학교 _제2캠퍼스,공학계열,1179,1173,51,23.1,23.0
2013,국립강릉원주대학교 _제2캠퍼스,인문ㆍ사회계열,520,421,18,28.9,23.4
2013,국립강릉원주대학교 _제2캠퍼스,예ㆍ체능계열,362,339,14,25.9,24.2
2013,국립경국대학교,공학계열,2084,2142,83,25.1,25.8
2013,국립경국대학교,자연과학계열,2126,2150,86,24.7,25.0
2013,국립경국대학교,예ㆍ체능계열,508,474,21,24.2,22.6
2013,국립경국대학교,인문ㆍ사회계열,2972,2735,82,36.2,33.4
2013,국립공주대학교,인문ㆍ사회계열,6014,6418,154,39.1,41.7
2013,국립공주대학교,예ㆍ체능계열,1004,1233,45,22.3,27.4
2013,국립공주대학교,자연과학계열,4503,4837,163,27.6,29.7
2013,국립공주대학교,공학계열,4803,4976,185,26.0,26.9
2013,국립군산대학교,인문ㆍ사회계열,2922,2739,97,30.1,28.2
2013,국립군산대학교,자연과학계열,2114,2022,75,28.2,27.0
2013,국립군산대학교,예ㆍ체능계열,727,726,21,34.6,34.6
2013,국립군산대학교,공학계열,3493,3292,144,24.3,22.9
2013,국립금오공과대학교,인문ㆍ사회계열,520,466,22,23.6,21.2
2013,국립금오공과대학교,공학계열,5617,6778,172,32.7,39.4
2013,국립금오공과대학교,자연과학계열,451,450,13,34.7,34.6
2013,국립목포대학교,인문ㆍ사회계열,4270,4520,114,37.5,39.6
2013,국립목포대학교,공학계열,2646,2877,96,27.6,30.0
2013,국립목포대학교,예ㆍ체능계열,496,514,23,21.6,22.3
2013,국립목포대학교,자연과학계열,1801,1866,77,23.4,24.2
2013,국립목포해양대학교,공학계열,2659,2609,100,26.6,26.1
2013,국립부경대학교,예ㆍ체능계열,662,702,17,38.9,41.3
2013,국립부경대학교,공학계열,8816,10254,293,30.1,35.0
2013,국립부경대학교,인문ㆍ사회계열,5579,6743,147,38.0,45.9
2013,국립부경대학교,자연과학계열,3151,3277,129,24.4,25.4
2013,국립순천대학교,공학계열,2242,2177,78,28.7,27.9
2013,국립순천대학교,예ㆍ체능계열,903,898,32,28.2,28.1
2013,국립순천대학교,인문ㆍ사회계열,3061,3315,93,32.9,35.6
2013,국립순천대학교,자연과학계열,2854,2493,117,24.4,21.3
2013,국립창원대학교,자연과학계열,1638,1463,61,26.9,24.0
2013,국립창원대학교,공학계열,3359,3709,116,29.0,32.0
2013,국립창원대학교,예ㆍ체능계열,713,779,27,26.4,28.9
2013,국립창원대학교,인문ㆍ사회계열,4696,4951,124,37.9,39.9
2013,국립한국교통대학교,인문ㆍ사회계열,2318,1996,84,27.6,23.8
2013,국립한국교통대학교,자연과학계열,716,699,23,31.1,30.4
2013,국립한국교통대학교,공학계열,5988,4775,198,30.2,24.1
2013,국립한국교통대학교,예ㆍ체능계열,312,298,11,28.4,27.1
2013,국립한국해양대학교,공학계열,4104,4712,162,25.3,29.1
2013,국립한국해양대학교,예ㆍ체능계열,118,104,4,29.5,26.0
2013,국립한국해양대학교,인문ㆍ사회계열,1629,2029,61,26.7,33.3
2013,국립한국해양대학교,자연과학계열,867,958,28,31.0,34.2
2013,국립한밭대학교,공학계열,3299,2751,177,18.6,15.5
2013,국립한밭대학교,인문ㆍ사회계열,1128,976,56,20.1,17.4
2013,국립한밭대학교,예ㆍ체능계열,243,210,12,20.3,17.5
2013,국민대학교,자연과학계열,1506,1661,65,23.2,25.6
2013,국민대학교,예ㆍ체능계열,3887,3737,117,33.2,31.9
2013,국민대학교,공학계열,3640,4343,136,26.8,31.9
2013,국민대학교,인문ㆍ사회계열,7833,9600,285,27.5,33.7
2013,극동대학교,자연과학계열,1005,962,21,47.9,45.8
2013,극동대학교,공학계열,613,546,23,26.7,23.7
2013,극동대학교,예ㆍ체능계열,988,883,24,41.2,36.8
2013,극동대학교,인문ㆍ사회계열,2223,2119,79,28.1,26.8
2013,금강대학교,인문ㆍ사회계열,605,439,30,20.2,14.6
2013,김천대학교,자연과학계열,2524,2030,78,32.4,26.0
2013,김천대학교,공학계열,160,80,5,32.0,16.0
2013,김천대학교,예ㆍ체능계열,115,77,3,38.3,25.7
2013,김천대학교,인문ㆍ사회계열,1296,873,70,18.5,12.5
2013,나사렛대학교,자연과학계열,1580,1487,43,36.7,34.6
2013,나사렛대학교,예ㆍ체능계열,379,385,12,31.6,32.1
2013,나사렛대학교,인문ㆍ사회계열,3876,4312,122,31.8,35.3
2013,남부대학교,예ㆍ체능계열,744,577,19,39.2,30.4
2013,남부대학교,공학계열,267,230,13,20.5,17.7
2013,남부대학교,자연과학계열,1889,1976,60,31.5,32.9
2013,남부대학교,인문ㆍ사회계열,899,876,28,32.1,31.3
2013,남서울대학교,공학계열,1387,1045,79,17.6,13.2
2013,남서울대학교,인문ㆍ사회계열,2726,2479,161,16.9,15.4
2013,남서울대학교,예ㆍ체능계열,939,764,50,18.8,15.3
2013,남서울대학교,자연과학계열,388,400,21,18.5,19.0
2013,단국대학교,인문ㆍ사회계열,7949,8873,229,34.7,38.7
2013,단국대학교,자연과학계열,1242,1343,53,23.4,25.3
2013,단국대학교,예ㆍ체능계열,2152,2139,57,37.8,37.5
2013,단국대학교,공학계열,3316,4028,117,28.3,34.4
2013,단국대학교(천안) _분교,의학계열,678,650,142,4.8,4.6
2013,단국대학교(천안) _분교,인문ㆍ사회계열,4371,5194,151,28.9,34.4
2013,단국대학교(천안) _분교,자연과학계열,3331,3418,148,22.5,23.1
2013,단국대학교(천안) _분교,예ㆍ체능계열,2040,2154,51,40.0,42.2
