기준연도,학교명,대계열,등록금
2014,국립한국해양대학교,예체능계열,4160000.0
2014,국립한국해양대학교,인문사회계열,3442888.888888889
2014,국립한국해양대학교,자연과학계열,3969333.3333333335
2014,국립한밭대학교,공학계열,4636235.714285715
2014,국립한밭대학교,예체능계열,4598900.0
2014,국립한밭대학교,인문사회계열,3841700.0
2014,국립한밭대학교,자연과학계열,4689800.0
2014,국민대학교,공학계열,9539250.0
2014,국민대학교,예체능계열,9835500.0
2014,국민대학교,인문사회계열,7659818.181818182
2014,국민대학교,자연과학계열,8684875.0
2014,극동대학교,공학계열,8791250.0
2014,극동대학교,예체능계열,8505733.333333334
2014,극동대학교,인문사회계열,7025000.0
2014,극동대학교,자연과학계열,8324857.142857143
2014,금강대학교,인문사회계열,7480200.0
2014,김천대학교,공학계열,8076000.0
2014,김천대학교,예체능계열,8076000.0
2014,김천대학교,인문사회계열,7074333.333333333
2014,김천대학교,자연과학계열,7701428.571428572
2014,나사렛대학교,공학계열,8550000.0
2014,나사렛대학교,예체능계열,8700000.0
2014,나사렛대학교,인문사회계열,7343448.275862069
2014,나사렛대학교,자연과학계열,8733333.333333334
2014,남부대학교,공학계열,7426666.666666667
2014,남부대학교,예체능계열,7389600.0
2014,남부대학교,인문사회계열,6416400.0
2014,남부대학교,자연과학계열,7017600.0
2014,남서울대학교,공학계열,9028000.0
2014,남서울대학교,예체능계열,9158400.0
2014,남서울대학교,인문사회계열,7754000.0
2014,남서울대학교,자연과학계열,9340333.333333334
2014,남서울대학교(산업대) (폐교),공학계열,8408750.0
2014,남서울대학교(산업대) (폐교),예체능계열,8558400.0
2014,남서울대학교(산업대) (폐교),인문사회계열,7154000.0
2014,남서울대학교(산업대) (폐교),자연과학계열,8740333.333333334
2014,단국대학교,공학계열,9917384.615384616
2014,단국대학교,예체능계열,9855714.285714285
2014,단국대학교,인문사회계열,7608916.666666667
2014,단국대학교,자연과학계열,8845142.857142856
2014,단국대학교 _제2캠퍼스,공학계열,9344363.636363637
2014,단국대학교 _제2캠퍼스,예체능계열,9525500.0
2014,단국대학교 _제2캠퍼스,의학계열,10342000.0
2014,단국대학교 _제2캠퍼스,인문사회계열,7421037.037037037
2014,단국대학교 _제2캠퍼스,자연과학계열,9464437.5
2014,대구가톨릭대학교,공학계열,8392000.0
2014,대구가톨릭대학교,예체능계열,9277166.666666666
2014,대구가톨릭대학교,의학계열,9610000.0
2014,대구가톨릭대학교,인문사회계열,6401761.904761905
2014,대구가톨릭대학교,자연과학계열,8539573.913043479
2014,대구경북과학기술원,자연과학계열,0.0
2014,대구교육대학교,인문사회계열,3781000.0
2014,대구대학교,공학계열,8489368.421052631
2014,대구대학교,예체능계열,8880000.0
2014,대구대학교,인문사회계열,6397488.372093023
2014,대구대학교,자연과학계열,8088074.074074074
2014,대구예술대학교,예체능계열,8898444.444444444
2014,대구예술대학교,인문사회계열,5792000.0
2014,대구예술대학교,자연과학계열,7501200.0
2014,대구외국어대학교 (폐교),인문사회계열,5736000.0
2014,대구한의대학교,공학계열,8220000.0
2014,대구한의대학교,예체능계열,8356000.0
2014,대구한의대학교,의학계열,9260000.0
2014,대구한의대학교,인문사회계열,6245523.80952381
2014,대구한의대학교,자연과학계열,8177000.0
2014,대신대학교,예체능계열,7754800.0
2014,대신대학교,인문사회계열,6458833.333333333
2014,대전가톨릭대학교,인문사회계열,6260000.0
2014,대전대학교,공학계열,8700666.666666666
2014,대전대학교,예체능계열,8031000.0
2014,대전대학교,의학계열,9350000.0
2014,대전대학교,인문사회계열,7228071.428571428
2014,대전대학교,자연과학계열,8163600.0
2014,대전신학대학교,인문사회계열,6556000.0
2014,대진대학교,공학계열,8913000.0
2014,대진대학교,예체능계열,8846750.0
2014,대진대학교,인문사회계열,6941000.0
2014,대진대학교,자연과학계열,8284125.0
2014,덕성여자대학교,공학계열,9303000.0
2014,덕성여자대학교,예체능계열,9387000.0
2014,덕성여자대학교,인문사회계열,6971000.0
2014,덕성여자대학교,자연과학계열,8436166.666666666
2014,동국대학교,공학계열,10184000.0
2014,동국대학교,예체능계열,10025428.57142857
2014,동국대학교,인문사회계열,7738000.0
2014,동국대학교,자연과학계열,9091636.363636363
2014,동국대학교(WISE) _분교,공학계열,9426909.090909092
2014,동국대학교(WISE) _분교,예체능계열,9456000.0
2014,동국대학교(WISE) _분교,의학계열,10368000.0
2014,동국대학교(WISE) _분교,인문사회계열,7333294.117647059
2014,동국대학교(WISE) _분교,자연과학계열,8749818.181818182
2014,동덕여자대학교,공학계열,8314000.0
2014,동덕여자대학교,예체능계열,9359882.352941176
2014,동덕여자대학교,인문사회계열,6669333.333333333
2014,동덕여자대학교,자연과학계열,8432800.0
2014,동명대학교,공학계열,8288000.0
2014,동명대학교,예체능계열,8154000.0
2014,동명대학교,인문사회계열,6225263.157894737
2014,동명대학교,자연과학계열,7849000.0
2014,동서대학교,공학계열,7782450.0
2014,동서대학교,예체능계열,7559538.461538462
2014,동서대학교,인문사회계열,6133655.172413793
2014,동서대학교,자연과학계열,8056500.0
2014,동신대학교,공학계열,7651818.181818182
2014,동신대학교,예체능계열,7490800.0
2014,동신대학교,의학계열,8520000.0
2014,동신대학교,인문사회계열,6287200.0
2014,동신대학교,자연과학계열,7432766.666666667
2014,동아대학교,공학계열,8392411.764705881
2014,동아대학교,예체능계열,8029882.352941177
2014,동아대학교,의학계열,9734000.0
2014,동아대학교,인문사회계열,6506833.333333333
2014,동아대학교,자연과학계열,7549400.0
2014,동양대학교,공학계열,7897333.333333333
2014,동양대학교,예체능계열,8117600.0
2014,동양대학교,인문사회계열,6348000.0
2014,동양대학교,자연과학계열,8164000.0
2014,동의대학교,공학계열,8056000.0
2014,동의대학교,예체능계열,7479333.333333333
2014,동의대학교,의학계열,8130000.0
2014,동의대학교,인문사회계열,5996000.0
2014,동의대학교,자연과학계열,7237500.0
2014,루터대학교,예체능계열,6900000.0
2014,루터대학교,인문사회계열,6774000.0
2014,루터대학교,자연과학계열,6990000.0
2014,명지대학교,공학계열,10022000.0
2014,명지대학교,예체능계열,10299857.142857144
2014,명지대학교,인문사회계열,9094000.0
2014,명지대학교,자연과학계열,9120000.0
2014,명지대학교 _제2캠퍼스,공학계열,7704000.0
2014,명지대학교 _제2캠퍼스,인문사회계열,7644181.818181818
2014,목원대학교,공학계열,8489000.0
2014,목원대학교,예체능계열,8639913.043478262
2014,목원대학교,인문사회계열,7085809.523809524
2014,목원대학교,자연과학계열,7864583.333333333
2014,목포가톨릭대학교,인문사회계열,6123000.0
2014,목포가톨릭대학교,자연과학계열,7292000.0
2014,배재대학교,공학계열,8363294.117647059
2014,배재대학교,예체능계열,8356000.0
2014,배재대학교,인문사회계열,6899860.465116279
2014,배재대학교,자연과학계열,7746769.230769231
2014,백석대학교,공학계열,9090000.0
2014,백석대학교,예체능계열,9466153.846153846
2014,백석대학교,인문사회계열,7690000.0
2014,백석대학교,자연과학계열,9090000.0
2014,부산가톨릭대학교,공학계열,8139200.0
2014,부산가톨릭대학교,인문사회계열,6269257.142857143
2014,부산가톨릭대학교,자연과학계열,7512400.0
2014,부산교육대학교,인문사회계열,3202000.0
2014,부산대학교,공학계열,4875750.0
2014,부산대학교,예체능계열,4853333.333333333
2014,부산대학교,인문사회계열,3647897.435897436
2014,부산대학교,자연과학계열,4635230.769230769
2014,부산외국어대학교,공학계열,8014514.285714285
2014,부산외국어대학교,예체능계열,6833900.0
2014,부산외국어대학교,인문사회계열,6185746.9387755105
2014,부산외국어대학교,자연과학계열,6673000.0
2014,부산장신대학교,인문사회계열,6439633.333333333
2014,삼육대학교,공학계열,9144500.0
2014,삼육대학교,예체능계열,9649000.0
2014,삼육대학교,인문사회계열,7742000.0
2014,삼육대학교,자연과학계열,8775916.666666666
2014,상명대학교,공학계열,8914857.142857144
2014,상명대학교,예체능계열,9485500.0
2014,상명대학교,인문사회계열,7605411.764705882
2014,상명대학교,자연과학계열,9004000.0
2014,상명대학교(천안) _분교(폐교),공학계열,9265000.0
2014,상명대학교(천안) _분교(폐교),예체능계열,9312000.0
2014,상명대학교(천안) _분교(폐교),인문사회계열,7593846.153846154
2014,상명대학교(천안) _분교(폐교),자연과학계열,9239500.0
2014,상지대학교,공학계열,8571750.0
2014,상지대학교,예체능계열,8307000.0
2014,상지대학교,의학계열,9754500.0
2014,상지대학교,인문사회계열,6820185.185185186
2014,상지대학교,자연과학계열,7972000.0
2014,서강대학교,공학계열,10283400.0
2014,서강대학교,인문사회계열,8047545.454545454
2014,서강대학교,자연과학계열,9405000.0
2014,서경대학교,공학계열,8925222.222222222
2014,서경대학교,예체능계열,9392812.5
2014,서경대학교,인문사회계열,7379700.0
2014,서경대학교,자연과학계열,8907333.333333334
2014,서남대학교 (폐교),공학계열,7297500.0
2014,서남대학교 (폐교),예체능계열,6915750.0
2014,서남대학교 (폐교),의학계열,9900000.0
2014,서남대학교 (폐교),인문사회계열,5859142.857142857
2014,서남대학교 (폐교),자연과학계열,8067285.714285715
2014,서남대학교 _제2캠퍼스(폐교),공학계열,7549833.333333333
2014,서남대학교 _제2캠퍼스(폐교),예체능계열,7074000.0
2014,서남대학교 _제2캠퍼스(폐교),인문사회계열,6010000.0
2014,서남대학교 _제2캠퍼스(폐교),자연과학계열,7661200.0
2014,서울과학기술대학교,공학계열,5549700.0
2014,서울과학기술대학교,예체능계열,5640800.0
2014,서울과학기술대학교,인문사회계열,4593616.666666667
2014,서울과학기술대학교,자연과학계열,5568000.0
2014,서울과학기술대학교(산업대) (폐교),공학계열,4856230.0
2014,서울과학기술대학교(산업대) (폐교),예체능계열,4919666.666666667
2014,서울과학기술대학교(산업대) (폐교),인문사회계열,4139000.0
2014,서울과학기술대학교(산업대) (폐교),자연과학계열,4853000.0
2014,서울교육대학교,인문사회계열,3259000.0
2014,서울기독대학교,예체능계열,8955900.0
2014,서울기독대학교,인문사회계열,7227333.333333333
2014,서울대학교,공학계열,6209333.333333333
2014,서울대학교,예체능계열,7633222.222222222
2014,서울대학교,의학계열,9781000.0
2014,서울대학교,인문사회계열,5158673.076923077
2014,서울대학교,자연과학계열,6346521.739130435
2014,서울시립대학교,공학계열,2793000.0
2014,서울시립대학교,예체능계열,3026750.0
2014,서울시립대학교,인문사회계열,2136000.0
2014,서울시립대학교,자연과학계열,2508200.0
2014,서울신학대학교,예체능계열,9106750.0
2014,서울신학대학교,인문사회계열,7307212.5
2014,서울여자대학교,공학계열,9031000.0
2014,서울여자대학교,예체능계열,10017083.333333334
2014,서울여자대학교,인문사회계열,7656400.0
2014,서울여자대학교,자연과학계열,9015428.57142857
2014,서울장신대학교,예체능계열,10575300.0
2014,서울장신대학교,인문사회계열,7667300.0
2014,서울한영대학교,예체능계열,8545800.0
2014,서울한영대학교,인문사회계열,6993950.0
2014,서원대학교,공학계열,8645022.222222222
2014,서원대학교,예체능계열,8375490.0
2014,서원대학교,인문사회계열,7011373.9130434785
2014,서원대학교,자연과학계열,7798185.714285715
2014,선문대학교,공학계열,8756500.0
2014,선문대학교,예체능계열,8066000.0
2014,선문대학교,인문사회계열,7250645.161290322
2014,선문대학교,자연과학계열,8420181.818181818
2014,성결대학교,공학계열,8982000.0
2014,성결대학교,예체능계열,9627000.0
2014,성결대학교,인문사회계열,7292000.0
2014,성공회대학교,공학계열,8514000.0
