기준연도,학교명,대계열,재학생,실모집인원,재학생충원율
2021,조선대학교,인문사회계열,6330,6535,96.9
2021,조선대학교,자연과학계열,2724,2923,93.2
2021,조선대학교,공학계열,5841,5859,99.7
2021,조선대학교,예체능계열,2000,1985,100.8
2021,조선대학교,의학계열,797,820,97.2
2021,중부대학교,인문사회계열,3020,3421,88.3
2021,중부대학교,자연과학계열,1104,1086,101.7
2021,중부대학교,공학계열,1416,1548,91.5
2021,중부대학교,예체능계열,1470,1725,85.2
2021,중앙대학교,인문사회계열,9582,6502,147.4
2021,중앙대학교,자연과학계열,2513,2524,99.6
2021,중앙대학교,공학계열,3868,3558,108.7
2021,중앙대학교,예체능계열,519,512,101.4
2021,중앙대학교,의학계열,354,344,102.9
2021,중앙대학교 _제2캠퍼스,인문사회계열,35,0,0
2021,중앙대학교 _제2캠퍼스,자연과학계열,1031,1294,79.7
2021,중앙대학교 _제2캠퍼스,공학계열,259,408,63.5
2021,중앙대학교 _제2캠퍼스,예체능계열,3396,2902,117
2021,중앙승가대학교,인문사회계열,119,480,24.8
2021,중원대학교,인문사회계열,773,803,96.3
2021,중원대학교,자연과학계열,1182,1248,94.7
2021,중원대학교,공학계열,953,1125,84.7
2021,중원대학교,예체능계열,458,599,76.5
2021,진주교육대학교,인문사회계열,546,1276,42.8
2021,진주교육대학교,자연과학계열,435,0,0
2021,진주교육대학교,예체능계열,325,0,0
2021,차의과학대학교,인문사회계열,902,913,98.8
2021,차의과학대학교,자연과학계열,1160,1103,105.2
2021,창신대학교,인문사회계열,694,840,82.6
2021,창신대학교,자연과학계열,569,498,114.3
2021,창신대학교,공학계열,237,382,62
2021,창신대학교,예체능계열,234,255,91.8
2021,청운대학교,인문사회계열,2648,2502,105.8
2021,청운대학교,자연과학계열,426,415,102.7
2021,청운대학교,공학계열,1446,1100,131.5
2021,청운대학교,예체능계열,905,1017,89
2021,청주교육대학교,인문사회계열,492,1144,43
2021,청주교육대학교,자연과학계열,390,0,0
2021,청주교육대학교,예체능계열,294,0,0
2021,청주대학교,인문사회계열,4373,4414,99.1
2021,청주대학교,자연과학계열,1583,1392,113.7
2021,청주대학교,공학계열,2804,3428,81.8
2021,청주대학교,예체능계열,1377,1333,103.3
2021,초당대학교,인문사회계열,1016,967,105.1
2021,초당대학교,자연과학계열,1080,1035,104.3
2021,초당대학교,공학계열,684,795,86
2021,초당대학교,예체능계열,198,211,93.8
2021,총신대학교,인문사회계열,1235,1132,109.1
2021,총신대학교,예체능계열,218,229,95.2
2021,추계예술대학교,인문사회계열,268,247,108.5
2021,추계예술대학교,예체능계열,781,810,96.4
2021,춘천교육대학교,인문사회계열,545,1284,42.4
2021,춘천교육대학교,자연과학계열,420,0,0
2021,춘천교육대학교,예체능계열,330,0,0
2021,충남대학교,인문사회계열,5397,4444,121.4
2021,충남대학교,자연과학계열,4433,4322,102.6
2021,충남대학교,공학계열,4396,4137,106.3
2021,충남대학교,예체능계열,835,832,100.4
2021,충남대학교,의학계열,691,623,110.9
2021,충북대학교,인문사회계열,3896,3580,108.8
2021,충북대학교,자연과학계열,3557,3614,98.4
2021,충북대학교,공학계열,3965,3564,111.3
2021,충북대학교,예체능계열,223,252,88.5
2021,충북대학교,의학계열,418,380,110
2021,칼빈대학교,인문사회계열,444,308,144.2
2021,칼빈대학교,예체능계열,28,52,53.8
2021,평택대학교,인문사회계열,1609,1447,111.2
2021,평택대학교,자연과학계열,969,1178,82.3
2021,평택대학교,공학계열,102,136,75
2021,평택대학교,예체능계열,547,609,89.8
2021,포항공과대학교,자연과학계열,221,0,0
2021,포항공과대학교,공학계열,987,1280,77.1
2021,한경국립대학교,인문사회계열,748,676,110.7
2021,한경국립대학교,자연과학계열,1271,1348,94.3
2021,한경국립대학교,공학계열,2241,2337,95.9
