기준연도,학교명,재학생,1인당장학금
2011,호남신학대학교,626,1402300.0
2011,호서대학교,12314,1152600.0
2011,호원대학교,4958,1610200.0
2011,홍익대학교,11514,2238700.0
2011,홍익대학교(세종) _분교,6321,2297200.0
2011,화성의과학대학교,625,273900.0
2012,가야대학교,29,1741400.0
2012,가야대학교 _제2캠퍼스,2501,2061500.0
2012,가천대학교,17155,2394900.0
2012,가톨릭관동대학교,8997,2088900.0
2012,가톨릭꽃동네대학교,505,3625500.0
2012,가톨릭대학교,7294,2052500.0
2012,가톨릭대학교 _제2캠퍼스,498,2420400.0
2012,가톨릭대학교 _제3캠퍼스,212,4952300.0
2012,감리교신학대학교,885,1972600.0
2012,강남대학교,7127,1618400.0
2012,강서대학교,1468,2372500.0
2012,강원대학교,14348,1633600.0
2012,강원대학교 _제2캠퍼스,6252,2324200.0
2012,건국대학교,15975,2005700.0
2012,건국대학교(글로컬) _분교,7944,1727200.0
2012,건양대학교,5848,2492200.0
2012,건양대학교 _제2캠퍼스,2033,2381500.0
2012,경기대학교,11680,2128800.0
2012,경기대학교 _제2캠퍼스,2432,2082900.0
2012,경남과학기술대학교,1977,2249700.0
2012,경남대학교,12777,2131400.0
2012,경동대학교,2831,2301300.0
2012,경북대학교,19639,1664800.0
2012,경북대학교 _제2캠퍼스,3822,1640600.0
2012,경북외국어대학교,340,1921200.0
2012,경상국립대학교,14383,1813600.0
2012,경성대학교,12903,2148100.0
2012,경운대학교,1304,2644300.0
2012,경운대학교(산업대),4116,2824200.0
2012,경인교육대학교,1430,1443100.0
2012,경인교육대학교 _제2캠퍼스,1492,1459700.0
2012,경일대학교,5627,2146900.0
2012,경희대학교,24463,2282000.0
2012,계명대학교,22656,2413200.0
2012,고려대학교,19588,2240700.0
2012,고려대학교(세종) _분교,6797,1872900.0
2012,고신대학교,3964,2456500.0
2012,공주교육대학교,1792,1132900.0
2012,광신대학교,496,3645000.0
2012,광운대학교,8632,1618700.0
2012,광주가톨릭대학교,84,0.0
2012,광주과학기술원,267,7142800.0
2012,광주교육대학교,1645,2119700.0
2012,광주대학교,6405,2491500.0
2012,광주대학교(산업대),58,958900.0
2012,광주여자대학교,4026,2274500.0
2012,국립강릉원주대학교,5961,1765000.0
2012,국립강릉원주대학교 _제2캠퍼스,2075,1858700.0
2012,국립경국대학교,6296,1886300.0
2012,국립공주대학교,13859,1863800.0
2012,국립군산대학교,7367,1953200.0
2012,국립금오공과대학교,6474,1876800.0
2012,국립목포대학교,7675,1768700.0
2012,국립목포해양대학교,2437,1557000.0
2012,국립부경대학교,16724,2071300.0
2012,국립순천대학교,7266,1813200.0
2012,국립창원대학교,8483,1770800.0
2012,국립한국교통대학교,5189,1740500.0
2012,국립한국해양대학교,6508,2160400.0
2012,국립한밭대학교,2006,1583000.0
2012,국민대학교,14717,2087800.0
2012,극동대학교,4195,2494800.0
2012,금강대학교,364,8575100.0
2012,김천대학교,2237,1999800.0
2012,나사렛대학교,5592,2574700.0
2012,남부대학교,3020,2603300.0
2012,남서울대학교,2492,1723500.0
2012,남서울대학교(산업대),7657,2495000.0
2012,단국대학교,11475,2102300.0
2012,단국대학교(천안) _분교,11827,2135600.0
2012,대구가톨릭대학교,13097,1810100.0
2012,대구교육대학교,1935,1393900.0
2012,대구대학교,18833,1876800.0
2012,대구예술대학교,1251,1882900.0
2012,대구외국어대학교,364,1461100.0
2012,대구한의대학교,6455,1942700.0
2012,대신대학교,438,2687000.0
2012,대전가톨릭대학교,113,4135800.0
2012,대전대학교,9644,1810200.0
2012,대전신학교,45,1075700.0
2012,대전신학대학교,162,2743300.0
2012,대진대학교,7936,2010700.0
2012,덕성여자대학교,6048,1698700.0
2012,동국대학교,13545,2392900.0
2012,동국대학교(WISE) _분교,8299,2680100.0
2012,동덕여자대학교,7572,1870100.0
2012,동명대학교,7940,2068900.0
2012,동명정보대학교,504,944300.0
2012,동서대학교,10799,2213700.0
2012,동신대학교,6494,2312200.0
2012,동아대학교,20649,2084000.0
2012,동양대학교,4105,1946000.0
2012,동의대학교,16787,1811100.0
2012,루터대학교,481,2001500.0
2012,명지대학교,7061,2225900.0
2012,명지대학교 _제2캠퍼스,6989,2078500.0
2012,목원대학교,9126,2092800.0
2012,목포가톨릭대학교,553,2442500.0
2012,배재대학교,8884,2253300.0
2012,백석대학교,13133,2627200.0
2012,부산가톨릭대학교,4017,2292600.0
2012,부산교육대학교,1815,1750700.0
2012,부산대학교,21154,1949600.0
2012,부산외국어대학교,8721,1979900.0
2012,부산장신대학교,273,2869400.0
2012,삼육대학교,5362,2165700.0
2012,상명대학교,6324,2880500.0
2012,상명대학교(천안) _분교,6111,3134800.0
2012,상지대학교,7893,2171400.0
2012,서강대학교,8143,2386800.0
2012,서경대학교,6331,1981700.0
2012,서남대학교,1178,1133000.0
2012,서남대학교 _제2캠퍼스,946,1047000.0
2012,서울과학기술대학교,2464,1564600.0
2012,서울과학기술대학교(산업대),8938,1790400.0
2012,서울교육대학교,1793,1271100.0
2012,서울기독대학교,733,2546200.0
2012,서울대학교,16377,2735800.0
2012,서울시립대학교,8771,1362400.0
2012,서울신학대학교,2274,2135400.0
2012,서울여자대학교,7778,2563800.0
2012,서울장신대학교,523,2063500.0
