기준년도,학교종류,설립구분,상태,지역,학교,대계열,입학정원(A),정원내 모집인원(B),정원내 지원자(C),정원내 입학자(D),충원율(%),경쟁률,충원율_평균,충원율_편차,충원율_표준편차,충원안정성비율
2014,대학교,사립,기존,대전,한남대학교,예체능계열,257,257,1591,257,100,6.19,99.8017,0.1983,0.3441,0.0034
2014,대학교,사립,기존,대전,한남대학교,인문사회계열,1673,1673,7183,1671,99.88,4.29,96.7212,3.1588,8.7787,0.0908
2014,대학교,사립,기존,대전,한남대학교,자연과학계열,375,375,1701,373,99.47,4.54,99.5314,-0.0614,0.6489,0.0065
2014,대학교,국립,기존,대전,한밭대학교,공학계열,1348,1348,8418,1345,99.78,6.24,99.755,0.025,0.0354,0.0004
2014,대학교,국립,기존,대전,한밭대학교,예체능계열,115,115,576,115,100,5.01,99.79,0.21,0.297,0.003
2014,대학교,국립,기존,대전,한밭대학교,인문사회계열,460,460,2891,457,99.35,6.28,99.515,-0.165,0.2333,0.0023
2014,대학교,사립,기존,부산,경성대학교,공학계열,640,640,3768,638,99.69,5.89,99.6244,0.0656,1.1427,0.0115
2014,대학교,사립,기존,부산,경성대학교,예체능계열,590,590,3625,592,100.34,6.14,99.9189,0.4211,0.2416,0.0024
2014,대학교,사립,기존,부산,경성대학교,인문사회계열,1435,1435,7077,1434,99.93,4.93,98.728,1.202,1.5785,0.016
2014,대학교,사립,기존,부산,경성대학교,자연과학계열,385,385,2158,380,98.7,5.61,99.665,-0.965,0.5547,0.0056
2014,대학교,사립,기존,부산,고신대학교,예체능계열,125,125,373,125,100,2.98,99.9189,0.0811,0.2416,0.0024
2014,대학교,사립,기존,부산,고신대학교,인문사회계열,454,454,1620,442,97.36,3.57,98.728,-1.368,1.5785,0.016
2014,대학교,사립,기존,부산,고신대학교,자연과학계열,361,361,2468,356,98.61,6.84,99.665,-1.055,0.5547,0.0056
2014,대학교,사립,기존,부산,동명대학교,공학계열,790,790,6187,792,100.25,7.83,99.6244,0.6256,1.1427,0.0115
2014,대학교,사립,기존,부산,동명대학교,예체능계열,240,240,1361,240,100,5.67,99.9189,0.0811,0.2416,0.0024
2014,대학교,사립,기존,부산,동명대학교,인문사회계열,830,830,6218,828,99.76,7.49,98.728,1.032,1.5785,0.016
2014,대학교,사립,기존,부산,동명대학교,자연과학계열,160,160,2306,160,100,14.41,99.665,0.335,0.5547,0.0056
2014,대학교,사립,기존,부산,동서대학교,공학계열,790,790,6563,789,99.87,8.31,99.6244,0.2456,1.1427,0.0115
2014,대학교,사립,기존,부산,동서대학교,예체능계열,410,410,3533,409,99.76,8.62,99.9189,-0.1589,0.2416,0.0024
2014,대학교,사립,기존,부산,동서대학교,인문사회계열,1215,1215,10072,1214,99.92,8.29,98.728,1.192,1.5785,0.016
2014,대학교,사립,기존,부산,동서대학교,자연과학계열,205,205,2568,205,100,12.53,99.665,0.335,0.5547,0.0056
2014,대학교,사립,기존,부산,동아대학교,공학계열,1250,1250,7027,1245,99.6,5.62,99.6244,-0.0244,1.1427,0.0115
2014,대학교,사립,기존,부산,동아대학교,예체능계열,565,565,4216,563,99.65,7.46,99.9189,-0.2689,0.2416,0.0024
2014,대학교,사립,기존,부산,동아대학교,인문사회계열,2025,2025,10905,1968,97.19,5.39,98.728,-1.538,1.5785,0.016
2014,대학교,사립,기존,부산,동아대학교,자연과학계열,709,709,3547,709,100,5,99.665,0.335,0.5547,0.0056
2014,대학교,사립,기존,부산,동의대학교,공학계열,1225,1225,7945,1225,100,6.49,99.6244,0.3756,1.1427,0.0115
2014,대학교,사립,기존,부산,동의대학교,예체능계열,380,380,2469,380,100,6.5,99.9189,0.0811,0.2416,0.0024
2014,대학교,사립,기존,부산,동의대학교,인문사회계열,1595,1595,10677,1595,100,6.69,98.728,1.272,1.5785,0.016
2014,대학교,사립,기존,부산,동의대학교,자연과학계열,705,705,4873,705,100,6.91,99.665,0.335,0.5547,0.0056
2014,대학교,국립,기존,부산,부경대학교,공학계열,1743,1743,8150,1743,100,4.68,100.1033,-0.1033,0.179,0.0018
2014,대학교,국립,기존,부산,부경대학교,예체능계열,126,126,687,126,100,5.45,100,0,0,0
2014,대학교,국립,기존,부산,부경대학교,인문사회계열,1003,1003,5978,1003,100,5.96,99.8975,0.1025,0.205,0.0021
2014,대학교,국립,기존,부산,부경대학교,자연과학계열,648,648,2718,648,100,4.19,99.74,0.26,0.4503,0.0045
2014,대학교,사립,기존,부산,부산가톨릭대학교,공학계열,100,100,499,100,100,4.99,99.6244,0.3756,1.1427,0.0115
2014,대학교,사립,기존,부산,부산가톨릭대학교,인문사회계열,280,280,1419,269,96.07,5.07,98.728,-2.658,1.5785,0.016
