기준년도,학교,정원내 신입생 충원율(%),경쟁률
2010,전남대학교 ,99.5,5.8
2010,전남대학교 _제2캠퍼스,99.1,4.1
2010,전북대학교 ,100.0,5.5
2010,전주교육대학교 ,100.0,2.9
2010,전주대학교 ,100.1,3.8
2010,정석대학 ,70.0,0.8
2010,제주대학교 ,99.8,4.0
2010,조선대학교 ,99.8,4.3
2010,중부대학교 ,99.6,5.3
2010,중앙대학교 ,99.2,25.7
2010,중앙승가대학교 ,62.5,0.7
2010,중원대학교 ,88.2,2.2
2010,진주교육대학교 ,100.0,9.4
2010,차의과학대학교 ,99.1,6.0
2010,청운대학교 ,100.0,8.3
2010,청주교육대학교 ,100.0,8.3
2010,청주대학교 ,99.8,6.3
2010,총신대학교 ,99.5,3.3
2010,추계예술대학교 ,99.3,9.0
2010,춘천교육대학교 ,99.8,3.5
2010,충남대학교 ,99.6,6.2
2010,충북대학교 ,100.0,7.2
2010,칼빈대학교 ,100.0,2.7
2010,평택대학교 ,99.2,12.4
2010,포항공과대학교 ,99.7,6.0
2010,한국과학기술원 ,97.3,3.8
2010,한국교원대학교 ,100.0,7.6
2010,한국기술교육대학교 ,100.0,6.1
2010,한국방송통신대학교 ,51.1,0.6
2010,한국성서대학교 ,103.3,5.0
2010,한국예술종합학교 ,92.7,13.8
2010,한국외국어대학교 ,99.7,14.4
2010,한국체육대학교 ,100.0,3.8
2010,한국침례신학대학교 ,100.0,1.9
2010,한국항공대학교 ,99.3,10.7
2010,한남대학교 ,99.0,4.9
2010,한동대학교 ,99.7,6.6
2010,한라대학교 ,99.9,4.4
2010,한림대학교 ,100.1,5.6
2010,한서대학교 ,100.1,11.0
2010,한성대학교 ,98.5,15.9
2010,한세대학교 ,98.7,9.2
2010,한신대학교 ,99.9,16.1
2010,한양대학교 ,99.8,23.3
2010,한양대학교(ERICA) _분교,99.6,9.9
2010,한일장신대학교 ,90.3,1.5
2010,협성대학교 ,100.8,16.8
2010,호남대학교 ,100.0,3.4
2010,호남신학대학교 ,95.9,1.4
2010,호서대학교 ,99.8,7.1
2010,호원대학교 ,91.6,8.7
2010,홍익대학교 ,99.1,10.6
2010,화성의과학대학교 ,99.1,10.1
2011,가천대학교 ,101.0,23.5
2011,가톨릭관동대학교 ,99.9,5.3
2011,가톨릭꽃동네대학교 ,100.0,4.5
2011,가톨릭대학교 ,99.9,24.4
2011,가톨릭대학교 _제2캠퍼스,100.0,16.0
2011,가톨릭대학교 _제3캠퍼스,67.5,1.1
2011,감리교신학대학교 ,92.6,1.8
2011,강남대학교 ,100.0,17.0
2011,강서대학교 ,98.8,6.0
2011,강원대학교 ,100.0,8.1
2011,강원대학교 _제2캠퍼스,98.7,4.8
2011,건국대학교 ,99.5,22.9
2011,건국대학교(글로컬) _분교,99.6,10.6
2011,건양대학교 ,99.4,6.2
2011,건양대학교 _제2캠퍼스,100.0,10.5
2011,경기대학교 ,99.7,16.6
2011,경기대학교 _제2캠퍼스,100.0,22.6
2011,경남대학교 ,100.0,4.8
2011,경동대학교 ,101.8,6.4
2011,경북대학교 ,99.3,8.0
2011,경상국립대학교 ,100.0,6.8
2011,경성대학교 ,100.3,8.6
2011,경인교육대학교 ,100.0,3.3
2011,경일대학교 ,100.0,4.2
2011,경희대학교 ,99.7,18.6
2011,계명대학교 ,99.8,6.9
2011,고려대학교 ,99.8,22.6
2011,고려대학교(세종) _분교,99.3,10.6
2011,고신대학교 ,100.0,4.6
2011,공주교육대학교 ,100.0,4.8
2011,광신대학교 ,97.5,1.5
2011,광운대학교 ,99.7,16.8
2011,광주가톨릭대학교 ,60.0,0.7
2011,광주과학기술원 ,100.0,8.1
2011,광주교육대학교 ,99.5,4.1
2011,광주대학교 ,100.0,4.5
2011,광주여자대학교 ,100.5,5.1
2011,국립강릉원주대학교 ,99.5,5.0
2011,국립강릉원주대학교 _제2캠퍼스,99.8,5.3
2011,국립경국대학교 ,99.8,5.3
2011,국립공주대학교 ,99.5,6.5
2011,국립군산대학교 ,100.1,7.8
2011,국립금오공과대학교 ,99.8,4.8
2011,국립목포대학교 ,100.0,6.1
2011,국립목포해양대학교 ,98.9,5.1
2011,국립부경대학교 ,100.1,7.0
2011,국립순천대학교 ,99.8,6.2
2011,국립창원대학교 ,99.9,8.7
2011,국립한국교통대학교 ,99.9,9.9
2011,국립한국해양대학교 ,99.9,7.4
2011,국민대학교 ,99.7,12.8
2011,극동대학교 ,100.0,11.0
2011,금강대학교 ,95.0,2.9
2011,김천대학교 ,100.0,5.0
2011,나사렛대학교 ,100.1,7.5
2011,남부대학교 ,99.9,4.9
2011,단국대학교 ,99.9,20.6
2011,대구가톨릭대학교 ,100.1,6.2
2011,대구교육대학교 ,100.0,4.3
2011,대구대학교 ,99.8,5.8
2011,대구예술대학교 ,100.0,2.6
2011,대구한의대학교 ,100.0,5.6
2011,대신대학교 ,86.4,1.4
2011,대전가톨릭대학교 ,47.5,0.6
2011,대전대학교 ,100.0,8.5
2011,대전신학대학교 ,100.0,1.8
2011,대진대학교 ,99.5,8.8
2011,덕성여자대학교 ,99.4,11.9
2011,동국대학교 ,99.5,20.2
2011,동국대학교(WISE) _분교,100.0,9.1
2011,동덕여자대학교 ,99.1,13.4
2011,동명대학교 ,100.2,6.3
2011,동서대학교 ,100.3,7.2
2011,동신대학교 ,100.0,5.3
2011,동아대학교 ,99.9,7.3
2011,동양대학교 ,100.1,4.4
2011,동의대학교 ,100.0,8.7
2011,디지털서울문화예술대학교 ,91.5,2.0
2011,루터대학교 ,100.0,4.1
2011,명지대학교 ,99.2,15.0
2011,명지대학교 _제2캠퍼스,99.3,27.3
2011,목원대학교 ,100.0,7.0
2011,목포가톨릭대학교 ,100.0,7.4
2011,배재대학교 ,100.0,6.6
2011,백석대학교 ,100.0,9.6
2011,부산가톨릭대학교 ,99.2,8.1
2011,부산교육대학교 ,99.8,5.5
2011,부산대학교 ,99.9,5.5
2011,부산디지털대학교 ,84.7,1.3
2011,부산외국어대학교 ,100.2,5.6
2011,부산장신대학교 ,95.8,1.9
2011,삼육대학교 ,99.1,8.5
2011,상명대학교 ,98.7,9.4
2011,상지대학교 ,99.7,5.1
2011,서강대학교 ,99.8,33.4
2011,서경대학교 ,98.9,11.3
2011,서울교육대학교 ,100.0,5.3
2011,서울기독대학교 ,100.0,3.6
2011,서울대학교 ,99.8,5.9
2011,서울디지털대학교 ,86.1,1.6
2011,서울시립대학교 ,99.3,15.1
2011,서울신학대학교 ,99.4,3.6
2011,서울여자대학교 ,99.4,13.0
2011,서울장신대학교 ,100.0,4.0
2011,서울한영대학교 ,100.0,3.5
2011,서원대학교 ,100.0,5.3
2011,선문대학교 ,100.2,7.6
2011,성결대학교 ,99.9,16.4
2011,성공회대학교 ,100.0,13.2
2011,성균관대학교 ,99.7,24.8
