기준년도,학교,전임교원수,1인당 학생수(정원기준),1인당 학생수(재학생기준)
2011,경상국립대학교 ,790.0,22.1,23.4
2011,경성대학교 ,348.0,41.1,42.4
2011,경인교육대학교 ,127.0,42.9,27.7
2011,경일대학교 ,214.0,31.3,24.8
2011,경희대학교 ,968.0,19.9,23.2
2011,계명대학교 ,741.0,32.3,35.8
2011,고려대학교 ,1364.0,22.0,25.1
2011,고려대학교(세종) _분교,243.0,30.8,33.9
2011,고신대학교 ,253.0,22.6,21.7
2011,공주교육대학교 ,86.0,33.2,28.0
2011,광신대학교 ,44.0,30.3,26.0
2011,광운대학교 ,281.0,33.2,38.0
2011,광주가톨릭대학교 ,17.0,13.5,8.1
2011,광주과학기술원 ,123.0,16.7,14.2
2011,광주교육대학교 ,72.0,39.3,33.8
2011,광주대학교 ,224.0,32.7,31.4
2011,광주여자대학교 ,122.0,35.8,37.0
2011,국립강릉원주대학교 ,286.0,25.2,24.0
2011,국립강릉원주대학교 _제2캠퍼스,94.0,25.6,22.5
2011,국립경국대학교 ,267.0,28.7,27.7
2011,국립공주대학교 ,538.0,30.5,33.3
2011,국립군산대학교 ,320.0,28.9,27.3
2011,국립금오공과대학교 ,201.0,33.0,37.2
2011,국립목포대학교 ,311.0,29.6,30.4
2011,국립목포해양대학교 ,91.0,29.3,29.0
2011,국립부경대학교 ,578.0,31.5,35.8
2011,국립순천대학교 ,307.0,30.5,29.4
2011,국립창원대학교 ,321.0,32.4,34.3
2011,국립한국교통대학교 ,278.0,32.1,32.9
2011,국립한국해양대학교 ,249.0,26.8,30.9
2011,국민대학교 ,446.0,37.8,41.8
2011,극동대학교 ,94.0,51.4,47.3
2011,금강대학교 ,21.0,22.6,18.3
2011,김천대학교 ,115.0,17.9,15.8
2011,나사렛대학교 ,176.0,33.2,34.9
2011,남부대학교 ,103.0,37.3,32.6
2011,단국대학교 ,402.0,36.9,39.5
2011,대구가톨릭대학교 ,505.0,30.3,30.4
2011,대구경북과학기술원 ,15.0,12.0,4.6
2011,대구교육대학교 ,86.0,38.3,34.7
2011,대구대학교 ,512.0,41.4,43.7
2011,대구예술대학교 ,51.0,38.0,25.7
2011,대구한의대학교 ,218.0,34.4,32.9
2011,대신대학교 ,33.0,28.3,23.0
2011,대전가톨릭대학교 ,12.0,24.6,17.0
2011,대전대학교 ,328.0,35.5,35.3
2011,대전신학대학교 ,11.0,25.9,15.5
2011,대진대학교 ,246.0,35.0,35.9
2011,덕성여자대학교 ,181.0,32.1,36.2
2011,동국대학교 ,679.0,24.6,28.2
2011,동국대학교(WISE) _분교,333.0,26.4,28.3
2011,동덕여자대학교 ,218.0,35.4,36.5
2011,동명대학교 ,263.0,35.1,33.5
2011,동서대학교 ,318.0,34.7,35.9
2011,동신대학교 ,235.0,32.9,32.0
2011,동아대학교 ,703.0,32.1,34.8
2011,동양대학교 ,118.0,43.0,34.0
2011,동의대학교 ,485.0,36.3,37.9
2011,루터대학교 ,17.0,55.6,37.8
2011,명지대학교 ,295.0,28.3,29.0
2011,명지대학교 _제2캠퍼스,171.0,45.4,52.4
2011,목원대학교 ,269.0,42.0,38.2
2011,목포가톨릭대학교 ,18.0,30.0,30.9
2011,배재대학교 ,283.0,36.3,35.9
2011,백석대학교 ,385.0,42.1,42.7
2011,부산가톨릭대학교 ,107.0,38.2,40.6
2011,부산교육대학교 ,78.0,40.4,36.8
2011,부산대학교 ,1206.0,25.7,28.1
2011,부산외국어대학교 ,247.0,38.5,39.6
2011,부산장신대학교 ,17.0,34.9,31.4
2011,삼육대학교 ,169.0,35.0,36.1
2011,상명대학교 ,200.0,38.0,40.4
2011,상지대학교 ,256.0,35.5,34.0
2011,서강대학교 ,402.0,33.0,33.7
2011,서경대학교 ,194.0,32.4,34.9
2011,서울교육대학교 ,97.0,37.1,33.2
2011,서울기독대학교 ,30.0,37.5,35.4
2011,서울대학교 ,2140.0,14.0,16.1
2011,서울시립대학교 ,383.0,28.9,31.6
2011,서울신학대학교 ,82.0,43.3,45.2
2011,서울여자대학교 ,226.0,35.0,38.7
2011,서울장신대학교 ,36.0,27.3,28.6
2011,서울한영대학교 ,41.0,27.4,24.7
2011,서원대학교 ,173.0,43.9,39.6
2011,선문대학교 ,297.0,34.7,34.9
2011,성결대학교 ,162.0,37.3,38.7
2011,성공회대학교 ,83.0,35.2,36.2
2011,성균관대학교 ,1249.0,20.5,23.8
2011,성신여자대학교 ,326.0,32.7,36.0
2011,세명대학교 ,222.0,40.4,38.7
2011,세종대학교 ,382.0,34.0,37.6
2011,세한대학교 ,138.0,41.4,34.2
2011,수원가톨릭대학교 ,15.0,31.5,16.3
2011,수원대학교 ,274.0,46.6,46.7
2011,숙명여자대학교 ,446.0,29.9,31.6
2011,순복음총회신학교 ,11.0,36.4,17.2
2011,순천향대학교 ,763.0,15.9,16.8
2011,숭실대학교 ,454.0,31.5,38.7
2011,신경주대학교 ,124.0,48.8,35.5
2011,신라대학교 ,297.0,36.3,36.4
2011,아신대학교 ,30.0,69.8,45.5
2011,아주대학교 ,616.0,22.6,26.5
2011,안양대학교 ,165.0,34.4,33.0
2011,안양대학교 _제2캠퍼스,15.0,37.3,32.7
2011,연세대학교 ,1545.0,19.5,23.4
2011,연세대학교(미래) _분교,345.0,20.5,23.9
2011,영남대학교 ,809.0,31.0,35.4
2011,영남신학대학교 ,27.0,38.5,41.9
2011,영산대학교 ,127.0,32.8,25.1
2011,영산대학교 _제2캠퍼스,102.0,29.1,31.4
2011,영산선학대학교 ,11.0,18.2,3.5
2011,예수대학교 ,24.0,23.3,24.5
2011,예원예술대학교 ,55.0,22.2,19.7
2011,용인대학교 ,184.0,39.0,40.0
2011,우석대학교 ,276.0,32.2,31.7
2011,우송대학교 ,249.0,34.0,35.7
2011,울산과학기술원 ,115.0,24.0,17.7
2011,울산대학교 ,1059.0,14.2,16.0
2011,원광대학교 ,717.0,28.9,28.0
2011,위덕대학교 ,102.0,39.8,33.3
2011,유원대학교 ,128.0,34.5,24.6
2011,을지대학교 ,270.0,4.2,4.2
2011,을지대학교 _제2캠퍼스,131.0,30.4,33.7
2011,이화여자대학교 ,901.0,25.7,27.6
2011,인제대학교 ,332.0,33.6,34.4
2011,인천가톨릭대학교 ,19.0,13.7,9.0
2011,인천가톨릭대학교 _제2캠퍼스,13.0,56.9,44.8
2011,인천대학교 ,389.0,28.2,35.9
2011,인하대학교 ,835.0,23.5,28.3
2011,장로회신학대학교 ,72.0,42.7,43.6
2011,전남대학교 ,1043.0,22.5,24.9
2011,전남대학교 _제2캠퍼스,177.0,22.1,19.7
2011,전북대학교 ,991.0,22.8,24.7
2011,전주교육대학교 ,54.0,40.3,37.1
2011,전주대학교 ,355.0,35.6,36.1
2011,제주대학교 ,575.0,21.4,21.9
2011,조선대학교 ,788.0,30.9,31.7
2011,중부대학교 ,229.0,42.6,40.1
2011,중앙대학교 ,761.0,25.4,27.8
2011,중앙승가대학교 ,18.0,34.2,19.9
2011,중원대학교 ,59.0,23.4,15.7
2011,진주교육대학교 ,70.0,35.1,30.3
2011,차의과학대학교 ,358.0,4.1,4.1
2011,청운대학교 ,141.0,41.6,44.8
2011,청주교육대학교 ,67.0,36.7,30.8
2011,청주대학교 ,392.0,33.4,36.3
2011,총신대학교 ,92.0,46.2,49.0
2011,추계예술대학교 ,49.0,36.3,31.7
2011,춘천교육대학교 ,74.0,37.1,31.5
2011,충남대학교 ,907.0,25.9,28.5
2011,충북대학교 ,735.0,24.6,26.2
2011,칼빈대학교 ,29.0,41.6,36.1
2011,평택대학교 ,130.0,37.1,36.0
2011,포항공과대학교 ,256.0,15.7,16.2
2011,한국과학기술원 ,586.0,0.0,20.6
2011,한국교원대학교 ,191.0,39.6,40.5
2011,한국기술교육대학교 ,159.0,27.7,29.6
2011,한국방송통신대학교 ,147.0,1624.5,1174.7
2011,한국산업기술대학교(산업대) ,187.0,32.5,35.7
2011,한국성서대학교 ,36.0,35.5,38.4
2011,한국예술종합학교 ,130.0,17.2,18.5
2011,한국외국어대학교 ,366.0,32.0,35.2
2011,한국체육대학교 ,107.0,30.2,30.5
2011,한국침례신학대학교 ,49.0,60.5,56.6
2011,한국항공대학교 ,138.0,32.1,36.3
2011,한남대학교 ,374.0,38.6,37.9
2011,한동대학교 ,119.0,32.0,37.6
2011,한라대학교 ,101.0,40.0,35.7
2011,한림대학교 ,797.0,11.2,12.5
2011,한북대학교 ,59.0,26.9,21.4
2011,한서대학교 ,244.0,32.9,34.8
2011,한성대학교 ,215.0,36.4,40.2
2011,한세대학교 ,112.0,33.4,37.3
2011,한신대학교 ,155.0,37.7,38.9
2011,한양대학교 ,968.0,25.8,28.5
2011,한양대학교(ERICA) _분교,366.0,21.7,26.1
2011,한일장신대학교 ,51.0,36.1,33.4
2011,협성대학교 ,145.0,37.3,35.7
2011,호남대학교 ,239.0,35.8,34.3
2011,호남신학대학교 ,30.0,49.1,47.0
2011,호서대학교 ,421.0,35.2,34.2
2011,호원대학교 ,132.0,44.5,38.0
2011,홍익대학교 ,511.0,30.2,33.4
2011,화성의과학대학교 ,36.0,27.2,18.3
2012,가천대학교 ,746.0,25.7,27.4
2012,가톨릭관동대학교 ,424.0,25.4,24.4
2012,가톨릭꽃동네대학교 ,21.0,30.0,29.2
2012,가톨릭대학교 ,235.0,35.9,39.0
2012,가톨릭대학교 _제2캠퍼스,892.0,3.2,3.1
2012,가톨릭대학교 _제3캠퍼스,25.0,20.4,14.8
2012,감리교신학대학교 ,34.0,52.1,54.2
2012,강남대학교 ,218.0,34.6,37.5
2012,강서대학교 ,45.0,35.6,37.4
2012,강원대학교 ,761.0,24.2,24.7
