기준년도,학교명,졸업자 수,진학률
2022,상명대학교,1535,5.8
2022,상명대학교 _제2캠퍼스,1334,2.8
2022,상지대학교,1276,3.1
2022,서강대학교,1969,14.9
2022,서경대학교,1383,2.3
2022,서울과학기술대학교,2481,8.3
2022,서울교육대학교,395,1.5
2022,서울기독대학교,79,16.5
2022,서울대학교,3330,27.7
2022,서울시립대학교,2064,10.2
2022,서울신학대학교,517,12.8
2022,서울여자대학교,1685,8.7
2022,서울장신대학교,112,12.5
2022,서울한영대학교,145,2.8
2022,서원대학교,1399,1.3
2022,선문대학교,1861,2.8
2022,성결대학교,1249,2.0
2022,성공회대학교,460,1.5
2022,성균관대학교,4664,13.1
2022,성신여자대학교,2346,8.7
2022,세명대학교,1698,2.2
2022,세종대학교,2853,9.4
2022,세한대학교,876,0.8
2022,송원대학교,665,1.8
2022,수원가톨릭대학교,29,51.7
2022,수원대학교,1925,4.5
2022,숙명여자대학교,2588,11.3
2022,순복음총회신학교,32,15.6
2022,순천향대학교,2553,6.4
2022,숭실대학교,3346,6.5
2022,신경주대학교,197,1.5
2022,신라대학교,2111,1.8
2022,신한대학교,318,2.2
2022,신한대학교 _제2캠퍼스,1169,0.9
2022,아신대학교,146,15.1
2022,아주대학교,2517,10.8
2022,안양대학교,1014,4.2
2022,안양대학교 _제2캠퍼스,46,2.2
2022,연세대학교,4351,17.4
2022,연세대학교(미래) _분교,1781,8.3
2022,영남대학교,5009,5.2
2022,영남신학대학교,108,35.2
2022,영산선학대학교,6,83.3
2022,예수대학교,132,0.0
2022,예원예술대학교,177,0.6
2022,예원예술대학교 _제2캠퍼스,85,2.4
2022,용인대학교,1347,2.7
2022,우석대학교,1488,2.3
2022,우송대학교,2234,1.0
2022,울산과학기술원,561,41.4
2022,울산대학교,2962,5.7
2022,원광대학교,3674,3.2
2022,위덕대학교,598,1.7
2022,유원대학교,804,0.9
2022,을지대학교,49,0.0
2022,을지대학교 _제2캠퍼스,1035,3.3
2022,을지대학교 _제3캠퍼스,116,2.6
