기준년도,학교,학과,등록금
,,산업경영공학과,4926000
,,사회복지학과,3843000
,,방재안전공학전공,4926000
,,방송영상기술전공,4618700
,,방송연예학과,5148000
,,방송연예전공,4804700
,,방사선학과,4698000
,,물리치료학과,4698000
,,메카트로닉스공학전공,4774000
,,방송영상학과,4698000
,건국대학교,문화콘텐츠학과,7422000
,,물리학부,8722000
,,물리학전공,8722000
,,미생물공학전공,9102000
,,법학과,6968000
,,부동산학과,7422000
,,분자생명공학전공,7802000
,,사학과,7422000
,,사회환경시스템공학전공,9102000
,,산업공학과,10022000
,,문화정보학부,7422000
,,산업디자인전공,10022000
,,산업섬유공학과군,10022000
,,상경대학,7422000
,,생명공학전공,7802000
,,생명과학과,8722000
,,섬유공학과,10022000
,,소비자정보학전공,7422000
,,소프트웨어전공,9102000
,,수의예과,10898000
,,수의학과,10898000
,,수학과,8722000
,,멀티미디어전공,9102000
,,디자인학부,10022000
,,EU문화정보학전공,6502000
,,건축공학전공,9102000
,,건축설계전공,9102000
,,건축학부,10022000
,,경상학부,6502000
,,경영경영정보학부,7422000
,,경영정보학전공,6502000
,,경영학전공,7422000
,,경제학전공,7422000
,,공예전공,10022000
,,교육공학과,9280000
,,국제무역학전공,7422000
,,국제어문학부,7422000
,,기계공학부,10022000
,,기계공학전공,9102000
,,기계설계학전공,9102000
,,기계항공공학부,10022000
,,기술경영학과,7422000
,,독어독문학전공,6502000
,,동물생명공학전공,7802000
,,동물생명과학부,8722000
,,동물생산ㆍ환경학전공,7802000
,,국어국문학과,7422000
,,신소재공학전공,9102000
,,영상전공,10022000
,,철학과,7422000
,,수학교육과,9280000
,,축산경영ㆍ유통경제학전공,6502000
,,축산식품생물공학전공,7802000
,,커뮤니케이션디자인전공,10022000
,,커뮤니케이션학과,7422000
,,컴퓨터공학부,10022000
,,컴퓨터시스템전공,9102000
,,텍스타일디자인전공,10022000
,,토목공학과,10022000
,,토목환경공학과군,10022000
,,특성화학부,8722000
,,항공우주정보시스템공학과,10022000
