기준년도,학교,계열,재적학생수,중도탈락학생수,중도탈락비율_재계산
2011,순천향대학교,의학계열,1199,32,2.67
2011,순천향대학교,인문사회계열,6996,338,4.83
2011,순천향대학교,자연과학계열,2805,145,5.17
2011,숭실대학교,공학계열,7234,174,2.41
2011,숭실대학교,예체능계열,266,15,5.64
2011,숭실대학교,인문사회계열,10642,263,2.47
2011,숭실대학교,자연과학계열,2108,56,2.66
2011,신경주대학교,공학계열,685,79,11.53
2011,신경주대학교,예체능계열,470,64,13.62
2011,신경주대학교,의학계열,121,1,0.83
2011,신경주대학교,인문사회계열,3983,376,9.44
2011,신경주대학교,자연과학계열,1468,74,5.04
2011,신라대학교,공학계열,2696,189,7.01
2011,신라대학교,예체능계열,1806,144,7.97
2011,신라대학교,의학계열,228,3,1.32
2011,신라대학교,인문사회계열,7956,331,4.16
2011,신라대학교,자연과학계열,1262,67,5.31
2011,아신대학교,기타,366,23,6.28
2011,아신대학교,인문사회계열,566,28,4.95
2011,아주대학교,공학계열,5915,156,2.64
2011,아주대학교,예체능계열,39,1,2.56
2011,아주대학교,의학계열,480,6,1.25
2011,아주대학교,인문사회계열,6013,113,1.88
2011,아주대학교,자연과학계열,2230,104,4.66
2011,안양대학교,공학계열,1194,73,6.11
2011,안양대학교,기타,183,14,7.65
2011,안양대학교,예체능계열,699,51,7.3
2011,안양대학교,인문사회계열,2949,163,5.53
2011,안양대학교,자연과학계열,771,48,6.23
2011,안양대학교 _제2캠퍼스,공학계열,187,11,5.88
2011,안양대학교 _제2캠퍼스,인문사회계열,366,26,7.1
2011,안양대학교 _제2캠퍼스,자연과학계열,199,12,6.03
2011,연세대학교,공학계열,5455,95,1.74
2011,연세대학교,기타,408,10,2.45
2011,연세대학교,예체능계열,1076,12,1.12
2011,연세대학교,의학계열,1117,6,0.54
2011,연세대학교,인문사회계열,14120,131,0.93
2011,연세대학교,자연과학계열,3972,84,2.11
2011,연세대학교(미래) _분교,공학계열,1195,30,2.51
2011,연세대학교(미래) _분교,예체능계열,474,7,1.48
2011,연세대학교(미래) _분교,의학계열,1465,16,1.09
2011,연세대학교(미래) _분교,인문사회계열,4571,134,2.93
2011,연세대학교(미래) _분교,자연과학계열,3013,76,2.52
2011,영남대학교,공학계열,10102,302,2.99
2011,영남대학교,예체능계열,2370,81,3.42
2011,영남대학교,의학계열,476,5,1.05
2011,영남대학교,인문사회계열,14173,374,2.64
2011,영남대학교,자연과학계열,5600,198,3.54
2011,영남신학대학교,기타,348,16,4.6
2011,영남신학대학교,인문사회계열,371,19,5.12
2011,영산대학교,공학계열,817,67,8.2
2011,영산대학교,예체능계열,321,49,15.26
2011,영산대학교,의학계열,132,2,1.52
2011,영산대학교,인문사회계열,2671,272,10.18
2011,영산대학교,자연과학계열,108,1,0.93
2011,영산대학교 _제2캠퍼스,공학계열,194,15,7.73
2011,영산대학교 _제2캠퍼스,예체능계열,861,95,11.03
2011,영산대학교 _제2캠퍼스,인문사회계열,1659,120,7.23
2011,영산대학교 _제2캠퍼스,자연과학계열,883,59,6.68
2011,영산대학교(산업대),공학계열,53,7,13.21
2011,영산대학교(산업대),예체능계열,39,3,7.69
2011,영산대학교(산업대),인문사회계열,387,46,11.89
2011,영산대학교(산업대) _제2캠퍼스,공학계열,12,5,41.67
2011,영산대학교(산업대) _제2캠퍼스,예체능계열,97,23,23.71
2011,영산대학교(산업대) _제2캠퍼스,인문사회계열,251,28,11.16
2011,영산대학교(산업대) _제2캠퍼스,자연과학계열,98,14,14.29
2011,영산선학대학교,인문사회계열,57,9,15.79
2011,예수대학교,의학계열,512,2,0.39
2011,예수대학교,인문사회계열,107,9,8.41
