기준연도,학교명,계열,재적학생수,중도탈락자수,중도탈락률(%)
2012,국립순천대학교,자연과학,901.0,52.0,5.771365149833518
2012,국립창원대학교,공학,4979.0,194.0,3.89636473187387
2012,국립창원대학교,예체능,705.0,61.0,8.652482269503546
2012,국립창원대학교,인문사회,4742.0,121.0,2.551665963728385
2012,국립창원대학교,자연과학,1034.0,23.0,2.2243713733075436
2012,국립한국교통대학교,공학,3139.0,103.0,3.2812997769990444
2012,국립한국교통대학교,예체능,124.0,3.0,2.4193548387096775
2012,국립한국교통대학교,인문사회,1633.0,41.0,2.510716472749541
2012,국립한국교통대학교,자연과학,452.0,13.0,2.8761061946902653
2012,국립한국해양대학교,공학,3837.0,115.0,2.9971331769611678
2012,국립한국해양대학교,인문사회,2358.0,75.0,3.1806615776081424
2012,국립한밭대학교,공학,583.0,17.0,2.9159519725557463
2012,국립한밭대학교,예체능,86.0,5.0,5.813953488372093
2012,국립한밭대학교,인문사회,454.0,17.0,3.7444933920704844
2012,국민대학교,공학,6116.0,148.0,2.419882275997384
2012,국민대학교,예체능,2176.0,63.0,2.8952205882352944
2012,국민대학교,인문사회,7044.0,168.0,2.385008517887564
2012,국민대학교,자연과학,1175.0,32.0,2.723404255319149
2012,극동대학교,공학,788.0,28.0,3.5532994923857872
2012,극동대학교,예체능,1225.0,76.0,6.204081632653061
2012,극동대학교,인문사회,3078.0,131.0,4.256010396361273
2012,극동대학교,자연과학,423.0,7.0,1.6548463356973995
2012,금강대학교,인문사회,342.0,17.0,4.970760233918129
2012,김천대학교,공학,295.0,16.0,5.423728813559322
2012,김천대학교,예체능,99.0,12.0,12.121212121212121
2012,김천대학교,인문사회,1064.0,57.0,5.357142857142857
2012,김천대학교,자연과학,981.0,50.0,5.09683995922528
2012,나사렛대학교,공학,389.0,25.0,6.426735218508997
2012,나사렛대학교,예체능,558.0,32.0,5.734767025089606
2012,나사렛대학교,인문사회,4681.0,225.0,4.806665242469558
2012,나사렛대학교,자연과학,952.0,31.0,3.256302521008404
2012,남부대학교,공학,287.0,34.0,11.846689895470384
2012,남부대학교,예체능,522.0,44.0,8.42911877394636
2012,남부대학교,의학,135.0,15.0,11.11111111111111
2012,남부대학교,인문사회,1106.0,121.0,10.940325497287523
2012,남부대학교,자연과학,703.0,20.0,2.844950213371266
2012,남서울대학교,공학,572.0,45.0,7.8671328671328675
2012,남서울대학교,예체능,80.0,0.0,0.0
2012,남서울대학교,인문사회,1340.0,69.0,5.149253731343284
2012,남서울대학교,자연과학,104.0,2.0,1.9230769230769231
2012,남서울대학교(산업대),공학,2284.0,118.0,5.166374781085814
2012,남서울대학교(산업대),예체능,27.0,0.0,0.0
2012,남서울대학교(산업대),인문사회,4868.0,179.0,3.6770747740345113
2012,남서울대학교(산업대),자연과학,310.0,4.0,1.2903225806451613
2012,단국대학교,공학,6040.0,192.0,3.1788079470198674
2012,단국대학교,예체능,1223.0,49.0,4.006541291905151
2012,단국대학교,인문사회,7080.0,156.0,2.2033898305084745
2012,단국대학교,자연과학,727.0,18.0,2.4759284731774414
2012,단국대학교(천안) _분교,공학,4822.0,178.0,3.691414350891746
2012,단국대학교(천안) _분교,예체능,1201.0,44.0,3.6636136552872607
2012,단국대학교(천안) _분교,의학,481.0,2.0,0.4158004158004158
2012,단국대학교(천안) _분교,인문사회,6806.0,215.0,3.158977372906259
2012,단국대학교(천안) _분교,자연과학,1612.0,50.0,3.101736972704715
2012,대구가톨릭대학교,공학,3930.0,200.0,5.089058524173027
2012,대구가톨릭대학교,예체능,1097.0,67.0,6.107566089334549
2012,대구가톨릭대학교,의학,189.0,0.0,0.0
2012,대구가톨릭대학교,인문사회,6700.0,275.0,4.104477611940299
